feature_id,canonical_value,headline_value,transformation,count,percentage
FEAT-CHG,Tense=Past,Tense=Pres,Tense=Past→Tense=Pres,46,35.65891472868217
FEAT-CHG,Number=None,Number=Sing,Number=None→Number=Sing,13,10.077519379844961
FEAT-CHG,Number=Plur,Number=Sing,Number=Plur→Number=Sing,10,7.751937984496124
FEAT-CHG,Mood=None,Mood=Ind,Mood=None→Mood=Ind,8,6.2015503875969
FEAT-CHG,Person=3,Person=None,Person=3→Person=None,8,6.2015503875969
FEAT-CHG,Person=None,Person=3,Person=None→Person=3,8,6.2015503875969
FEAT-CHG,Mood=Ind,Mood=None,Mood=Ind→Mood=None,8,6.2015503875969
FEAT-CHG,Number=Sing,Number=None,Number=Sing→Number=None,4,3.10077519379845
FEAT-CHG,Number=Sing,Number=Plur,Number=Sing→Number=Plur,4,3.10077519379845
FEAT-CHG,Tense=Pres,Tense=None,Tense=Pres→Tense=None,4,3.10077519379845
FEAT-CHG,Tense=None,Tense=Pres,Tense=None→Tense=Pres,3,2.3255813953488373
FEAT-CHG,Tense=Past,Tense=None,Tense=Past→Tense=None,2,1.550387596899225
FEAT-CHG,Voice=None,Voice=Pass,Voice=None→Voice=Pass,2,1.550387596899225
FEAT-CHG,Person=3,Person=1,Person=3→Person=1,2,1.550387596899225
FEAT-CHG,Number=Plur,Number=None,Number=Plur→Number=None,2,1.550387596899225
FEAT-CHG,Number=None,Number=Plur,Number=None→Number=Plur,2,1.550387596899225
FEAT-CHG,Tense=Pres,Tense=Past,Tense=Pres→Tense=Past,1,0.7751937984496124
FEAT-CHG,Case=Acc,Case=Nom,Case=Acc→Case=Nom,1,0.7751937984496124
FEAT-CHG,Person=2,Person=1,Person=2→Person=1,1,0.7751937984496124
