feature_id,bidirectional_sum,jensen_shannon,total_events,register_overlap
LEMMA-CHG,66.43856190960963,29.367112231201535,17,0.0
PUNCT-DEL,66.4385619022235,32.565877969660725,1515,0.0
PUNCT-ADD,66.43856190221443,32.429373538856275,753,0.0
FW-ADD,66.4385618998626,32.25276037970454,266,0.0
CONST-REM,66.43856189985078,32.34291599660006,476,0.0
FW-DEL,66.43856189954275,32.12637272102489,3210,0.0
C-ADD,66.43856189908603,32.665719551759736,690,0.0
C-DEL,66.43856189904389,32.48089916128618,1405,0.0
CONST-ADD,66.43856189897622,32.12282036389314,114,0.0
H-STRUCT,66.43856189843281,33.18322096649431,1148,0.0
