feature_id,canonical_to_headline_ce,headline_to_canonical_ce,bidirectional_sum,jensen_shannon_divergence,register_overlap_ratio,total_events,information_asymmetry
LEMMA-CHG,33.21928095480482,33.219280954804816,66.43856190960963,29.36711223120154,0.0,17,7.105427357601002e-15
PUNCT-ADD,33.2192809533408,33.21928094887363,66.43856190221443,32.429373538856275,0.0,753,4.467167968869035e-09
PUNCT-DEL,33.219280948873624,33.21928095238748,66.4385619012611,32.15459474934383,0.0,420,3.513854096581781e-09
FW-ADD,33.21928095098898,33.219280948873624,66.4385618998626,32.25276037970454,0.0,266,2.1153567786313943e-09
CONST-REM,33.219280948873624,33.219280950977165,66.43856189985078,32.34291599660007,0.0,476,2.103540452935704e-09
FW-DEL,33.219280948873624,33.21928095066911,66.43856189954273,32.12637272102489,0.0,3210,1.7954846498469124e-09
C-ADD,33.2192809502124,33.219280948873624,66.43856189908603,32.665719551759736,0.0,690,1.3387762010097504e-09
C-DEL,33.219280948873624,33.21928095017026,66.43856189904389,32.48089916128618,0.0,1405,1.2966339113518188e-09
CONST-ADD,33.21928095010259,33.21928094887362,66.43856189897622,32.12282036389314,0.0,114,1.228976032052742e-09
H-STRUCT,33.219280949559185,33.219280948873624,66.43856189843281,33.18322096649431,0.0,1148,6.855600531707751e-10
H-TYPE,33.219280949120375,33.219280948873624,66.43856189799399,32.82432894778055,0.0,1148,2.4675017584741e-10
FORM-CHG,32.30818118664092,31.877221453821814,64.18540264046274,26.567781810572804,0.02040816326530612,61,0.43095973281910815
PUNCT-SUBST,31.612324734032207,23.61038436282602,55.222709096858225,26.186680604492278,0.25,413,8.001940371206185
DEP-DIST-DIFF,15.51322654137817,13.719946847699266,29.233173389077436,7.992589103406425,0.4127659574468085,1148,1.7932796936789046
FEAT-CHG,15.459560666525949,6.3614095210718755,21.820970187597823,7.482781244961403,0.5185185185185185,126,9.098151145454073
BRANCH-DIFF,9.462112484257428,7.956729640891394,17.41884212514882,3.358427416502447,0.6,1148,1.505382843366034
LENGTH-CHG,8.381084458298794,7.117066978412733,15.498151436711527,4.366364747945319,0.5,1137,1.2640174798860606
CONST-COUNT-DIFF,7.561433111132633,5.922872500634426,13.48430561176706,2.3705570044253754,0.625,1148,1.6385606104982067
TED-RTED,5.285101721966111,5.285101721966111,10.570203443932222,-2.6645352591003757e-15,1.0,1142,0.0
DEP-REL-CHG,4.98132633054185,4.867727911513713,9.849054242055562,0.5563473096377956,0.9090909090909091,11759,0.11359841902813717
TED-ZHANG-SHASHA,4.80211949817803,4.80211949817803,9.60423899635606,3.552713678800501e-15,1.0,783,0.0
HEAD-CHG,4.258973269667831,4.420929656592309,8.67990292626014,1.2306758001735,0.875,280,0.16195638692447734
TED-KLEIN,4.138312141723464,4.138312141723464,8.276624283446928,0.0,1.0,783,0.0
TREE-DEPTH-DIFF,4.09762096404066,3.2665942578434195,7.364215221884079,0.7044020943944282,0.7857142857142857,1148,0.8310267061972403
CLAUSE-TYPE-CHG,2.2730248949903795,2.299879464592865,4.572904359583244,0.6219644360726219,0.6666666666666666,3408,0.026854569602485334
VERB-FORM-CHG,2.038159681645953,2.1424784362786666,4.1806381179246195,0.26791478017931114,1.0,13,0.10431875463271378
POS-CHG,1.7897584715978627,1.701973014090843,3.491731485688706,0.4366719137093581,1.0,84,0.08778545750701983
TOKEN-REORDER,0.9182958340544896,0.9182958340544896,1.8365916681089791,0.0,1.0,3,0.0
CONST-MOV,0.4651359817215547,0.4651359817215547,0.9302719634431094,0.0,1.0,13099,0.0
TED-SIMPLE,0.12392415689699107,0.12392415689699107,0.24784831379398214,-1.3877787807814457e-17,1.0,1142,0.0
