feature_id,feature_name,total_count,percentage
CONST-MOV,Constituent Movement,13099,27.023848819937285
DEP-REL-CHG,Dependency Relation Change,11759,24.259366232051494
CLAUSE-TYPE-CHG,Clause Type Change,3408,7.030863178742367
FW-DEL,Function Word Deletion,3210,6.622379930681631
C-DEL,Content Word Deletion,1405,2.8985806238653242
H-STRUCT,Headline Structure,1148,2.3683776200693183
CONST-COUNT-DIFF,Constituent Count Difference,1148,2.3683776200693183
TREE-DEPTH-DIFF,Tree Depth Difference,1148,2.3683776200693183
BRANCH-DIFF,Branching Factor Difference,1148,2.3683776200693183
DEP-DIST-DIFF,Dependency Distance Difference,1148,2.3683776200693183
H-TYPE,Headline Type,1148,2.3683776200693183
TED-SIMPLE,TED-SIMPLE,1142,2.3559993398250536
TED-RTED,TED-RTED,1142,2.3559993398250536
LENGTH-CHG,Sentence Length Change,1137,2.3456841062881666
TED-KLEIN,TED-KLEIN,783,1.6153655718765474
TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,783,1.6153655718765474
PUNCT-ADD,Punctuation Addition,753,1.5534741706552235
C-ADD,Content Word Addition,690,1.4235022280904441
CONST-REM,Constituent Removal,476,0.9820102327116685
PUNCT-DEL,Punctuation Deletion,420,0.8664796170985312
PUNCT-SUBST,Punctuation Substitution,413,0.8520382901468889
HEAD-CHG,Dependency Head Change,280,0.5776530780656874
FW-ADD,Function Word Addition,266,0.5487704241624031
FEAT-CHG,Morphological Feature Change,126,0.25994388512955935
CONST-ADD,Constituent Addition,114,0.23518732464102987
POS-CHG,Part of Speech Change,84,0.17329592341970623
FORM-CHG,Surface Form Change,61,0.12584584915002475
LEMMA-CHG,Lemma Change,17,0.035071794025416735
VERB-FORM-CHG,Verb Form Change,13,0.026819607195906914
TOKEN-REORDER,Token Reordering,3,0.006189140122132366
