feature_id,canonical_value,headline_value,transformation,count,percentage
FEAT-CHG,Tense=Past,Tense=Pres,Tense=Past→Tense=Pres,42,33.33333333333333
FEAT-CHG,Person=3,Person=ABSENT,Person=3→Person=ABSENT,8,6.349206349206349
FEAT-CHG,Number=Plur,Number=Sing,Number=Plur→Number=Sing,8,6.349206349206349
FEAT-CHG,Number=Sing,Number=ABSENT,Number=Sing→Number=ABSENT,7,5.555555555555555
FEAT-CHG,Mood=Ind,Mood=ABSENT,Mood=Ind→Mood=ABSENT,7,5.555555555555555
FEAT-CHG,Number=Sing,Number=Plur,Number=Sing→Number=Plur,6,4.761904761904762
FEAT-CHG,Person=ABSENT,Person=3,Person=ABSENT→Person=3,6,4.761904761904762
FEAT-CHG,Tense=Pres,Tense=ABSENT,Tense=Pres→Tense=ABSENT,5,3.968253968253968
FEAT-CHG,Number=ABSENT,Number=Sing,Number=ABSENT→Number=Sing,5,3.968253968253968
FEAT-CHG,Mood=ABSENT,Mood=Ind,Mood=ABSENT→Mood=Ind,5,3.968253968253968
FEAT-CHG,VerbForm=Part,VerbForm=Fin,VerbForm=Part→VerbForm=Fin,4,3.1746031746031744
FEAT-CHG,VerbForm=Fin,VerbForm=Inf,VerbForm=Fin→VerbForm=Inf,4,3.1746031746031744
FEAT-CHG,Tense=ABSENT,Tense=Pres,Tense=ABSENT→Tense=Pres,2,1.5873015873015872
FEAT-CHG,VerbForm=Fin,VerbForm=ABSENT,VerbForm=Fin→VerbForm=ABSENT,2,1.5873015873015872
FEAT-CHG,Tense=Past,Tense=ABSENT,Tense=Past→Tense=ABSENT,2,1.5873015873015872
FEAT-CHG,Degree=ABSENT,Degree=Pos,Degree=ABSENT→Degree=Pos,1,0.7936507936507936
FEAT-CHG,VerbForm=Part,VerbForm=Ger,VerbForm=Part→VerbForm=Ger,1,0.7936507936507936
FEAT-CHG,Voice=ABSENT,Voice=Pass,Voice=ABSENT→Voice=Pass,1,0.7936507936507936
FEAT-CHG,VerbForm=Fin,VerbForm=Part,VerbForm=Fin→VerbForm=Part,1,0.7936507936507936
FEAT-CHG,VerbForm=Inf,VerbForm=Ger,VerbForm=Inf→VerbForm=Ger,1,0.7936507936507936
FEAT-CHG,Person=3,Person=1,Person=3→Person=1,1,0.7936507936507936
FEAT-CHG,VerbForm=Inf,VerbForm=Fin,VerbForm=Inf→VerbForm=Fin,1,0.7936507936507936
FEAT-CHG,Number=Plur,Number=ABSENT,Number=Plur→Number=ABSENT,1,0.7936507936507936
FEAT-CHG,Case=Nom,Case=Acc,Case=Nom→Case=Acc,1,0.7936507936507936
FEAT-CHG,Case=ABSENT,Case=Nom,Case=ABSENT→Case=Nom,1,0.7936507936507936
FEAT-CHG,Gender=ABSENT,Gender=Neut,Gender=ABSENT→Gender=Neut,1,0.7936507936507936
FEAT-CHG,PronType=ABSENT,PronType=Prs,PronType=ABSENT→PronType=Prs,1,0.7936507936507936
FEAT-CHG,VerbForm=Ger,VerbForm=Part,VerbForm=Ger→VerbForm=Part,1,0.7936507936507936
