feature_id,canonical_value,headline_value,transformation,count,percentage
HEAD-CHG,3,2,3→2,86,30.714285714285715
HEAD-CHG,4,3,4→3,40,14.285714285714285
HEAD-CHG,6,5,6→5,17,6.071428571428571
HEAD-CHG,5,4,5→4,13,4.642857142857143
HEAD-CHG,11,10,11→10,8,2.857142857142857
HEAD-CHG,7,6,7→6,7,2.5
HEAD-CHG,9,6,9→6,5,1.7857142857142856
HEAD-CHG,8,7,8→7,5,1.7857142857142856
HEAD-CHG,6,3,6→3,5,1.7857142857142856
HEAD-CHG,9,7,9→7,4,1.4285714285714286
HEAD-CHG,12,11,12→11,4,1.4285714285714286
HEAD-CHG,12,10,12→10,4,1.4285714285714286
HEAD-CHG,9,8,9→8,4,1.4285714285714286
HEAD-CHG,11,9,11→9,4,1.4285714285714286
HEAD-CHG,5,3,5→3,3,1.0714285714285714
HEAD-CHG,9,10,9→10,3,1.0714285714285714
HEAD-CHG,3,4,3→4,3,1.0714285714285714
HEAD-CHG,14,13,14→13,3,1.0714285714285714
HEAD-CHG,4,2,4→2,3,1.0714285714285714
HEAD-CHG,10,8,10→8,3,1.0714285714285714
HEAD-CHG,4,5,4→5,3,1.0714285714285714
HEAD-CHG,13,12,13→12,3,1.0714285714285714
HEAD-CHG,3,5,3→5,2,0.7142857142857143
HEAD-CHG,13,10,13→10,2,0.7142857142857143
HEAD-CHG,8,5,8→5,2,0.7142857142857143
HEAD-CHG,7,5,7→5,2,0.7142857142857143
HEAD-CHG,1,3,1→3,2,0.7142857142857143
HEAD-CHG,7,8,7→8,2,0.7142857142857143
HEAD-CHG,10,9,10→9,2,0.7142857142857143
HEAD-CHG,13,11,13→11,2,0.7142857142857143
HEAD-CHG,4,7,4→7,2,0.7142857142857143
HEAD-CHG,6,4,6→4,2,0.7142857142857143
HEAD-CHG,8,9,8→9,2,0.7142857142857143
HEAD-CHG,10,12,10→12,2,0.7142857142857143
HEAD-CHG,2,4,2→4,2,0.7142857142857143
HEAD-CHG,10,7,10→7,2,0.7142857142857143
HEAD-CHG,15,14,15→14,1,0.35714285714285715
HEAD-CHG,1,13,1→13,1,0.35714285714285715
HEAD-CHG,4,1,4→1,1,0.35714285714285715
HEAD-CHG,4,6,4→6,1,0.35714285714285715
HEAD-CHG,6,8,6→8,1,0.35714285714285715
HEAD-CHG,18,3,18→3,1,0.35714285714285715
HEAD-CHG,15,11,15→11,1,0.35714285714285715
HEAD-CHG,8,4,8→4,1,0.35714285714285715
HEAD-CHG,14,12,14→12,1,0.35714285714285715
HEAD-CHG,8,6,8→6,1,0.35714285714285715
HEAD-CHG,15,12,15→12,1,0.35714285714285715
HEAD-CHG,15,10,15→10,1,0.35714285714285715
HEAD-CHG,9,11,9→11,1,0.35714285714285715
HEAD-CHG,6,2,6→2,1,0.35714285714285715
HEAD-CHG,11,8,11→8,1,0.35714285714285715
HEAD-CHG,5,2,5→2,1,0.35714285714285715
HEAD-CHG,3,6,3→6,1,0.35714285714285715
HEAD-CHG,3,8,3→8,1,0.35714285714285715
HEAD-CHG,9,5,9→5,1,0.35714285714285715
HEAD-CHG,11,7,11→7,1,0.35714285714285715
HEAD-CHG,8,3,8→3,1,0.35714285714285715
HEAD-CHG,2,3,2→3,1,0.35714285714285715
