feature_id,canonical_value,headline_value,transformation,count,percentage
LENGTH-CHG,14,11,14→11,59,5.189094107299912
LENGTH-CHG,16,12,16→12,56,4.925241864555849
LENGTH-CHG,14,10,14→10,40,3.518029903254178
LENGTH-CHG,16,11,16→11,40,3.518029903254178
LENGTH-CHG,15,11,15→11,40,3.518029903254178
LENGTH-CHG,15,12,15→12,39,3.430079155672823
LENGTH-CHG,13,10,13→10,36,3.16622691292876
LENGTH-CHG,17,13,17→13,34,2.990325417766051
LENGTH-CHG,17,12,17→12,34,2.990325417766051
LENGTH-CHG,16,13,16→13,31,2.7264731750219875
LENGTH-CHG,19,13,19→13,30,2.638522427440633
LENGTH-CHG,17,14,17→14,29,2.550571679859279
LENGTH-CHG,12,9,12→9,27,2.3746701846965697
LENGTH-CHG,18,13,18→13,27,2.3746701846965697
LENGTH-CHG,18,12,18→12,26,2.2867194371152153
LENGTH-CHG,12,10,12→10,24,2.1108179419525066
LENGTH-CHG,14,12,14→12,24,2.1108179419525066
LENGTH-CHG,19,14,19→14,24,2.1108179419525066
LENGTH-CHG,17,11,17→11,24,2.1108179419525066
LENGTH-CHG,13,11,13→11,22,1.9349164467897977
LENGTH-CHG,15,10,15→10,21,1.8469656992084433
LENGTH-CHG,20,13,20→13,20,1.759014951627089
LENGTH-CHG,13,9,13→9,18,1.58311345646438
LENGTH-CHG,20,14,20→14,18,1.58311345646438
LENGTH-CHG,18,14,18→14,17,1.4951627088830255
LENGTH-CHG,14,9,14→9,17,1.4951627088830255
LENGTH-CHG,20,15,20→15,16,1.4072119613016711
LENGTH-CHG,16,10,16→10,15,1.3192612137203166
LENGTH-CHG,19,12,19→12,14,1.2313104661389622
LENGTH-CHG,11,9,11→9,14,1.2313104661389622
LENGTH-CHG,21,14,21→14,13,1.1433597185576077
LENGTH-CHG,15,13,15→13,12,1.0554089709762533
LENGTH-CHG,18,11,18→11,12,1.0554089709762533
LENGTH-CHG,16,14,16→14,11,0.9674582233948988
LENGTH-CHG,21,13,21→13,10,0.8795074758135445
LENGTH-CHG,22,16,22→16,10,0.8795074758135445
LENGTH-CHG,13,12,13→12,10,0.8795074758135445
LENGTH-CHG,21,15,21→15,10,0.8795074758135445
LENGTH-CHG,19,11,19→11,9,0.79155672823219
LENGTH-CHG,10,7,10→7,8,0.7036059806508356
LENGTH-CHG,11,8,11→8,8,0.7036059806508356
LENGTH-CHG,20,12,20→12,7,0.6156552330694811
LENGTH-CHG,17,10,17→10,7,0.6156552330694811
LENGTH-CHG,23,15,23→15,6,0.5277044854881267
LENGTH-CHG,19,15,19→15,6,0.5277044854881267
LENGTH-CHG,18,15,18→15,6,0.5277044854881267
LENGTH-CHG,13,8,13→8,6,0.5277044854881267
LENGTH-CHG,12,11,12→11,6,0.5277044854881267
LENGTH-CHG,12,8,12→8,6,0.5277044854881267
LENGTH-CHG,22,13,22→13,5,0.43975373790677225
LENGTH-CHG,23,16,23→16,5,0.43975373790677225
LENGTH-CHG,21,16,21→16,5,0.43975373790677225
LENGTH-CHG,22,15,22→15,4,0.3518029903254178
LENGTH-CHG,22,17,22→17,4,0.3518029903254178
LENGTH-CHG,15,9,15→9,4,0.3518029903254178
LENGTH-CHG,20,16,20→16,4,0.3518029903254178
LENGTH-CHG,10,8,10→8,4,0.3518029903254178
LENGTH-CHG,18,10,18→10,4,0.3518029903254178
LENGTH-CHG,23,17,23→17,4,0.3518029903254178
LENGTH-CHG,20,11,20→11,4,0.3518029903254178
LENGTH-CHG,22,14,22→14,4,0.3518029903254178
LENGTH-CHG,11,10,11→10,4,0.3518029903254178
LENGTH-CHG,23,13,23→13,3,0.2638522427440633
LENGTH-CHG,19,16,19→16,3,0.2638522427440633
LENGTH-CHG,25,15,25→15,3,0.2638522427440633
LENGTH-CHG,21,12,21→12,3,0.2638522427440633
LENGTH-CHG,23,18,23→18,3,0.2638522427440633
LENGTH-CHG,22,12,22→12,3,0.2638522427440633
LENGTH-CHG,24,14,24→14,3,0.2638522427440633
LENGTH-CHG,18,9,18→9,3,0.2638522427440633
LENGTH-CHG,20,17,20→17,3,0.2638522427440633
LENGTH-CHG,14,13,14→13,3,0.2638522427440633
LENGTH-CHG,17,15,17→15,3,0.2638522427440633
LENGTH-CHG,10,9,10→9,3,0.2638522427440633
LENGTH-CHG,24,17,24→17,2,0.1759014951627089
LENGTH-CHG,10,6,10→6,2,0.1759014951627089
LENGTH-CHG,24,16,24→16,2,0.1759014951627089
LENGTH-CHG,25,17,25→17,2,0.1759014951627089
LENGTH-CHG,21,11,21→11,2,0.1759014951627089
LENGTH-CHG,11,7,11→7,2,0.1759014951627089
LENGTH-CHG,16,15,16→15,2,0.1759014951627089
LENGTH-CHG,14,8,14→8,2,0.1759014951627089
LENGTH-CHG,16,9,16→9,2,0.1759014951627089
LENGTH-CHG,15,14,15→14,2,0.1759014951627089
LENGTH-CHG,15,7,15→7,1,0.08795074758135445
LENGTH-CHG,23,11,23→11,1,0.08795074758135445
LENGTH-CHG,5,3,5→3,1,0.08795074758135445
LENGTH-CHG,8,6,8→6,1,0.08795074758135445
LENGTH-CHG,23,14,23→14,1,0.08795074758135445
LENGTH-CHG,25,20,25→20,1,0.08795074758135445
LENGTH-CHG,26,14,26→14,1,0.08795074758135445
LENGTH-CHG,26,13,26→13,1,0.08795074758135445
LENGTH-CHG,19,9,19→9,1,0.08795074758135445
LENGTH-CHG,21,17,21→17,1,0.08795074758135445
LENGTH-CHG,23,12,23→12,1,0.08795074758135445
LENGTH-CHG,17,9,17→9,1,0.08795074758135445
LENGTH-CHG,13,14,13→14,1,0.08795074758135445
LENGTH-CHG,25,12,25→12,1,0.08795074758135445
LENGTH-CHG,24,13,24→13,1,0.08795074758135445
LENGTH-CHG,19,17,19→17,1,0.08795074758135445
LENGTH-CHG,25,18,25→18,1,0.08795074758135445
LENGTH-CHG,27,19,27→19,1,0.08795074758135445
LENGTH-CHG,25,13,25→13,1,0.08795074758135445
LENGTH-CHG,26,18,26→18,1,0.08795074758135445
LENGTH-CHG,25,10,25→10,1,0.08795074758135445
LENGTH-CHG,11,13,11→13,1,0.08795074758135445
LENGTH-CHG,17,16,17→16,1,0.08795074758135445
LENGTH-CHG,13,15,13→15,1,0.08795074758135445
LENGTH-CHG,11,18,11→18,1,0.08795074758135445
LENGTH-CHG,10,12,10→12,1,0.08795074758135445
LENGTH-CHG,24,15,24→15,1,0.08795074758135445
