feature_id,canonical_value,headline_value,transformation,count,percentage
TED-KLEIN,10,10,10→10,154,19.66794380587484
TED-KLEIN,12,12,12→12,113,14.431673052362706
TED-KLEIN,14,14,14→14,81,10.344827586206897
TED-KLEIN,16,16,16→16,46,5.874840357598978
TED-KLEIN,15,15,15→15,39,4.980842911877394
TED-KLEIN,18,18,18→18,38,4.853128991060025
TED-KLEIN,21,21,21→21,28,3.5759897828863343
TED-KLEIN,13,13,13→13,28,3.5759897828863343
TED-KLEIN,17,17,17→17,28,3.5759897828863343
TED-KLEIN,20,20,20→20,26,3.3205619412515963
TED-KLEIN,19,19,19→19,22,2.80970625798212
TED-KLEIN,22,22,22→22,22,2.80970625798212
TED-KLEIN,6,6,6→6,19,2.4265644955300125
TED-KLEIN,11,11,11→11,17,2.1711366538952745
TED-KLEIN,9,9,9→9,15,1.9157088122605364
TED-KLEIN,25,25,25→25,13,1.6602809706257982
TED-KLEIN,23,23,23→23,12,1.532567049808429
TED-KLEIN,24,24,24→24,12,1.532567049808429
TED-KLEIN,8,8,8→8,9,1.1494252873563218
TED-KLEIN,4,4,4→4,9,1.1494252873563218
TED-KLEIN,26,26,26→26,7,0.8939974457215836
TED-KLEIN,29,29,29→29,6,0.7662835249042145
TED-KLEIN,7,7,7→7,6,0.7662835249042145
TED-KLEIN,5,5,5→5,6,0.7662835249042145
TED-KLEIN,31,31,31→31,5,0.6385696040868455
TED-KLEIN,27,27,27→27,5,0.6385696040868455
TED-KLEIN,2,2,2→2,4,0.5108556832694764
TED-KLEIN,32,32,32→32,2,0.2554278416347382
TED-KLEIN,28,28,28→28,2,0.2554278416347382
TED-KLEIN,33,33,33→33,1,0.1277139208173691
TED-KLEIN,35,35,35→35,1,0.1277139208173691
TED-KLEIN,36,36,36→36,1,0.1277139208173691
TED-KLEIN,3,3,3→3,1,0.1277139208173691
TED-KLEIN,37,37,37→37,1,0.1277139208173691
TED-KLEIN,34,34,34→34,1,0.1277139208173691
TED-KLEIN,49,49,49→49,1,0.1277139208173691
TED-KLEIN,30,30,30→30,1,0.1277139208173691
TED-KLEIN,40,40,40→40,1,0.1277139208173691
