feature_id,canonical_value,headline_value,transformation,count,percentage
TED-RTED,8,8,8→8,50,4.378283712784588
TED-RTED,12,12,12→12,49,4.2907180385288965
TED-RTED,15,15,15→15,48,4.203152364273205
TED-RTED,10,10,10→10,48,4.203152364273205
TED-RTED,13,13,13→13,45,3.940455341506129
TED-RTED,9,9,9→9,44,3.852889667250438
TED-RTED,22,22,22→22,41,3.5901926444833623
TED-RTED,14,14,14→14,41,3.5901926444833623
TED-RTED,16,16,16→16,40,3.502626970227671
TED-RTED,11,11,11→11,40,3.502626970227671
TED-RTED,17,17,17→17,38,3.327495621716287
TED-RTED,25,25,25→25,37,3.239929947460595
TED-RTED,18,18,18→18,36,3.1523642732049035
TED-RTED,23,23,23→23,36,3.1523642732049035
TED-RTED,19,19,19→19,35,3.064798598949212
TED-RTED,20,20,20→20,35,3.064798598949212
TED-RTED,27,27,27→27,35,3.064798598949212
TED-RTED,26,26,26→26,34,2.9772329246935203
TED-RTED,21,21,21→21,34,2.9772329246935203
TED-RTED,24,24,24→24,32,2.8021015761821366
TED-RTED,28,28,28→28,28,2.4518388791593697
TED-RTED,6,6,6→6,26,2.276707530647986
TED-RTED,31,31,31→31,23,2.0140105078809105
TED-RTED,29,29,29→29,23,2.0140105078809105
TED-RTED,32,32,32→32,22,1.926444833625219
TED-RTED,33,33,33→33,22,1.926444833625219
TED-RTED,30,30,30→30,20,1.7513134851138354
TED-RTED,7,7,7→7,18,1.5761821366024518
TED-RTED,39,39,39→39,18,1.5761821366024518
TED-RTED,37,37,37→37,15,1.3134851138353765
TED-RTED,35,35,35→35,12,1.0507880910683012
TED-RTED,34,34,34→34,12,1.0507880910683012
TED-RTED,36,36,36→36,11,0.9632224168126094
TED-RTED,5,5,5→5,10,0.8756567425569177
TED-RTED,40,40,40→40,10,0.8756567425569177
TED-RTED,4,4,4→4,9,0.7880910683012259
TED-RTED,41,41,41→41,7,0.6129597197898424
TED-RTED,42,42,42→42,7,0.6129597197898424
TED-RTED,43,43,43→43,7,0.6129597197898424
TED-RTED,38,38,38→38,6,0.5253940455341506
TED-RTED,2,2,2→2,5,0.43782837127845886
TED-RTED,47,47,47→47,5,0.43782837127845886
TED-RTED,44,44,44→44,4,0.3502626970227671
TED-RTED,51,51,51→51,4,0.3502626970227671
TED-RTED,45,45,45→45,3,0.2626970227670753
TED-RTED,48,48,48→48,3,0.2626970227670753
TED-RTED,56,56,56→56,3,0.2626970227670753
TED-RTED,60,60,60→60,2,0.17513134851138354
TED-RTED,54,54,54→54,2,0.17513134851138354
TED-RTED,55,55,55→55,2,0.17513134851138354
TED-RTED,61,61,61→61,1,0.08756567425569177
TED-RTED,50,50,50→50,1,0.08756567425569177
TED-RTED,3,3,3→3,1,0.08756567425569177
TED-RTED,53,53,53→53,1,0.08756567425569177
TED-RTED,49,49,49→49,1,0.08756567425569177
