feature_id,canonical_value,headline_value,transformation,count,percentage
TED-ZHANG-SHASHA,8,8,8→8,53,6.7688378033205625
TED-ZHANG-SHASHA,15,15,15→15,48,6.130268199233716
TED-ZHANG-SHASHA,10,10,10→10,47,6.002554278416347
TED-ZHANG-SHASHA,12,12,12→12,46,5.874840357598978
TED-ZHANG-SHASHA,13,13,13→13,42,5.363984674329502
TED-ZHANG-SHASHA,14,14,14→14,41,5.236270753512133
TED-ZHANG-SHASHA,20,20,20→20,36,4.597701149425287
TED-ZHANG-SHASHA,11,11,11→11,36,4.597701149425287
TED-ZHANG-SHASHA,17,17,17→17,36,4.597701149425287
TED-ZHANG-SHASHA,9,9,9→9,35,4.469987228607918
TED-ZHANG-SHASHA,18,18,18→18,35,4.469987228607918
TED-ZHANG-SHASHA,16,16,16→16,34,4.342273307790549
TED-ZHANG-SHASHA,19,19,19→19,32,4.086845466155811
TED-ZHANG-SHASHA,21,21,21→21,29,3.7037037037037033
TED-ZHANG-SHASHA,6,6,6→6,27,3.4482758620689653
TED-ZHANG-SHASHA,22,22,22→22,25,3.1928480204342273
TED-ZHANG-SHASHA,23,23,23→23,20,2.554278416347382
TED-ZHANG-SHASHA,7,7,7→7,18,2.2988505747126435
TED-ZHANG-SHASHA,25,25,25→25,16,2.0434227330779056
TED-ZHANG-SHASHA,26,26,26→26,15,1.9157088122605364
TED-ZHANG-SHASHA,30,30,30→30,13,1.6602809706257982
TED-ZHANG-SHASHA,24,24,24→24,13,1.6602809706257982
TED-ZHANG-SHASHA,29,29,29→29,11,1.40485312899106
TED-ZHANG-SHASHA,27,27,27→27,10,1.277139208173691
TED-ZHANG-SHASHA,5,5,5→5,10,1.277139208173691
TED-ZHANG-SHASHA,4,4,4→4,9,1.1494252873563218
TED-ZHANG-SHASHA,33,33,33→33,5,0.6385696040868455
TED-ZHANG-SHASHA,2,2,2→2,5,0.6385696040868455
TED-ZHANG-SHASHA,34,34,34→34,5,0.6385696040868455
TED-ZHANG-SHASHA,35,35,35→35,5,0.6385696040868455
TED-ZHANG-SHASHA,38,38,38→38,5,0.6385696040868455
TED-ZHANG-SHASHA,32,32,32→32,4,0.5108556832694764
TED-ZHANG-SHASHA,28,28,28→28,4,0.5108556832694764
TED-ZHANG-SHASHA,31,31,31→31,3,0.38314176245210724
TED-ZHANG-SHASHA,40,40,40→40,2,0.2554278416347382
TED-ZHANG-SHASHA,39,39,39→39,2,0.2554278416347382
TED-ZHANG-SHASHA,37,37,37→37,2,0.2554278416347382
TED-ZHANG-SHASHA,42,42,42→42,1,0.1277139208173691
TED-ZHANG-SHASHA,3,3,3→3,1,0.1277139208173691
TED-ZHANG-SHASHA,36,36,36→36,1,0.1277139208173691
TED-ZHANG-SHASHA,43,43,43→43,1,0.1277139208173691
