pair_unit,frequency
FW-DEL:CCONJ-DEL→ABSENT,207
FW-DEL:AUX-DEL→ABSENT,1171
FW-DEL:ART-DEL→ABSENT,1065
C-DEL:NOUN-DEL→ABSENT,598
C-ADD:ABSENT→NOUN-ADD,516
DEP-REL-CHG:det→root,64
DEP-REL-CHG:nsubj→mark,41
DEP-REL-CHG:aux→acl,26
DEP-REL-CHG:root→nummod,58
DEP-REL-CHG:nummod→compound,40
DEP-REL-CHG:compound→obj,97
DEP-REL-CHG:compound→punct,118
DEP-REL-CHG:cc→nummod,4
DEP-REL-CHG:compound→appos,23
DEP-REL-CHG:obj→det,6
DEP-REL-CHG:det→nmod:unmarked,3
LENGTH-CHG:15→13,12
CONST-ADD:ABSENT→SBAR-ADD,19
CONST-MOV:CONST-FRONT→CONST-FRONT,11805
CONST-MOV:CONST-POST→CONST-POST,1294
CLAUSE-TYPE-CHG:Fin→Inf,749
TED-SIMPLE:10→10,1128
TED-ZHANG-SHASHA:21→21,29
TED-KLEIN:13→13,28
TED-RTED:18→18,36
PUNCT-DEL:period→,1126
PUNCT-ADD:→comma,151
"PUNCT-SUBST:and→,",114
H-STRUCT:→single-line,1138
H-TYPE:→fragment,272
TREE-DEPTH-DIFF:8→9,24
CONST-COUNT-DIFF:25→26,1
DEP-DIST-DIFF:3.71→2.25,1
BRANCH-DIFF:2.40→1.92,1
FW-DEL:PRON-PERS-DEL→ABSENT,268
FW-ADD:ABSENT→SCONJ-ADD,12
C-DEL:ADV-DEL→ABSENT,7
FORM-CHG:asked→asks,1
DEP-REL-CHG:root→flat,20
DEP-REL-CHG:case→flat,49
DEP-REL-CHG:nmod:poss→punct,32
DEP-REL-CHG:amod→root,37
DEP-REL-CHG:obl→obj,19
DEP-REL-CHG:advmod→mark,5
DEP-REL-CHG:iobj→case,6
DEP-REL-CHG:case→amod,65
FEAT-CHG:Tense=Past→Tense=Pres,42
LENGTH-CHG:13→12,10
TED-ZHANG-SHASHA:29→29,11
TED-KLEIN:16→16,46
TED-RTED:27→27,35
H-TYPE:→non-fragment,876
TREE-DEPTH-DIFF:9→8,69
CONST-COUNT-DIFF:27→24,8
DEP-DIST-DIFF:3.08→2.18,1
BRANCH-DIFF:1.86→1.92,1
FW-DEL:SCONJ-DEL→ABSENT,253
FW-ADD:ABSENT→PRON-PERS-ADD,88
C-DEL:VERB-DEL→ABSENT,609
DEP-REL-CHG:nsubj→vocative,7
DEP-REL-CHG:flat→punct,27
DEP-REL-CHG:aux→nsubj,42
DEP-REL-CHG:root→cop,17
DEP-REL-CHG:mark→root,30
DEP-REL-CHG:nsubj→advmod,42
DEP-REL-CHG:cc→nsubj,5
DEP-REL-CHG:conj→advcl,1
DEP-REL-CHG:cop→case,19
DEP-REL-CHG:ccomp→obl,26
DEP-REL-CHG:advmod→punct,27
DEP-REL-CHG:nsubj→parataxis,16
DEP-REL-CHG:advcl→flat,5
LENGTH-CHG:16→13,31
CLAUSE-TYPE-CHG:Part→Fin,1341
TED-ZHANG-SHASHA:23→23,20
TED-KLEIN:12→12,113
PUNCT-ADD:→colon,466
PUNCT-SUBST:and→:,80
TREE-DEPTH-DIFF:13→10,29
CONST-COUNT-DIFF:33→30,3
DEP-DIST-DIFF:3.00→2.17,4
BRANCH-DIFF:1.88→1.71,1
C-DEL:ADJ-DEL→ABSENT,191
DEP-REL-CHG:aux→advmod,26
DEP-REL-CHG:advmod→root,8
DEP-REL-CHG:root→case,144
DEP-REL-CHG:case→compound,123
DEP-REL-CHG:det→obl,76
DEP-REL-CHG:compound→nsubj,98
DEP-REL-CHG:amod→acl:relcl,2
DEP-REL-CHG:obl→punct,50
DEP-REL-CHG:nsubj→xcomp,19
DEP-REL-CHG:acl:relcl→flat,2
HEAD-CHG:4→3,40
HEAD-CHG:13→10,2
LENGTH-CHG:16→12,56
CONST-REM:ADJP-REM→ABSENT,24
TED-ZHANG-SHASHA:15→15,48
TED-KLEIN:9→9,15
TED-RTED:13→13,45
TREE-DEPTH-DIFF:11→10,30
CONST-COUNT-DIFF:31→25,14
DEP-DIST-DIFF:2.73→1.64,1
BRANCH-DIFF:2.00→1.85,10
DEP-REL-CHG:det→nsubj,164
DEP-REL-CHG:compound→root,72
DEP-REL-CHG:amod→obj,55
DEP-REL-CHG:nsubj→cc,4
DEP-REL-CHG:root→advmod,27
DEP-REL-CHG:punct→conj,12
DEP-REL-CHG:punct→nmod:poss,20
DEP-REL-CHG:nsubj→obj,62
DEP-REL-CHG:ccomp→advmod,7
DEP-REL-CHG:obj→punct,84
DEP-REL-CHG:cc→compound,17
DEP-REL-CHG:aux→parataxis,12
LENGTH-CHG:20→13,20
CONST-REM:SBAR-REM→ABSENT,295
CLAUSE-TYPE-CHG:Inf→Fin,445
TED-RTED:28→28,28
PUNCT-DEL:comma→,196
PUNCT-DEL:quote→,95
TREE-DEPTH-DIFF:11→8,50
CONST-COUNT-DIFF:37→26,7
DEP-DIST-DIFF:2.89→2.33,1
BRANCH-DIFF:2.12→1.92,4
DEP-REL-CHG:aux→flat,22
DEP-REL-CHG:root→punct,63
DEP-REL-CHG:mark→flat,13
DEP-REL-CHG:nsubj→flat,26
DEP-REL-CHG:flat→aux,14
DEP-REL-CHG:cc→advmod,4
DEP-REL-CHG:conj→root,4
DEP-REL-CHG:conj→punct,10
LENGTH-CHG:13→10,36
CLAUSE-TYPE-CHG:Fin→Part,612
TED-ZHANG-SHASHA:16→16,34
TED-KLEIN:10→10,154
TED-RTED:19→19,35
TREE-DEPTH-DIFF:9→6,24
CONST-COUNT-DIFF:26→20,13
DEP-DIST-DIFF:4.08→2.22,2
BRANCH-DIFF:1.92→1.90,3
C-ADD:ABSENT→VERB-ADD,99
DEP-REL-CHG:nsubj→root,272
DEP-REL-CHG:cc→punct,44
DEP-REL-CHG:conj→appos,14
DEP-REL-CHG:case→nummod,43
DEP-REL-CHG:compound→nmod,38
DEP-REL-CHG:root→mark,41
DEP-REL-CHG:mark→acl,15
DEP-REL-CHG:acl→compound,12
LENGTH-CHG:13→11,22
TED-ZHANG-SHASHA:13→13,42
TED-KLEIN:14→14,81
TED-RTED:12→12,49
TREE-DEPTH-DIFF:11→9,27
CONST-COUNT-DIFF:25→23,6
DEP-DIST-DIFF:2.58→2.10,1
BRANCH-DIFF:2.00→1.83,10
DEP-REL-CHG:amod→aux,3
DEP-REL-CHG:aux→punct,62
DEP-REL-CHG:root→conj,4
DEP-REL-CHG:mark→punct,45
DEP-REL-CHG:nsubj→conj,7
DEP-REL-CHG:ccomp→appos,18
LENGTH-CHG:17→10,7
TED-ZHANG-SHASHA:26→26,15
TED-KLEIN:17→17,28
TREE-DEPTH-DIFF:10→7,32
CONST-COUNT-DIFF:29→18,4
DEP-DIST-DIFF:2.56→2.11,1
BRANCH-DIFF:2.33→2.12,4
DEP-REL-CHG:aux→root,245
DEP-REL-CHG:root→obj,136
HEAD-CHG:3→2,86
LENGTH-CHG:5→3,1
TED-SIMPLE:6→6,3
TED-ZHANG-SHASHA:6→6,27
TED-KLEIN:7→7,6
TED-RTED:6→6,26
TREE-DEPTH-DIFF:6→5,10
CONST-COUNT-DIFF:11→8,1
DEP-DIST-DIFF:1.50→1.00,1
BRANCH-DIFF:1.67→1.40,1
FORM-CHG:lost→lose,1
DEP-REL-CHG:obj→compound,66
DEP-REL-CHG:obl→case,71
DEP-REL-CHG:case→det,13
HEAD-CHG:6→8,1
HEAD-CHG:4→6,1
LENGTH-CHG:17→14,29
TED-ZHANG-SHASHA:14→14,41
TREE-DEPTH-DIFF:8→6,28
CONST-COUNT-DIFF:31→24,14
DEP-DIST-DIFF:3.88→3.08,1
BRANCH-DIFF:2.14→2.30,1
FORM-CHG:is→being,1
DEP-REL-CHG:aux→aux:pass,11
DEP-REL-CHG:aux:pass→root,17
HEAD-CHG:15→14,1
FEAT-CHG:Number=Sing→Number=ABSENT,7
FEAT-CHG:Mood=Ind→Mood=ABSENT,7
FEAT-CHG:Person=3→Person=ABSENT,8
FEAT-CHG:VerbForm=Fin→VerbForm=Part,1
VERB-FORM-CHG:Fin→Part,1
LENGTH-CHG:16→14,11
CLAUSE-TYPE-CHG:Fin→Ger,140
TED-SIMPLE:5→5,1
TED-ZHANG-SHASHA:5→5,10
TED-RTED:5→5,10
CONST-COUNT-DIFF:25→22,10
DEP-DIST-DIFF:2.87→3.00,1
BRANCH-DIFF:2.67→2.62,1
DEP-REL-CHG:root→xcomp,20
DEP-REL-CHG:xcomp→case,22
DEP-REL-CHG:case→obl,165
HEAD-CHG:5→4,13
LENGTH-CHG:10→7,8
CLAUSE-TYPE-CHG:Ger→Fin,66
TED-ZHANG-SHASHA:8→8,53
TED-RTED:8→8,50
CONST-COUNT-DIFF:20→16,5
DEP-DIST-DIFF:2.00→1.33,1
BRANCH-DIFF:1.90→1.67,1
FW-DEL:ADP-DEL→ABSENT,246
DEP-REL-CHG:det→punct,99
DEP-REL-CHG:nsubj→compound,87
DEP-REL-CHG:case→punct,105
DEP-REL-CHG:punct→nsubj,45
DEP-REL-CHG:nmod→aux,1
DEP-REL-CHG:punct→root,48
