lemma,pos,feature_id,transformation,confidence,frequency,context
year,NOUN,CONST-MOV,CONST-FRONT,1.0,235,{}
US,PROPN,CONST-MOV,CONST-FRONT,1.0,176,{}
China,PROPN,CONST-MOV,CONST-FRONT,1.0,166,{}
man,NOUN,CONST-MOV,CONST-FRONT,1.0,161,{}
India,PROPN,CONST-MOV,CONST-FRONT,1.0,140,{}
woman,NOUN,CONST-MOV,CONST-FRONT,1.0,117,{}
p.m.,NOUN,CONST-MOV,CONST-FRONT,1.0,117,{}
kill,VERB,CONST-MOV,CONST-FRONT,1.0,117,{}
BJP,PROPN,CONST-MOV,CONST-FRONT,1.0,117,{}
want,VERB,CONST-MOV,CONST-FRONT,1.0,98,{}
person,NOUN,CONST-MOV,CONST-FRONT,1.0,98,{}
CBI,PROPN,CONST-MOV,CONST-FRONT,1.0,91,{}
Ex,PROPN,CONST-MOV,CONST-FRONT,1.0,87,{}
film,NOUN,CONST-MOV,CONST-FRONT,1.0,87,{}
World,PROPN,CONST-MOV,CONST-FRONT,1.0,83,{}
Priyanka,PROPN,CONST-MOV,CONST-FRONT,1.0,75,{}
Indian,ADJ,CONST-MOV,CONST-FRONT,1.0,71,{}
Kangana,PROPN,CONST-MOV,CONST-FRONT,1.0,70,{}
UP,PROPN,CONST-MOV,CONST-FRONT,1.0,64,{}
govt,PROPN,CONST-MOV,CONST-FRONT,1.0,63,{}
MS,PROPN,CONST-MOV,CONST-FRONT,1.0,61,{}
former,ADJ,CONST-MOV,CONST-FRONT,1.0,58,{}
Mumbai,PROPN,CONST-MOV,CONST-FRONT,1.0,58,{}
Delhi,PROPN,CONST-MOV,CONST-FRONT,1.0,53,{}
ready,ADJ,CONST-MOV,CONST-FRONT,1.0,52,{}
let,VERB,CONST-MOV,CONST-FRONT,1.0,47,{}
have,VERB,CONST-MOV,CONST-FRONT,1.0,46,{}
police,NOUN,CONST-MOV,CONST-FRONT,1.0,45,{}
get,VERB,CONST-MOV,CONST-FRONT,1.0,44,{}
year,NOUN,CONST-MOV,CONST-POST,1.0,42,{}
British,ADJ,CONST-MOV,CONST-FRONT,1.0,42,{}
pay,VERB,CONST-MOV,CONST-FRONT,1.0,42,{}
SC,PROPN,CONST-MOV,CONST-FRONT,1.0,41,{}
Pakistan,PROPN,CONST-MOV,CONST-FRONT,1.0,41,{}
footballer,NOUN,CONST-MOV,CONST-FRONT,1.0,40,{}
Google,PROPN,CONST-MOV,CONST-FRONT,1.0,40,{}
ISRO,PROPN,CONST-MOV,CONST-FRONT,1.0,39,{}
think,VERB,CONST-MOV,CONST-FRONT,1.0,39,{}
IndiGo,PROPN,CONST-MOV,CONST-FRONT,1.0,39,{}
UK,PROPN,CONST-MOV,CONST-FRONT,1.0,39,{}
Dhoni,PROPN,CONST-MOV,CONST-FRONT,1.0,39,{}
govt,NOUN,CONST-MOV,CONST-FRONT,1.0,38,{}
SBI,PROPN,CONST-MOV,CONST-FRONT,1.0,38,{}
mother,NOUN,CONST-MOV,CONST-FRONT,1.0,37,{}
Hardik,PROPN,CONST-MOV,CONST-FRONT,1.0,36,{}
