rule_id,pos_pattern,dep_pattern,position_pattern,feature_id,transformation,confidence,frequency,conditions
SYN_0000,PROPN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,2970,{}
SYN_0001,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,1062,{}
SYN_0002,NOUN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,935,{}
SYN_0003,VERB,root,medial,CONST-MOV,CONST-FRONT,1.0,864,{}
SYN_0004,ADJ,amod,initial,CONST-MOV,CONST-FRONT,1.0,673,{}
SYN_0005,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,518,{}
SYN_0006,NOUN,compound,initial,CONST-MOV,CONST-FRONT,1.0,461,{}
SYN_0007,VERB,root,initial,CONST-MOV,CONST-FRONT,1.0,422,{}
SYN_0008,PROPN,root,initial,CONST-MOV,CONST-FRONT,1.0,352,{}
SYN_0009,PROPN,nmod,NOUN,CONST-MOV,CONST-FRONT,1.0,339,{}
SYN_0010,NOUN,root,initial,CONST-MOV,CONST-FRONT,1.0,292,{}
SYN_0011,PROPN,nsubj,initial,CONST-MOV,CONST-POST,1.0,287,{}
SYN_0012,PROPN,nsubj,initial,TED-SIMPLE,10,1.0,276,{}
SYN_0013,NOUN,obl,ADJ,CONST-MOV,CONST-FRONT,1.0,199,{}
SYN_0014,NOUN,nsubj,medial,CONST-MOV,CONST-FRONT,1.0,169,{}
SYN_0015,ADJ,root,medial,CONST-MOV,CONST-FRONT,1.0,167,{}
SYN_0016,PROPN,nsubj,initial,CLAUSE-TYPE-CHG,Fin,1.0,166,{}
SYN_0017,PROPN,nsubj,initial,CLAUSE-TYPE-CHG,Fin,1.0,145,{}
SYN_0018,NOUN,root,medial,CONST-MOV,CONST-FRONT,1.0,123,{}
SYN_0019,PROPN,nsubj,initial,C-ADD,ABSENT,1.0,120,{}
SYN_0020,PROPN,compound,medial,CONST-MOV,CONST-FRONT,1.0,117,{}
SYN_0021,VERB,root,medial,CONST-MOV,CONST-POST,1.0,108,{}
