type,rule_description,frequency,confidence,feature_id
Lexical,year(NOUN) → CONST-FRONT,235,1.0,CONST-MOV
Lexical,US(PROPN) → CONST-FRONT,176,1.0,CONST-MOV
Lexical,China(PROPN) → CONST-FRONT,166,1.0,CONST-MOV
Lexical,man(NOUN) → CONST-FRONT,161,1.0,CONST-MOV
Lexical,India(PROPN) → CONST-FRONT,140,1.0,CONST-MOV
Lexical,woman(NOUN) → CONST-FRONT,117,1.0,CONST-MOV
Lexical,p.m.(NOUN) → CONST-FRONT,117,1.0,CONST-MOV
Lexical,kill(VERB) → CONST-FRONT,117,1.0,CONST-MOV
Lexical,BJP(PROPN) → CONST-FRONT,117,1.0,CONST-MOV
Lexical,want(VERB) → CONST-FRONT,98,1.0,CONST-MOV
Lexical,person(NOUN) → CONST-FRONT,98,1.0,CONST-MOV
Lexical,CBI(PROPN) → CONST-FRONT,91,1.0,CONST-MOV
Lexical,Ex(PROPN) → CONST-FRONT,87,1.0,CONST-MOV
Lexical,film(NOUN) → CONST-FRONT,87,1.0,CONST-MOV
Lexical,World(PROPN) → CONST-FRONT,83,1.0,CONST-MOV
Lexical,Priyanka(PROPN) → CONST-FRONT,75,1.0,CONST-MOV
Lexical,Indian(ADJ) → CONST-FRONT,71,1.0,CONST-MOV
Lexical,Kangana(PROPN) → CONST-FRONT,70,1.0,CONST-MOV
Lexical,UP(PROPN) → CONST-FRONT,64,1.0,CONST-MOV
Lexical,govt(PROPN) → CONST-FRONT,63,1.0,CONST-MOV
Lexical,MS(PROPN) → CONST-FRONT,61,1.0,CONST-MOV
Lexical,former(ADJ) → CONST-FRONT,58,1.0,CONST-MOV
Lexical,Mumbai(PROPN) → CONST-FRONT,58,1.0,CONST-MOV
Lexical,Delhi(PROPN) → CONST-FRONT,53,1.0,CONST-MOV
Lexical,ready(ADJ) → CONST-FRONT,52,1.0,CONST-MOV
Lexical,let(VERB) → CONST-FRONT,47,1.0,CONST-MOV
Lexical,have(VERB) → CONST-FRONT,46,1.0,CONST-MOV
Lexical,police(NOUN) → CONST-FRONT,45,1.0,CONST-MOV
Lexical,get(VERB) → CONST-FRONT,44,1.0,CONST-MOV
Lexical,year(NOUN) → CONST-POST,42,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,2970,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,1062,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,935,1.0,CONST-MOV
Syntactic,VERB → CONST-FRONT,864,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,673,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,518,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,461,1.0,CONST-MOV
Syntactic,VERB → CONST-FRONT,422,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,352,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,339,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,292,1.0,CONST-MOV
Syntactic,PROPN → CONST-POST,287,1.0,CONST-MOV
Syntactic,PROPN → 10,276,1.0,TED-SIMPLE
Syntactic,NOUN → CONST-FRONT,199,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,169,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,167,1.0,CONST-MOV
Syntactic,PROPN → Fin,166,1.0,CLAUSE-TYPE-CHG
Syntactic,PROPN → Fin,145,1.0,CLAUSE-TYPE-CHG
Syntactic,NOUN → CONST-FRONT,123,1.0,CONST-MOV
Syntactic,PROPN → ABSENT,120,1.0,C-ADD
Syntactic,PROPN → CONST-FRONT,117,1.0,CONST-MOV
Syntactic,VERB → CONST-POST,108,1.0,CONST-MOV
