feature_id,feature_name,total_occurrences,percentage_of_total,newspapers_found_in,parse_types_found_in
CONST-MOV,Constituent Movement,13099,26.42685657796518,1,1
DEP-REL-CHG,Dependency Relation Change,11759,23.72344503399439,1,1
CLAUSE-TYPE-CHG,Clause Type Change,3408,6.875542195412271,1,1
FW-DEL,Function Word Deletion,3210,6.476082877721065,1,1
PUNCT-DEL,Punctuation Deletion,1515,3.056469021728166,1,1
C-DEL,Content Word Deletion,1405,2.834547178566385,1,1
CONST-COUNT-DIFF,Constituent Count Difference,1148,2.3160570540884056,1,1
TREE-DEPTH-DIFF,Tree Depth Difference,1148,2.3160570540884056,1,1
DEP-DIST-DIFF,Dependency Distance Difference,1148,2.3160570540884056,1,1
BRANCH-DIFF,Branching Factor Difference,1148,2.3160570540884056,1,1
H-TYPE,Headline Type,1148,2.3160570540884056,1,1
H-STRUCT,Headline Structure,1148,2.3160570540884056,1,1
TED-RTED,TED-RTED,1142,2.303952226279581,1,1
TED-SIMPLE,TED-SIMPLE,1142,2.303952226279581,1,1
LENGTH-CHG,Sentence Length Change,1137,2.2938648697722277,1,1
TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,783,1.5796800290515869,1,1
TED-KLEIN,TED-KLEIN,783,1.5796800290515869,1,1
PUNCT-ADD,Punctuation Addition,753,1.5191558900074646,1,1
C-ADD,Content Word Addition,690,1.3920551980148081,1,1
CONST-REM,Constituent Removal,476,0.9603163395000706,1,1
PUNCT-SUBST,Punctuation Substitution,413,0.8332156475074142,1,1
HEAD-CHG,Dependency Head Change,280,0.5648919644118062,1,1
FW-ADD,Function Word Addition,266,0.536647366191216,1,1
FEAT-CHG,Morphological Feature Change,126,0.25420138398531283,1,1
CONST-ADD,Constituent Addition,114,0.22999172836766396,1,1
POS-CHG,Part of Speech Change,84,0.16946758932354186,1,1
FORM-CHG,Surface Form Change,61,0.12306574938971493,1,1
LEMMA-CHG,Lemma Change,17,0.034297012125002524,1,1
VERB-FORM-CHG,Verb Form Change,13,0.026227126919119575,1,1
TOKEN-REORDER,Token Reordering,3,0.00605241390441221,1,1
