feature_id,count_a,total_a,count_b,total_b,chi2,chi_p,fisher_p,odds_ratio
TED-ZHANG-SHASHA,783,1148,783,1148,0.0,1.0,,1.0
TED-RTED,1142,1148,1142,1148,0.0,1.0,,1.0
CONST-REM,426,1148,0,1148,,,7.226736679900054e-150,inf
FW-DEL,1124,1148,0,1148,,,0.0,inf
LEMMA-CHG,15,1148,15,1148,0.0,1.0,,1.0
BRANCH-DIFF,1148,1148,1148,1148,,,1.0,
HEAD-CHG,253,1148,253,1148,0.0,1.0,,1.0
H-STRUCT,0,1148,1148,1148,,,0.0,0.0
TREE-DEPTH-DIFF,1148,1148,1148,1148,,,1.0,
C-DEL,771,1148,0,1148,,,4.8e-321,inf
FORM-CHG,59,1148,59,1148,0.0,1.0,,1.0
FW-ADD,0,1148,191,1148,,,1.1388567146150425e-61,0.0
TOKEN-REORDER,3,1148,3,1148,,,1.0,1.0
TED-KLEIN,783,1148,783,1148,0.0,1.0,,1.0
C-ADD,0,1148,431,1148,,,6.147758328476836e-152,0.0
CONST-MOV,1104,1148,1104,1148,0.0,1.0,,1.0
CONST-ADD,0,1148,106,1148,,,1.9412950715174784e-33,0.0
PUNCT-SUBST,362,1148,362,1148,0.0,1.0,,1.0
DEP-DIST-DIFF,1148,1148,1148,1148,,,1.0,
CLAUSE-TYPE-CHG,1067,1148,1067,1148,0.0,1.0,,1.0
LENGTH-CHG,1137,1148,1137,1148,0.0,1.0,,1.0
PUNCT-DEL,1135,1148,0,1148,,,0.0,inf
FEAT-CHG,62,1148,62,1148,0.0,1.0,,1.0
DEP-REL-CHG,1135,1148,1135,1148,0.0,1.0,,1.0
VERB-FORM-CHG,13,1148,13,1148,0.0,1.0,,1.0
TED-SIMPLE,1142,1148,1142,1148,0.0,1.0,,1.0
PUNCT-ADD,0,1148,627,1148,,,1.7072881489779472e-241,0.0
H-TYPE,0,1148,1148,1148,,,0.0,0.0
CONST-COUNT-DIFF,1148,1148,1148,1148,,,1.0,
POS-CHG,79,1148,79,1148,0.0,1.0,,1.0
