feature_id,bidirectional_sum,jensen_shannon,total_events,register_overlap
LEMMA-CHG,66.43856191990935,28.67268739565974,26,0.0
CONST-REM,66.43856190042325,32.26771965835425,278,0.0
FW-DEL,66.4385619000123,32.398803302106586,1661,0.0
FW-ADD,66.43856189937162,32.41520454423927,49,0.0
C-ADD,66.43856189901314,32.68772364156824,200,0.0
CONST-ADD,66.43856189898241,32.134175623205024,91,0.0
C-DEL,66.43856189889219,32.46982743525847,447,0.0
FORM-CHG,65.94016638224431,29.588010317905294,158,0.011627906976744186
VERB-FORM-CHG,15.68520476892131,6.256774445317613,11,0.75
FEAT-CHG,11.033610291124678,1.8744563452515706,122,0.95
