feature_id,canonical_to_headline_ce,headline_to_canonical_ce,bidirectional_sum,jensen_shannon_divergence,register_overlap_ratio,total_events,information_asymmetry
LEMMA-CHG,33.21928095995468,33.21928095995468,66.43856191990936,28.672687395659743,0.0,26,0.0
PUNCT-ADD,33.21928095343624,33.219280948873624,66.43856190230986,32.242529624807915,0.0,190,4.562615174563689e-09
CONST-REM,33.219280948873624,33.21928095154962,66.43856190042325,32.26771965835425,0.0,278,2.675996313428186e-09
FW-DEL,33.219280948873624,33.219280951138686,66.4385619000123,32.398803302106586,0.0,1661,2.2650610276286898e-09
PUNCT-DEL,33.219280948873624,33.21928095097892,66.43856189985254,32.27611953863956,0.0,180,2.1052954934930312e-09
FW-ADD,33.21928095049801,33.219280948873624,66.43856189937163,32.41520454423927,0.0,49,1.6243859590758802e-09
C-ADD,33.21928095013952,33.21928094887363,66.43856189901315,32.68772364156824,0.0,200,1.2658887271754793e-09
CONST-ADD,33.219280950108796,33.219280948873624,66.43856189898241,32.134175623205024,0.0,91,1.2351719647085702e-09
PUNCT-SUBST,33.21928094973552,33.21928094917136,66.43856189890688,32.478498200271325,0.0,67,5.641567213388043e-10
C-DEL,33.21928094887362,33.219280950018565,66.43856189889217,32.46982743525847,0.0,447,1.1449472481217526e-09
H-STRUCT,33.21928094940041,33.219280948873624,66.43856189827403,33.13058622254402,0.0,1500,5.267821734378231e-10
H-TYPE,33.21928094908124,33.219280948873624,66.43856189795486,32.7379735959783,0.0,1500,2.0761348196174367e-10
FORM-CHG,32.89123667167827,33.04892971056604,65.94016638224431,29.588010317905294,0.011627906976744186,158,0.1576930388877713
VERB-FORM-CHG,13.22577315013807,2.4594316187832406,15.68520476892131,6.256774445317613,0.75,11,10.76634153135483
DEP-DIST-DIFF,7.841948575092106,5.835873191336121,13.677821766428227,1.585890079721119,0.5310344827586206,1500,2.0060753837559853
BRANCH-DIFF,6.791235781275273,5.724413108649675,12.515648889924949,1.5931825910635737,0.6282051282051282,1500,1.066822672625598
FEAT-CHG,6.085082777925915,4.948527513198762,11.033610291124678,1.8744563452515706,0.95,122,1.1365552647271526
CLAUSE-TYPE-CHG,5.069042539361648,5.198145670683637,10.267188210045285,3.2476517514703556,0.6666666666666666,1500,0.12910313132198858
DEP-REL-CHG,5.088353027415553,4.785890126328725,9.874243153744278,0.7930975607223787,0.9523809523809523,5284,0.3024629010868285
CONST-COUNT-DIFF,5.166682933424233,4.65056605653693,9.817248989961163,0.3312936233704802,0.8648648648648649,1500,0.5161168768873026
LENGTH-CHG,4.923990811656064,4.026528857873838,8.950519669529902,0.8038589962559326,0.8095238095238095,1117,0.8974619537822264
TED-RTED,4.3382283938592385,4.3382283938592385,8.676456787718477,0.0,1.0,1139,0.0
TED-ZHANG-SHASHA,4.288243277594026,4.288243277594026,8.576486555188051,-4.440892098500626e-15,1.0,1124,0.0
TED-KLEIN,4.201042153139653,4.201042153139653,8.402084306279306,0.0,1.0,1124,0.0
HEAD-CHG,3.9032189684972747,3.8710940565299876,7.774313025027262,0.836934924489231,0.7333333333333333,198,0.03212491196728706
TREE-DEPTH-DIFF,3.3011754072152755,2.9971584029384535,6.2983338101537285,0.13157158788660372,0.8,1500,0.304017004276822
TED-SIMPLE,1.616703385530116,1.616703385530116,3.233406771060232,0.0,1.0,1058,0.0
POS-CHG,1.4398257642890444,1.3690961993178834,2.808921963606928,0.00952225229948478,1.0,83,0.07072956497116101
TOKEN-REORDER,0.9182958340544896,0.9182958340544896,1.8365916681089791,0.0,1.0,6,0.0
CONST-MOV,0.3650399561205119,0.3650399561205119,0.7300799122410238,0.0,1.0,5705,0.0
