newspaper,feature_id,feature_name,count,percentage_of_newspaper
The-Hindu,FW-DEL,Function Word Deletion,1661,5.389707313907457
The-Hindu,C-ADD,Content Word Addition,200,0.648971380362126
The-Hindu,POS-CHG,Part of Speech Change,83,0.2693231228502823
The-Hindu,FORM-CHG,Surface Form Change,158,0.5126873904860796
The-Hindu,DEP-REL-CHG,Dependency Relation Change,5284,17.14582386916737
The-Hindu,FEAT-CHG,Morphological Feature Change,122,0.3958725420208969
The-Hindu,LENGTH-CHG,Sentence Length Change,1117,3.624505159322474
The-Hindu,CONST-MOV,Constituent Movement,5705,18.511908624829644
The-Hindu,CLAUSE-TYPE-CHG,Clause Type Change,1500,4.867285352715945
The-Hindu,TED-SIMPLE,TED-SIMPLE,1058,3.433058602115647
The-Hindu,TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,1124,3.6472191576351483
The-Hindu,TED-KLEIN,TED-KLEIN,1124,3.6472191576351483
The-Hindu,TED-RTED,TED-RTED,1139,3.6958920111623077
The-Hindu,PUNCT-ADD,Punctuation Addition,190,0.6165228113440198
The-Hindu,PUNCT-SUBST,Punctuation Substitution,67,0.21740541242131223
The-Hindu,H-STRUCT,Headline Structure,1500,4.867285352715945
The-Hindu,H-TYPE,Headline Type,1500,4.867285352715945
The-Hindu,TREE-DEPTH-DIFF,Tree Depth Difference,1500,4.867285352715945
The-Hindu,CONST-COUNT-DIFF,Constituent Count Difference,1500,4.867285352715945
The-Hindu,DEP-DIST-DIFF,Dependency Distance Difference,1500,4.867285352715945
The-Hindu,BRANCH-DIFF,Branching Factor Difference,1500,4.867285352715945
The-Hindu,CONST-ADD,Constituent Addition,91,0.29528197806476736
The-Hindu,C-DEL,Content Word Deletion,447,1.4504510351093518
The-Hindu,CONST-REM,Constituent Removal,278,0.9020702187033552
The-Hindu,HEAD-CHG,Dependency Head Change,198,0.6424816665585048
The-Hindu,FW-ADD,Function Word Addition,49,0.15899798818872088
The-Hindu,VERB-FORM-CHG,Verb Form Change,11,0.035693425919916935
The-Hindu,PUNCT-DEL,Punctuation Deletion,180,0.5840742423259134
The-Hindu,TOKEN-REORDER,Token Reordering,6,0.01946914141086378
The-Hindu,LEMMA-CHG,Lemma Change,26,0.08436627944707638
