parse_type,feature_id,feature_name,count,percentage_of_parse_type
dependency,FW-DEL,Function Word Deletion,1661,17.741935483870968
dependency,C-ADD,Content Word Addition,200,2.1362956633198036
dependency,POS-CHG,Part of Speech Change,83,0.8865627002777184
dependency,FORM-CHG,Surface Form Change,158,1.6876735740226447
dependency,DEP-REL-CHG,Dependency Relation Change,5284,56.4409314249092
dependency,FEAT-CHG,Morphological Feature Change,122,1.3031403546250802
dependency,LENGTH-CHG,Sentence Length Change,1117,11.931211279641103
dependency,C-DEL,Content Word Deletion,447,4.774620807519761
dependency,HEAD-CHG,Dependency Head Change,198,2.1149327066866053
dependency,FW-ADD,Function Word Addition,49,0.5233924375133518
dependency,VERB-FORM-CHG,Verb Form Change,11,0.1174962614825892
dependency,TOKEN-REORDER,Token Reordering,6,0.0640888698995941
dependency,LEMMA-CHG,Lemma Change,26,0.27771843623157444
constituency,CONST-MOV,Constituent Movement,5705,47.46651135701806
constituency,CLAUSE-TYPE-CHG,Clause Type Change,1500,12.480239620600715
constituency,TED-SIMPLE,TED-SIMPLE,1058,8.80272901239704
constituency,TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,1124,9.35185955570347
constituency,TED-KLEIN,TED-KLEIN,1124,9.35185955570347
constituency,TED-RTED,TED-RTED,1139,9.476661951909476
constituency,CONST-ADD,Constituent Addition,91,0.7571345369831101
constituency,CONST-REM,Constituent Removal,278,2.313004409684666
