feature_id,feature_name,total_count,percentage
CONST-MOV,Constituent Movement,5705,31.752657650136364
DEP-REL-CHG,Dependency Relation Change,5284,29.40947292258029
FW-DEL,Function Word Deletion,1661,9.244726442923138
CLAUSE-TYPE-CHG,Clause Type Change,1500,8.348639171814993
LENGTH-CHG,Sentence Length Change,1117,6.216953303278232
TED,Tree Edit Distance,1058,5.888573495853509
C-DEL,Content Word Deletion,447,2.487894473200868
CONST-REM,Constituent Removal,278,1.5472811265097122
C-ADD,Content Word Addition,200,1.1131518895753325
HEAD-CHG,Dependency Head Change,198,1.1020203706795793
FORM-CHG,Surface Form Change,158,0.8793899927645127
FEAT-CHG,Morphological Feature Change,95,0.528747147548283
CONST-ADD,Constituent Addition,91,0.5064841097567764
POS-CHG,Part of Speech Change,83,0.461958034173763
FW-ADD,Function Word Addition,49,0.27272221294595644
LEMMA-CHG,Lemma Change,26,0.14470974564479322
VERB-FORM-CHG,Verb Form Change,11,0.0612233539266433
TOKEN-REORDER,Token Reordering,6,0.03339455668725998
