newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,added_punctuation,position,context,before,after,deleted_punctuation
The-Hindu,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,CCONJ-DEL,ABSENT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,C-ADD,Content Word Addition,C-ADD,ABSENT,NOUN-ADD,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,POS-CHG,Part of Speech Change,POS-CHG,VERB,NOUN,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FORM-CHG,Surface Form Change,FORM-CHG,linked,link,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,compound,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,compound,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,conj,punct,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,compound,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,compound,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,compound,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,root,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obj,acl,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,acl,case,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,obl,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FEAT-CHG,Morphological Feature Change (Tense),TENSE-CHG,Tense=Past,Tense=ABSENT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FEAT-CHG,Morphological Feature Change (Number),NUM-CHG,Number=ABSENT,Number=Sing,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,FEAT-CHG,Morphological Feature Change (VerbForm),VFORM-CHG,VerbForm=Part,VerbForm=ABSENT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,14,11,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,20,20,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,23,23,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,19,19,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,both,PUNCT-ADD,Punctuation Addition,PUNCT-ADD,,comma,Priyanka and Akhilesh have linked the Unnao rape case accuse,"﻿Priyanka**,** Akhilesh link Unnao",comma,9.0,"﻿Priyanka**,** Akhilesh link Unnao",﻿Priyanka,Akhilesh link Unnao,
The-Hindu,1,both,PUNCT-SUBST,Punctuation Substitution,PUNCT-SUBST,and,",",Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,both,H-TYPE,Headline Type,H-TYPE,,fragment,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,9,6,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,24,21,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.62,2.90,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,1,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.30,2.00,Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",,,,,,
The-Hindu,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,ADP-DEL,ABSENT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,amod,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,compound,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,root,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,mark,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,cop,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cop,acl,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,case,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,compound,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,obl,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,14,10,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-ADD,Constituent Addition,CONST-ADD,ABSENT,SBAR-ADD,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Inf,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,18,18,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,25,25,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,19,19,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,both,H-TYPE,Headline Type,H-TYPE,,fragment,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,9,10,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,26,21,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.31,1.89,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,2,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.08,1.82,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,,,,,,
The-Hindu,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,C-DEL,Content Word Deletion,C-DEL,NOUN-DEL,ABSENT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,C-ADD,Content Word Addition,C-ADD,ABSENT,NOUN-ADD,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,compound,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj:pass,root,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,punct,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nmod,compound,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux:pass,punct,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,appos,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,advmod,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advmod,case,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,nummod,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,obl,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,13,11,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-REM,Constituent Removal,CONST-REM,ADJP-REM,ABSENT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,17,17,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
