feature_id,canonical_value,headline_value,transformation,count,percentage
FEAT-CHG,Tense=Past,Tense=Pres,Tense=Past→Tense=Pres,27,22.131147540983605
FEAT-CHG,Mood=ABSENT,Mood=Ind,Mood=ABSENT→Mood=Ind,9,7.377049180327869
FEAT-CHG,Tense=ABSENT,Tense=Pres,Tense=ABSENT→Tense=Pres,9,7.377049180327869
FEAT-CHG,Person=ABSENT,Person=3,Person=ABSENT→Person=3,8,6.557377049180328
FEAT-CHG,Number=Plur,Number=Sing,Number=Plur→Number=Sing,8,6.557377049180328
FEAT-CHG,Number=ABSENT,Number=Sing,Number=ABSENT→Number=Sing,8,6.557377049180328
FEAT-CHG,Number=Sing,Number=Plur,Number=Sing→Number=Plur,6,4.918032786885246
FEAT-CHG,VerbForm=ABSENT,VerbForm=Fin,VerbForm=ABSENT→VerbForm=Fin,5,4.098360655737705
FEAT-CHG,VerbForm=Part,VerbForm=Fin,VerbForm=Part→VerbForm=Fin,4,3.278688524590164
FEAT-CHG,Number=Sing,Number=ABSENT,Number=Sing→Number=ABSENT,4,3.278688524590164
FEAT-CHG,VerbForm=Ger,VerbForm=Part,VerbForm=Ger→VerbForm=Part,4,3.278688524590164
FEAT-CHG,Mood=Ind,Mood=ABSENT,Mood=Ind→Mood=ABSENT,3,2.459016393442623
FEAT-CHG,Person=3,Person=ABSENT,Person=3→Person=ABSENT,3,2.459016393442623
FEAT-CHG,Tense=Past,Tense=ABSENT,Tense=Past→Tense=ABSENT,2,1.639344262295082
FEAT-CHG,Degree=Pos,Degree=ABSENT,Degree=Pos→Degree=ABSENT,2,1.639344262295082
FEAT-CHG,VerbForm=Fin,VerbForm=ABSENT,VerbForm=Fin→VerbForm=ABSENT,2,1.639344262295082
FEAT-CHG,Abbr=ABSENT,Abbr=Yes,Abbr=ABSENT→Abbr=Yes,2,1.639344262295082
FEAT-CHG,Number=ABSENT,Number=Plur,Number=ABSENT→Number=Plur,2,1.639344262295082
FEAT-CHG,Degree=ABSENT,Degree=Pos,Degree=ABSENT→Degree=Pos,2,1.639344262295082
FEAT-CHG,Tense=Pres,Tense=ABSENT,Tense=Pres→Tense=ABSENT,2,1.639344262295082
FEAT-CHG,Number=Plur,Number=ABSENT,Number=Plur→Number=ABSENT,1,0.819672131147541
FEAT-CHG,VerbForm=Part,VerbForm=ABSENT,VerbForm=Part→VerbForm=ABSENT,1,0.819672131147541
FEAT-CHG,Tense=ABSENT,Tense=Past,Tense=ABSENT→Tense=Past,1,0.819672131147541
FEAT-CHG,VerbForm=Fin,VerbForm=Inf,VerbForm=Fin→VerbForm=Inf,1,0.819672131147541
FEAT-CHG,VerbForm=Inf,VerbForm=Part,VerbForm=Inf→VerbForm=Part,1,0.819672131147541
FEAT-CHG,Mood=ABSENT,Mood=Imp,Mood=ABSENT→Mood=Imp,1,0.819672131147541
FEAT-CHG,VerbForm=Inf,VerbForm=Fin,VerbForm=Inf→VerbForm=Fin,1,0.819672131147541
FEAT-CHG,Mood=Imp,Mood=ABSENT,Mood=Imp→Mood=ABSENT,1,0.819672131147541
FEAT-CHG,Abbr=Yes,Abbr=ABSENT,Abbr=Yes→Abbr=ABSENT,1,0.819672131147541
FEAT-CHG,VerbForm=Inf,VerbForm=ABSENT,VerbForm=Inf→VerbForm=ABSENT,1,0.819672131147541
