feature_id,canonical_value,headline_value,transformation,count,percentage
HEAD-CHG,3,2,3→2,41,20.707070707070706
HEAD-CHG,4,3,4→3,34,17.17171717171717
HEAD-CHG,5,4,5→4,18,9.090909090909092
HEAD-CHG,6,5,6→5,12,6.0606060606060606
HEAD-CHG,8,7,8→7,11,5.555555555555555
HEAD-CHG,7,6,7→6,10,5.05050505050505
HEAD-CHG,6,7,6→7,6,3.0303030303030303
HEAD-CHG,6,8,6→8,6,3.0303030303030303
HEAD-CHG,3,4,3→4,5,2.525252525252525
HEAD-CHG,10,9,10→9,5,2.525252525252525
HEAD-CHG,5,6,5→6,5,2.525252525252525
HEAD-CHG,9,8,9→8,4,2.0202020202020203
HEAD-CHG,3,5,3→5,4,2.0202020202020203
HEAD-CHG,4,2,4→2,4,2.0202020202020203
HEAD-CHG,4,5,4→5,3,1.5151515151515151
HEAD-CHG,7,5,7→5,2,1.0101010101010102
HEAD-CHG,8,5,8→5,2,1.0101010101010102
HEAD-CHG,11,9,11→9,2,1.0101010101010102
HEAD-CHG,2,3,2→3,2,1.0101010101010102
HEAD-CHG,12,10,12→10,2,1.0101010101010102
HEAD-CHG,9,10,9→10,1,0.5050505050505051
HEAD-CHG,10,11,10→11,1,0.5050505050505051
HEAD-CHG,13,12,13→12,1,0.5050505050505051
HEAD-CHG,9,11,9→11,1,0.5050505050505051
HEAD-CHG,11,10,11→10,1,0.5050505050505051
HEAD-CHG,4,9,4→9,1,0.5050505050505051
HEAD-CHG,5,8,5→8,1,0.5050505050505051
HEAD-CHG,8,10,8→10,1,0.5050505050505051
HEAD-CHG,15,8,15→8,1,0.5050505050505051
HEAD-CHG,9,7,9→7,1,0.5050505050505051
HEAD-CHG,11,8,11→8,1,0.5050505050505051
HEAD-CHG,5,3,5→3,1,0.5050505050505051
HEAD-CHG,11,12,11→12,1,0.5050505050505051
HEAD-CHG,16,8,16→8,1,0.5050505050505051
HEAD-CHG,9,5,9→5,1,0.5050505050505051
HEAD-CHG,10,12,10→12,1,0.5050505050505051
HEAD-CHG,1,3,1→3,1,0.5050505050505051
HEAD-CHG,6,3,6→3,1,0.5050505050505051
HEAD-CHG,7,8,7→8,1,0.5050505050505051
HEAD-CHG,8,9,8→9,1,0.5050505050505051
