feature_id,canonical_value,headline_value,transformation,count,percentage
LEMMA-CHG,Adivasis,adivasis,Adivasis→adivasis,2,7.6923076923076925
LEMMA-CHG,bookworm,Bookworms,bookworm→Bookworms,2,7.6923076923076925
LEMMA-CHG,diwa,Diwas,diwa→Diwas,1,3.8461538461538463
LEMMA-CHG,eared,eare,eared→eare,1,3.8461538461538463
LEMMA-CHG,SCTIMST,sctimst,SCTIMST→sctimst,1,3.8461538461538463
LEMMA-CHG,Operation,operation,Operation→operation,1,3.8461538461538463
LEMMA-CHG,sowing,sow,sowing→sow,1,3.8461538461538463
LEMMA-CHG,alliance,Alliance,alliance→Alliance,1,3.8461538461538463
LEMMA-CHG,copd,COPD,copd→COPD,1,3.8461538461538463
LEMMA-CHG,junction,Junction,junction→Junction,1,3.8461538461538463
LEMMA-CHG,Whites,white,Whites→white,1,3.8461538461538463
LEMMA-CHG,Road,road,Road→road,1,3.8461538461538463
LEMMA-CHG,mridangam,mridangams,mridangam→mridangams,1,3.8461538461538463
LEMMA-CHG,bound,bind,bound→bind,1,3.8461538461538463
LEMMA-CHG,file,filing,file→filing,1,3.8461538461538463
LEMMA-CHG,Justice,justice,Justice→justice,1,3.8461538461538463
LEMMA-CHG,Reader,reader,Reader→reader,1,3.8461538461538463
LEMMA-CHG,dance,Dancing,dance→Dancing,1,3.8461538461538463
LEMMA-CHG,super,Super,super→Super,1,3.8461538461538463
LEMMA-CHG,pumbos,Jumbos,pumbos→Jumbos,1,3.8461538461538463
LEMMA-CHG,City,city,City→city,1,3.8461538461538463
LEMMA-CHG,cattle,Cattle,cattle→Cattle,1,3.8461538461538463
LEMMA-CHG,dead,Dead,dead→Dead,1,3.8461538461538463
LEMMA-CHG,book,Book,book→Book,1,3.8461538461538463
