feature_id,canonical_value,headline_value,transformation,count,percentage
LENGTH-CHG,4,3,4→3,60,5.371530886302596
LENGTH-CHG,5,4,5→4,46,4.118173679498657
LENGTH-CHG,10,8,10→8,42,3.7600716204118174
LENGTH-CHG,10,7,10→7,41,3.670546105640107
LENGTH-CHG,3,2,3→2,37,3.312444046553268
LENGTH-CHG,8,6,8→6,35,3.133393017009848
LENGTH-CHG,12,8,12→8,33,2.954341987466428
LENGTH-CHG,8,7,8→7,33,2.954341987466428
LENGTH-CHG,6,5,6→5,32,2.864816472694718
LENGTH-CHG,11,7,11→7,32,2.864816472694718
LENGTH-CHG,11,9,11→9,30,2.685765443151298
LENGTH-CHG,8,5,8→5,29,2.5962399283795885
LENGTH-CHG,9,7,9→7,29,2.5962399283795885
LENGTH-CHG,11,8,11→8,28,2.5067144136078783
LENGTH-CHG,13,9,13→9,26,2.3276633840644583
LENGTH-CHG,10,9,10→9,26,2.3276633840644583
LENGTH-CHG,9,6,9→6,25,2.2381378692927485
LENGTH-CHG,9,8,9→8,25,2.2381378692927485
LENGTH-CHG,11,10,11→10,25,2.2381378692927485
LENGTH-CHG,9,5,9→5,25,2.2381378692927485
LENGTH-CHG,7,5,7→5,24,2.1486123545210387
LENGTH-CHG,12,9,12→9,24,2.1486123545210387
LENGTH-CHG,6,4,6→4,23,2.0590868397493285
LENGTH-CHG,14,10,14→10,22,1.9695613249776187
LENGTH-CHG,7,6,7→6,21,1.8800358102059087
LENGTH-CHG,10,5,10→5,19,1.7009847806624887
LENGTH-CHG,10,6,10→6,16,1.432408236347359
LENGTH-CHG,12,7,12→7,16,1.432408236347359
LENGTH-CHG,13,11,13→11,14,1.2533572068039391
LENGTH-CHG,14,9,14→9,13,1.1638316920322291
LENGTH-CHG,12,10,12→10,13,1.1638316920322291
LENGTH-CHG,7,4,7→4,13,1.1638316920322291
LENGTH-CHG,11,6,11→6,12,1.0743061772605194
LENGTH-CHG,15,11,15→11,12,1.0743061772605194
LENGTH-CHG,14,11,14→11,12,1.0743061772605194
LENGTH-CHG,6,3,6→3,11,0.9847806624888094
LENGTH-CHG,12,11,12→11,11,0.9847806624888094
LENGTH-CHG,2,1,2→1,11,0.9847806624888094
LENGTH-CHG,15,10,15→10,10,0.8952551477170994
LENGTH-CHG,13,10,13→10,9,0.8057296329453895
LENGTH-CHG,13,8,13→8,9,0.8057296329453895
LENGTH-CHG,16,12,16→12,8,0.7162041181736795
LENGTH-CHG,16,11,16→11,7,0.6266786034019696
LENGTH-CHG,13,7,13→7,7,0.6266786034019696
LENGTH-CHG,8,4,8→4,7,0.6266786034019696
LENGTH-CHG,15,12,15→12,6,0.5371530886302597
LENGTH-CHG,5,2,5→2,5,0.4476275738585497
LENGTH-CHG,16,10,16→10,5,0.4476275738585497
LENGTH-CHG,15,9,15→9,5,0.4476275738585497
LENGTH-CHG,13,12,13→12,5,0.4476275738585497
LENGTH-CHG,16,9,16→9,5,0.4476275738585497
LENGTH-CHG,14,12,14→12,5,0.4476275738585497
LENGTH-CHG,4,2,4→2,4,0.35810205908683973
LENGTH-CHG,5,3,5→3,4,0.35810205908683973
LENGTH-CHG,18,13,18→13,4,0.35810205908683973
LENGTH-CHG,14,13,14→13,4,0.35810205908683973
LENGTH-CHG,17,12,17→12,4,0.35810205908683973
LENGTH-CHG,7,3,7→3,3,0.26857654431512984
LENGTH-CHG,18,12,18→12,3,0.26857654431512984
LENGTH-CHG,6,2,6→2,3,0.26857654431512984
LENGTH-CHG,16,13,16→13,3,0.26857654431512984
LENGTH-CHG,17,11,17→11,3,0.26857654431512984
LENGTH-CHG,9,4,9→4,3,0.26857654431512984
LENGTH-CHG,14,8,14→8,3,0.26857654431512984
LENGTH-CHG,15,13,15→13,3,0.26857654431512984
LENGTH-CHG,12,6,12→6,2,0.17905102954341987
LENGTH-CHG,14,7,14→7,2,0.17905102954341987
LENGTH-CHG,18,10,18→10,2,0.17905102954341987
LENGTH-CHG,17,13,17→13,2,0.17905102954341987
LENGTH-CHG,8,9,8→9,2,0.17905102954341987
LENGTH-CHG,18,11,18→11,2,0.17905102954341987
LENGTH-CHG,15,8,15→8,1,0.08952551477170993
LENGTH-CHG,20,13,20→13,1,0.08952551477170993
LENGTH-CHG,17,9,17→9,1,0.08952551477170993
LENGTH-CHG,10,4,10→4,1,0.08952551477170993
LENGTH-CHG,17,10,17→10,1,0.08952551477170993
LENGTH-CHG,15,14,15→14,1,0.08952551477170993
LENGTH-CHG,8,10,8→10,1,0.08952551477170993
LENGTH-CHG,20,15,20→15,1,0.08952551477170993
LENGTH-CHG,16,15,16→15,1,0.08952551477170993
LENGTH-CHG,15,7,15→7,1,0.08952551477170993
LENGTH-CHG,18,15,18→15,1,0.08952551477170993
LENGTH-CHG,10,11,10→11,1,0.08952551477170993
LENGTH-CHG,16,14,16→14,1,0.08952551477170993
LENGTH-CHG,11,5,11→5,1,0.08952551477170993
LENGTH-CHG,9,10,9→10,1,0.08952551477170993
LENGTH-CHG,8,3,8→3,1,0.08952551477170993
LENGTH-CHG,21,16,21→16,1,0.08952551477170993
LENGTH-CHG,19,18,19→18,1,0.08952551477170993
LENGTH-CHG,7,8,7→8,1,0.08952551477170993
LENGTH-CHG,20,16,20→16,1,0.08952551477170993
LENGTH-CHG,1,2,1→2,1,0.08952551477170993
LENGTH-CHG,19,13,19→13,1,0.08952551477170993
