feature_id,canonical_value,headline_value,transformation,count,percentage
TED-KLEIN,2,2,2→2,170,15.12455516014235
TED-KLEIN,12,12,12→12,131,11.654804270462634
TED-KLEIN,10,10,10→10,104,9.252669039145907
TED-KLEIN,14,14,14→14,87,7.740213523131673
TED-KLEIN,13,13,13→13,71,6.316725978647687
TED-KLEIN,11,11,11→11,57,5.0711743772241995
TED-KLEIN,15,15,15→15,55,4.893238434163702
TED-KLEIN,7,7,7→7,55,4.893238434163702
TED-KLEIN,17,17,17→17,44,3.9145907473309607
TED-KLEIN,9,9,9→9,43,3.8256227758007118
TED-KLEIN,8,8,8→8,38,3.3807829181494666
TED-KLEIN,6,6,6→6,36,3.202846975088968
TED-KLEIN,16,16,16→16,35,3.113879003558719
TED-KLEIN,4,4,4→4,28,2.491103202846975
TED-KLEIN,18,18,18→18,27,2.4021352313167257
TED-KLEIN,5,5,5→5,21,1.8683274021352312
TED-KLEIN,19,19,19→19,21,1.8683274021352312
TED-KLEIN,20,20,20→20,21,1.8683274021352312
TED-KLEIN,3,3,3→3,17,1.5124555160142348
TED-KLEIN,21,21,21→21,14,1.2455516014234875
TED-KLEIN,22,22,22→22,13,1.1565836298932384
TED-KLEIN,25,25,25→25,6,0.5338078291814947
TED-KLEIN,23,23,23→23,6,0.5338078291814947
TED-KLEIN,26,26,26→26,6,0.5338078291814947
TED-KLEIN,27,27,27→27,5,0.4448398576512456
TED-KLEIN,24,24,24→24,5,0.4448398576512456
TED-KLEIN,28,28,28→28,3,0.26690391459074736
TED-KLEIN,31,31,31→31,2,0.1779359430604982
TED-KLEIN,32,32,32→32,1,0.0889679715302491
TED-KLEIN,33,33,33→33,1,0.0889679715302491
TED-KLEIN,30,30,30→30,1,0.0889679715302491
