feature_id,canonical_value,headline_value,transformation,count,percentage
TED-RTED,2,2,2→2,171,15.013169446883232
TED-RTED,6,6,6→6,96,8.428446005267778
TED-RTED,9,9,9→9,96,8.428446005267778
TED-RTED,12,12,12→12,76,6.672519754170326
TED-RTED,11,11,11→11,64,5.618964003511852
TED-RTED,8,8,8→8,60,5.267778753292362
TED-RTED,10,10,10→10,56,4.916593503072871
TED-RTED,7,7,7→7,54,4.741000877963126
TED-RTED,13,13,13→13,51,4.477611940298507
TED-RTED,4,4,4→4,48,4.214223002633889
TED-RTED,15,15,15→15,47,4.1264266900790165
TED-RTED,5,5,5→5,46,4.038630377524144
TED-RTED,3,3,3→3,44,3.8630377524143986
TED-RTED,14,14,14→14,43,3.775241439859526
TED-RTED,16,16,16→16,33,2.8972783143107987
TED-RTED,17,17,17→17,31,2.7216856892010535
TED-RTED,18,18,18→18,18,1.5803336259877085
TED-RTED,19,19,19→19,17,1.4925373134328357
TED-RTED,20,20,20→20,12,1.0535557506584723
TED-RTED,21,21,21→21,10,0.877963125548727
TED-RTED,24,24,24→24,10,0.877963125548727
TED-RTED,27,27,27→27,8,0.7023705004389815
TED-RTED,25,25,25→25,7,0.6145741878841089
TED-RTED,22,22,22→22,7,0.6145741878841089
TED-RTED,26,26,26→26,6,0.5267778753292361
TED-RTED,23,23,23→23,5,0.4389815627743635
TED-RTED,28,28,28→28,5,0.4389815627743635
TED-RTED,34,34,34→34,3,0.2633889376646181
TED-RTED,29,29,29→29,3,0.2633889376646181
TED-RTED,30,30,30→30,2,0.17559262510974538
TED-RTED,36,36,36→36,2,0.17559262510974538
TED-RTED,32,32,32→32,2,0.17559262510974538
TED-RTED,31,31,31→31,2,0.17559262510974538
TED-RTED,35,35,35→35,2,0.17559262510974538
TED-RTED,33,33,33→33,1,0.08779631255487269
TED-RTED,40,40,40→40,1,0.08779631255487269
