feature_id,canonical_value,headline_value,transformation,count,percentage
TED-ZHANG-SHASHA,2,2,2→2,171,15.213523131672599
TED-ZHANG-SHASHA,6,6,6→6,98,8.718861209964412
TED-ZHANG-SHASHA,9,9,9→9,82,7.295373665480427
TED-ZHANG-SHASHA,12,12,12→12,76,6.761565836298933
TED-ZHANG-SHASHA,13,13,13→13,61,5.427046263345195
TED-ZHANG-SHASHA,11,11,11→11,59,5.249110320284697
TED-ZHANG-SHASHA,8,8,8→8,59,5.249110320284697
TED-ZHANG-SHASHA,10,10,10→10,59,5.249110320284697
TED-ZHANG-SHASHA,7,7,7→7,55,4.893238434163702
TED-ZHANG-SHASHA,4,4,4→4,53,4.715302491103203
TED-ZHANG-SHASHA,15,15,15→15,50,4.448398576512456
TED-ZHANG-SHASHA,14,14,14→14,49,4.359430604982206
TED-ZHANG-SHASHA,5,5,5→5,45,4.0035587188612105
TED-ZHANG-SHASHA,3,3,3→3,41,3.6476868327402134
TED-ZHANG-SHASHA,17,17,17→17,35,3.113879003558719
TED-ZHANG-SHASHA,16,16,16→16,20,1.7793594306049825
TED-ZHANG-SHASHA,20,20,20→20,18,1.601423487544484
TED-ZHANG-SHASHA,18,18,18→18,15,1.3345195729537367
TED-ZHANG-SHASHA,19,19,19→19,14,1.2455516014234875
TED-ZHANG-SHASHA,21,21,21→21,10,0.8896797153024912
TED-ZHANG-SHASHA,26,26,26→26,9,0.800711743772242
TED-ZHANG-SHASHA,27,27,27→27,8,0.7117437722419928
TED-ZHANG-SHASHA,24,24,24→24,7,0.6227758007117438
TED-ZHANG-SHASHA,23,23,23→23,7,0.6227758007117438
TED-ZHANG-SHASHA,25,25,25→25,5,0.4448398576512456
TED-ZHANG-SHASHA,22,22,22→22,4,0.3558718861209964
TED-ZHANG-SHASHA,28,28,28→28,4,0.3558718861209964
TED-ZHANG-SHASHA,33,33,33→33,2,0.1779359430604982
TED-ZHANG-SHASHA,30,30,30→30,2,0.1779359430604982
TED-ZHANG-SHASHA,31,31,31→31,1,0.0889679715302491
TED-ZHANG-SHASHA,37,37,37→37,1,0.0889679715302491
TED-ZHANG-SHASHA,34,34,34→34,1,0.0889679715302491
TED-ZHANG-SHASHA,29,29,29→29,1,0.0889679715302491
TED-ZHANG-SHASHA,35,35,35→35,1,0.0889679715302491
TED-ZHANG-SHASHA,41,41,41→41,1,0.0889679715302491
