feature_id,canonical_value,headline_value,transformation,count
C-ADD,ABSENT,NOUN-ADD,ABSENT→NOUN-ADD,153
C-ADD,ABSENT,VERB-ADD,ABSENT→VERB-ADD,33
C-ADD,ABSENT,ADJ-ADD,ABSENT→ADJ-ADD,7
C-ADD,ABSENT,ADV-ADD,ABSENT→ADV-ADD,7
C-DEL,VERB-DEL,ABSENT,VERB-DEL→ABSENT,232
C-DEL,NOUN-DEL,ABSENT,NOUN-DEL→ABSENT,149
C-DEL,ADJ-DEL,ABSENT,ADJ-DEL→ABSENT,59
C-DEL,ADV-DEL,ABSENT,ADV-DEL→ABSENT,7
CLAUSE-TYPE-CHG,Part,Fin,Part→Fin,498
CLAUSE-TYPE-CHG,Fin,Part,Fin→Part,335
CLAUSE-TYPE-CHG,Fin,Inf,Fin→Inf,269
CLAUSE-TYPE-CHG,Inf,Fin,Inf→Fin,174
CLAUSE-TYPE-CHG,verbal,verbless,verbal→verbless,159
CLAUSE-TYPE-CHG,Fin,Ger,Fin→Ger,49
CLAUSE-TYPE-CHG,Ger,Fin,Ger→Fin,16
CONST-ADD,ABSENT,ADVP-ADD,ABSENT→ADVP-ADD,33
CONST-ADD,ABSENT,SBAR-ADD,ABSENT→SBAR-ADD,23
CONST-ADD,ABSENT,ADJP-ADD,ABSENT→ADJP-ADD,13
CONST-ADD,ABSENT,PP-ADD,ABSENT→PP-ADD,11
CONST-ADD,ABSENT,VP-ADD,ABSENT→VP-ADD,11
CONST-MOV,CONST-FRONT,CONST-FRONT,CONST-FRONT→CONST-FRONT,5307
CONST-MOV,CONST-POST,CONST-POST,CONST-POST→CONST-POST,398
CONST-REM,VP-REM,ABSENT,VP-REM→ABSENT,156
CONST-REM,SBAR-REM,ABSENT,SBAR-REM→ABSENT,58
CONST-REM,ADJP-REM,ABSENT,ADJP-REM→ABSENT,25
CONST-REM,QP-REM,ABSENT,QP-REM→ABSENT,16
CONST-REM,PP-REM,ABSENT,PP-REM→ABSENT,13
CONST-REM,ADVP-REM,ABSENT,ADVP-REM→ABSENT,6
CONST-REM,NP-REM,ABSENT,NP-REM→ABSENT,4
DEP-REL-CHG,nsubj,root,nsubj→root,186
DEP-REL-CHG,det,compound,det→compound,177
DEP-REL-CHG,aux,root,aux→root,132
DEP-REL-CHG,nsubj:pass,root,nsubj:pass→root,127
DEP-REL-CHG,det,nsubj,det→nsubj,119
DEP-REL-CHG,root,case,root→case,118
DEP-REL-CHG,case,obl,case→obl,111
DEP-REL-CHG,case,nmod,case→nmod,91
DEP-REL-CHG,root,obj,root→obj,83
DEP-REL-CHG,case,compound,case→compound,81
DEP-REL-CHG,det,root,det→root,73
DEP-REL-CHG,compound,root,compound→root,68
DEP-REL-CHG,root,compound,root→compound,67
DEP-REL-CHG,aux,case,aux→case,67
DEP-REL-CHG,obj,case,obj→case,65
DEP-REL-CHG,det,case,det→case,64
DEP-REL-CHG,compound,nsubj,compound→nsubj,64
DEP-REL-CHG,compound,nmod,compound→nmod,54
DEP-REL-CHG,aux:pass,case,aux:pass→case,51
DEP-REL-CHG,root,obl,root→obl,51
DEP-REL-CHG,det,amod,det→amod,49
DEP-REL-CHG,case,amod,case→amod,46
DEP-REL-CHG,nsubj,compound,nsubj→compound,43
DEP-REL-CHG,aux,compound,aux→compound,43
DEP-REL-CHG,det,punct,det→punct,43
DEP-REL-CHG,compound,obj,compound→obj,43
DEP-REL-CHG,compound,punct,compound→punct,43
DEP-REL-CHG,nsubj,case,nsubj→case,43
DEP-REL-CHG,det,obl,det→obl,42
DEP-REL-CHG,aux,mark,aux→mark,40
DEP-REL-CHG,nsubj:pass,case,nsubj:pass→case,39
DEP-REL-CHG,aux,acl,aux→acl,39
