feature_id,rank,transformation,count,pattern_type
ABSENT,0,ABSENT→NOUN-ADD,153,additions
ABSENT,0,ABSENT→VERB-ADD,33,additions
ABSENT,0,ABSENT→ADVP-ADD,33,additions
ABSENT,0,ABSENT→ADP-ADD,28,additions
ABSENT,0,ABSENT→SBAR-ADD,23,additions
ABSENT,0,ABSENT→ADJP-ADD,13,additions
ABSENT,0,ABSENT→AUX-ADD,13,additions
ABSENT,0,ABSENT→PP-ADD,11,additions
ABSENT,0,ABSENT→VP-ADD,11,additions
ABSENT,0,ABSENT→ADJ-ADD,7,additions
ABSENT,0,ABSENT→ADV-ADD,7,additions
ABSENT,0,ABSENT→PRON-PERS-ADD,5,additions
ABSENT,0,ABSENT→ART-ADD,2,additions
ABSENT,0,ABSENT→SCONJ-ADD,1,additions
',0,'→‘,54,changes
',0,'→’,17,changes
're,0,'re→’re,1,changes
's,0,'s→’s,36,changes
1,0,1→2,1,changes
1,0,1→3,1,changes
10,0,10→8,42,changes
10,0,10→7,41,changes
10,0,10→5,19,changes
10,0,10→6,16,changes
10,0,10→9,5,changes
10,0,10→4,1,changes
10,0,10→11,1,changes
10,0,10→12,1,changes
11,0,11→7,32,changes
11,0,11→6,12,changes
11,0,11→9,2,changes
11,0,11→10,1,changes
11,0,11→8,1,changes
11,0,11→5,1,changes
11,0,11→12,1,changes
12,0,12→8,33,changes
12,0,12→9,24,changes
12,0,12→7,16,changes
12,0,12→11,11,changes
12,0,12→10,2,changes
12,0,12→6,2,changes
13,0,13→9,26,changes
13,0,13→11,14,changes
13,0,13→8,9,changes
13,0,13→10,9,changes
13,0,13→7,7,changes
13,0,13→12,1,changes
14,0,14→10,22,changes
14,0,14→9,13,changes
14,0,14→11,12,changes
14,0,14→12,5,changes
14,0,14→13,4,changes
14,0,14→8,3,changes
14,0,14→7,2,changes
15,0,15→11,12,changes
15,0,15→10,10,changes
15,0,15→12,6,changes
15,0,15→9,5,changes
15,0,15→13,3,changes
15,0,15→8,1,changes
15,0,15→14,1,changes
15,0,15→7,1,changes
16,0,16→12,8,changes
16,0,16→11,7,changes
16,0,16→9,5,changes
16,0,16→10,5,changes
16,0,16→13,3,changes
16,0,16→15,1,changes
16,0,16→14,1,changes
16,0,16→8,1,changes
17,0,17→12,4,changes
17,0,17→11,3,changes
17,0,17→13,2,changes
17,0,17→9,1,changes
17,0,17→10,1,changes
18,0,18→13,4,changes
18,0,18→12,3,changes
18,0,18→10,2,changes
18,0,18→11,2,changes
18,0,18→15,1,changes
19,0,19→18,1,changes
19,0,19→13,1,changes
2,0,2→1,11,changes
2,0,2→3,2,changes
20,0,20→13,1,changes
20,0,20→15,1,changes
20,0,20→16,1,changes
21,0,21→16,1,changes
3,0,3→2,41,changes
3,0,3→4,5,changes
3,0,3→5,4,changes
4,0,4→3,34,changes
4,0,4→2,4,changes
4,0,4→5,3,changes
4,0,4→9,1,changes
5,0,5→4,18,changes
5,0,5→2,5,changes
5,0,5→6,5,changes
5,0,5→3,1,changes
5,0,5→8,1,changes
6,0,6→4,23,changes
6,0,6→5,12,changes
6,0,6→8,6,changes
6,0,6→7,6,changes
6,0,6→2,3,changes
6,0,6→3,1,changes
7,0,7→4,13,changes
7,0,7→6,10,changes
7,0,7→3,3,changes
7,0,7→5,2,changes
7,0,7→8,1,changes
8,0,8→6,35,changes
8,0,8→7,11,changes
