feature_id,total_transformations,unique_transformation_types,canonical_value_diversity,headline_value_diversity,top3_concentration_ratio,transformation_entropy,most_frequent_transformation,most_frequent_count
CONST-MOV,5705,2,2,2,1.0,0.3650399561205119,CONST-FRONT→CONST-FRONT,5307
DEP-REL-CHG,5284,584,40,42,0.09367903103709312,7.716327873769187,nsubj→root,186
FW-DEL,1661,6,6,1,0.9145093317278747,1.6409552957991322,AUX-DEL→ABSENT,836
CLAUSE-TYPE-CHG,1500,7,5,5,0.7346666666666667,2.3905924728380477,Part→Fin,498
TED-RTED,1139,36,36,36,0.31870061457418786,4.3382283938592385,2→2,171
TED-KLEIN,1124,31,31,31,0.3603202846975089,4.201042153139653,2→2,170
TED-ZHANG-SHASHA,1124,35,35,35,0.3122775800711744,4.28824327759403,2→2,171
LENGTH-CHG,1117,93,21,17,0.13249776186213072,5.770284551758517,4→3,60
TED-SIMPLE,1058,10,10,10,0.8534971644612477,1.616703385530116,10→10,771
C-DEL,447,4,4,1,0.9843400447427293,1.4989070283752401,VERB-DEL→ABSENT,232
CONST-REM,278,7,7,1,0.8597122302158273,1.9031225837147336,VP-REM→ABSENT,156
C-ADD,200,4,1,4,0.965,1.063114615876669,ABSENT→NOUN-ADD,153
HEAD-CHG,198,40,15,11,0.4696969696969697,4.161740678087284,3→2,41
FORM-CHG,158,46,43,44,0.6772151898734177,3.600470742024133,'→‘,54
FEAT-CHG,122,30,20,19,0.36885245901639346,4.208853705862348,Tense=Past→Tense=Pres,27
CONST-ADD,91,5,1,5,0.7582417582417582,2.170210652572378,ABSENT→ADVP-ADD,33
POS-CHG,83,5,3,3,0.8674698795180723,1.9015470223164328,VERB→NOUN,34
FW-ADD,49,5,1,5,0.9387755102040817,1.6081528108930874,ABSENT→ADP-ADD,28
LEMMA-CHG,26,24,24,24,0.19230769230769232,4.546593564294937,Adivasis→adivasis,2
VERB-FORM-CHG,11,5,4,3,0.8181818181818182,2.004886164091843,Part→Fin,4
TOKEN-REORDER,6,2,2,2,1.0,0.9182958340544896,POST→POST,4
