pair_unit,frequency
FW-DEL:AUX-DEL→ABSENT,836
FW-DEL:ART-DEL→ABSENT,622
FW-DEL:CCONJ-DEL→ABSENT,57
C-ADD:ABSENT→NOUN-ADD,153
POS-CHG:VERB→NOUN,34
FORM-CHG:linked→link,1
DEP-REL-CHG:nsubj→compound,43
DEP-REL-CHG:cc→compound,5
DEP-REL-CHG:conj→punct,3
DEP-REL-CHG:aux→compound,43
DEP-REL-CHG:root→compound,67
DEP-REL-CHG:det→compound,177
DEP-REL-CHG:compound→root,68
DEP-REL-CHG:obj→acl,5
DEP-REL-CHG:acl→case,9
DEP-REL-CHG:case→obl,111
FEAT-CHG:Tense=Past→Tense=ABSENT,2
FEAT-CHG:Number=ABSENT→Number=Sing,8
FEAT-CHG:VerbForm=Part→VerbForm=ABSENT,1
LENGTH-CHG:14→11,12
CONST-MOV:CONST-POST→CONST-POST,398
CONST-MOV:CONST-FRONT→CONST-FRONT,5307
CLAUSE-TYPE-CHG:Fin→Part,335
TED-SIMPLE:10→10,771
TED-ZHANG-SHASHA:20→20,18
TED-KLEIN:23→23,6
TED-RTED:19→19,17
PUNCT-DEL:period→,1088
PUNCT-ADD:→comma,69
"PUNCT-SUBST:and→,",51
H-STRUCT:→single-line,1460
H-TYPE:→fragment,920
TREE-DEPTH-DIFF:9→6,16
CONST-COUNT-DIFF:24→21,9
DEP-DIST-DIFF:2.62→2.90,1
BRANCH-DIFF:2.30→2.00,7
FW-DEL:ADP-DEL→ABSENT,49
DEP-REL-CHG:det→amod,49
DEP-REL-CHG:amod→compound,30
DEP-REL-CHG:nsubj→mark,19
DEP-REL-CHG:aux→cop,4
DEP-REL-CHG:cop→acl,2
DEP-REL-CHG:root→case,118
DEP-REL-CHG:case→compound,81
DEP-REL-CHG:det→obl,42
LENGTH-CHG:14→10,22
CONST-ADD:ABSENT→SBAR-ADD,23
CLAUSE-TYPE-CHG:Fin→Inf,269
TED-ZHANG-SHASHA:18→18,15
TED-KLEIN:25→25,6
TREE-DEPTH-DIFF:9→10,6
CONST-COUNT-DIFF:26→21,3
DEP-DIST-DIFF:2.31→1.89,1
BRANCH-DIFF:2.08→1.82,1
C-DEL:NOUN-DEL→ABSENT,149
DEP-REL-CHG:nsubj:pass→root,127
DEP-REL-CHG:case→punct,34
DEP-REL-CHG:nmod→compound,17
DEP-REL-CHG:aux:pass→punct,8
DEP-REL-CHG:compound→appos,8
DEP-REL-CHG:root→advmod,9
DEP-REL-CHG:advmod→case,9
DEP-REL-CHG:case→nummod,18
DEP-REL-CHG:nummod→obl,7
LENGTH-CHG:13→11,14
CONST-REM:ADJP-REM→ABSENT,25
TED-ZHANG-SHASHA:17→17,35
TED-KLEIN:13→13,71
TED-RTED:18→18,18
PUNCT-ADD:→apostrophe,39
TREE-DEPTH-DIFF:6→6,131
CONST-COUNT-DIFF:24→19,6
DEP-DIST-DIFF:2.42→2.00,2
BRANCH-DIFF:2.09→2.25,2
DEP-REL-CHG:aux→mark,40
DEP-REL-CHG:root→acl,24
DEP-REL-CHG:obl→compound,14
DEP-REL-CHG:cc→punct,20
DEP-REL-CHG:conj→nmod:unmarked,1
HEAD-CHG:9→10,1
LENGTH-CHG:13→12,5
TED-ZHANG-SHASHA:12→12,76
TED-KLEIN:19→19,21
TED-RTED:8→8,60
TREE-DEPTH-DIFF:8→9,7
CONST-COUNT-DIFF:24→25,1
DEP-DIST-DIFF:2.42→1.91,1
BRANCH-DIFF:2.09→1.85,1
FW-DEL:PRON-PERS-DEL→ABSENT,61
C-DEL:VERB-DEL→ABSENT,232
DEP-REL-CHG:nsubj→ccomp,2
DEP-REL-CHG:aux→cc,1
DEP-REL-CHG:root→conj,2
DEP-REL-CHG:expl→case,1
DEP-REL-CHG:ccomp→nmod,4
DEP-REL-CHG:det→punct,43
DEP-REL-CHG:nsubj→root,186
DEP-REL-CHG:cc→nsubj,4
CONST-REM:SBAR-REM→ABSENT,58
CLAUSE-TYPE-CHG:Part→Fin,498
TED-ZHANG-SHASHA:25→25,5
TED-KLEIN:15→15,55
TED-RTED:27→27,8
PUNCT-ADD:→period,4
H-STRUCT:→micro-discourse,40
H-TYPE:→non-fragment,580
TREE-DEPTH-DIFF:10→6,9
CONST-COUNT-DIFF:26→18,4
DEP-DIST-DIFF:2.38→2.56,1
BRANCH-DIFF:2.08→2.12,1
POS-CHG:ADJ→VERB,6
DEP-REL-CHG:cop→root,5
DEP-REL-CHG:root→mark,31
DEP-REL-CHG:mark→xcomp,18
DEP-REL-CHG:xcomp→compound,6
DEP-REL-CHG:compound→obj,43
HEAD-CHG:3→2,41
LENGTH-CHG:8→6,35
CLAUSE-TYPE-CHG:Inf→Fin,174
TED-ZHANG-SHASHA:8→8,59
TED-KLEIN:10→10,104
TREE-DEPTH-DIFF:9→8,33
CONST-COUNT-DIFF:17→14,18
DEP-DIST-DIFF:2.00→1.40,7
BRANCH-DIFF:1.78→1.62,7
DEP-REL-CHG:flat→root,6
DEP-REL-CHG:aux→det,4
DEP-REL-CHG:root→amod,32
DEP-REL-CHG:det→appos,10
DEP-REL-CHG:compound→punct,43
DEP-REL-CHG:obj→appos,5
DEP-REL-CHG:case→flat,5
LENGTH-CHG:12→8,33
CONST-REM:PP-REM→ABSENT,13
CLAUSE-TYPE-CHG:verbal→verbless,159
TED-ZHANG-SHASHA:24→24,7
TED-RTED:24→24,10
PUNCT-ADD:→colon,69
TREE-DEPTH-DIFF:7→6,94
CONST-COUNT-DIFF:20→15,11
DEP-DIST-DIFF:2.91→1.57,2
BRANCH-DIFF:2.38→2.00,2
FW-ADD:ABSENT→AUX-ADD,13
DEP-REL-CHG:root→det,19
HEAD-CHG:6→8,6
LENGTH-CHG:10→8,42
TED-SIMPLE:8→8,33
TED-ZHANG-SHASHA:6→6,98
TED-RTED:6→6,96
TREE-DEPTH-DIFF:6→5,79
CONST-COUNT-DIFF:18→15,14
DEP-DIST-DIFF:2.11→2.57,2
BRANCH-DIFF:2.12→2.00,9
DEP-REL-CHG:det→nmod,36
LENGTH-CHG:7→4,13
CONST-REM:VP-REM→ABSENT,156
TED-KLEIN:11→11,57
CONST-COUNT-DIFF:13→9,5
