lemma,pos,feature_id,transformation,confidence,frequency,context
man,NOUN,CONST-MOV,CONST-FRONT,1.0,105,{}
year,NOUN,CONST-MOV,CONST-FRONT,1.0,70,{}
India,PROPN,CONST-MOV,CONST-FRONT,1.0,48,{}
person,NOUN,CONST-MOV,CONST-FRONT,1.0,45,{}
BJP,PROPN,CONST-MOV,CONST-FRONT,1.0,43,{}
new,ADJ,CONST-MOV,CONST-FRONT,1.0,40,{}
go,VERB,CONST-MOV,CONST-FRONT,1.0,37,{}
woman,NOUN,CONST-MOV,CONST-FRONT,1.0,33,{}
child,NOUN,CONST-MOV,CONST-FRONT,1.0,33,{}
mosquito,NOUN,CONST-MOV,CONST-FRONT,1.0,33,{}
Allepey,PROPN,CONST-MOV,CONST-FRONT,1.0,32,{}
hassan,PROPN,CONST-MOV,CONST-FRONT,1.0,31,{}
New,ADJ,CONST-MOV,CONST-FRONT,1.0,31,{}
HC,PROPN,CONST-MOV,CONST-FRONT,1.0,30,{}
mangaluru,PROPN,CONST-MOV,CONST-FRONT,1.0,30,{}
Govt.,PROPN,CONST-MOV,CONST-FRONT,1.0,29,{}
CM,PROPN,CONST-MOV,CONST-FRONT,1.0,29,{}
more,ADJ,CONST-MOV,CONST-FRONT,1.0,28,{}
good,ADJ,CONST-MOV,CONST-FRONT,1.0,27,{}
IFFK,PROPN,CONST-MOV,CONST-FRONT,1.0,27,{}
role,NOUN,CONST-MOV,CONST-FRONT,1.0,26,{}
arrest,VERB,CONST-MOV,CONST-FRONT,1.0,25,{}
warangal,PROPN,CONST-MOV,CONST-FRONT,1.0,25,{}
hold,VERB,CONST-MOV,CONST-FRONT,1.0,24,{}
day,NOUN,CONST-MOV,CONST-FRONT,1.0,23,{}
briefly,ADV,CONST-MOV,CONST-FRONT,1.0,23,{}
p.m.,NOUN,CONST-MOV,CONST-FRONT,1.0,23,{}
state,NOUN,CONST-MOV,CONST-FRONT,1.0,22,{}
mysuru,NOUN,CONST-MOV,CONST-FRONT,1.0,22,{}
free,ADJ,CONST-MOV,CONST-FRONT,1.0,21,{}
cpi,PROPN,CONST-MOV,CONST-FRONT,1.0,21,{}
Award,NOUN,CONST-MOV,CONST-FRONT,1.0,20,{}
shivamogga,PROPN,CONST-MOV,CONST-FRONT,1.0,20,{}
Kerala,PROPN,CONST-MOV,CONST-FRONT,1.0,20,{}
kadapa,PROPN,CONST-MOV,CONST-FRONT,1.0,20,{}
Race,NOUN,CONST-MOV,CONST-FRONT,1.0,20,{}
AVC,PROPN,CONST-MOV,CONST-FRONT,1.0,20,{}
kozhikode,PROPN,CONST-MOV,CONST-FRONT,1.0,19,{}
kolkata,PROPN,CONST-MOV,CONST-FRONT,1.0,19,{}
tamil,ADJ,CONST-MOV,CONST-FRONT,1.0,18,{}
judgement,NOUN,CONST-MOV,CONST-FRONT,1.0,18,{}
dindigul,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
salem,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
vellore,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
Book,NOUN,CONST-MOV,CONST-FRONT,1.0,18,{}
thiruvananthapuram,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
tirupati,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
visakhapatnam,PROPN,CONST-MOV,CONST-FRONT,1.0,18,{}
