type,rule_description,frequency,confidence,feature_id
Lexical,man(NOUN) → CONST-FRONT,105,1.0,CONST-MOV
Lexical,year(NOUN) → CONST-FRONT,70,1.0,CONST-MOV
Lexical,India(PROPN) → CONST-FRONT,48,1.0,CONST-MOV
Lexical,person(NOUN) → CONST-FRONT,45,1.0,CONST-MOV
Lexical,BJP(PROPN) → CONST-FRONT,43,1.0,CONST-MOV
Lexical,new(ADJ) → CONST-FRONT,40,1.0,CONST-MOV
Lexical,go(VERB) → CONST-FRONT,37,1.0,CONST-MOV
Lexical,woman(NOUN) → CONST-FRONT,33,1.0,CONST-MOV
Lexical,child(NOUN) → CONST-FRONT,33,1.0,CONST-MOV
Lexical,mosquito(NOUN) → CONST-FRONT,33,1.0,CONST-MOV
Lexical,Allepey(PROPN) → CONST-FRONT,32,1.0,CONST-MOV
Lexical,hassan(PROPN) → CONST-FRONT,31,1.0,CONST-MOV
Lexical,New(ADJ) → CONST-FRONT,31,1.0,CONST-MOV
Lexical,HC(PROPN) → CONST-FRONT,30,1.0,CONST-MOV
Lexical,mangaluru(PROPN) → CONST-FRONT,30,1.0,CONST-MOV
Lexical,Govt.(PROPN) → CONST-FRONT,29,1.0,CONST-MOV
Lexical,CM(PROPN) → CONST-FRONT,29,1.0,CONST-MOV
Lexical,more(ADJ) → CONST-FRONT,28,1.0,CONST-MOV
Lexical,good(ADJ) → CONST-FRONT,27,1.0,CONST-MOV
Lexical,IFFK(PROPN) → CONST-FRONT,27,1.0,CONST-MOV
Lexical,role(NOUN) → CONST-FRONT,26,1.0,CONST-MOV
Lexical,arrest(VERB) → CONST-FRONT,25,1.0,CONST-MOV
Lexical,warangal(PROPN) → CONST-FRONT,25,1.0,CONST-MOV
Lexical,hold(VERB) → CONST-FRONT,24,1.0,CONST-MOV
Lexical,day(NOUN) → CONST-FRONT,23,1.0,CONST-MOV
Lexical,briefly(ADV) → CONST-FRONT,23,1.0,CONST-MOV
Lexical,p.m.(NOUN) → CONST-FRONT,23,1.0,CONST-MOV
Lexical,state(NOUN) → CONST-FRONT,22,1.0,CONST-MOV
Lexical,mysuru(NOUN) → CONST-FRONT,22,1.0,CONST-MOV
Lexical,free(ADJ) → CONST-FRONT,21,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,1018,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,508,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,461,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,415,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,382,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,378,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,262,1.0,CONST-MOV
Syntactic,VERB → CONST-FRONT,197,1.0,CONST-MOV
Syntactic,PROPN → 10,143,1.0,TED-SIMPLE
Syntactic,VERB → CONST-FRONT,133,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,130,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,117,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,113,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,109,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,80,1.0,CONST-MOV
Syntactic,PROPN → 10,74,1.0,TED-SIMPLE
Syntactic,NOUN → CONST-FRONT,72,1.0,CONST-MOV
Syntactic,PROPN → CONST-POST,63,1.0,CONST-MOV
Syntactic,PROPN → Fin,63,1.0,CLAUSE-TYPE-CHG
Syntactic,PROPN → 10,62,1.0,TED-SIMPLE
Syntactic,PROPN → CONST-FRONT,61,1.0,CONST-MOV
Syntactic,NOUN → 10,58,1.0,TED-SIMPLE
Syntactic,NOUN → 10,58,1.0,TED-SIMPLE
Syntactic,NOUN → 10,56,1.0,TED-SIMPLE
