feature_id,feature_name,total_occurrences,percentage_of_total,newspapers_found_in,parse_types_found_in
CONST-MOV,Constituent Movement,5705,26.682568635704595,1,1
DEP-REL-CHG,Dependency Relation Change,5284,24.713530704831392,1,1
FW-DEL,Function Word Deletion,1661,7.768579580000935,1,1
CLAUSE-TYPE-CHG,Clause Type Change,1500,7.015574575557738,1,1
TED-RTED,TED-RTED,1139,5.327159627706843,1,1
TED-KLEIN,TED-KLEIN,1124,5.257003881951265,1,1
TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,1124,5.257003881951265,1,1
LENGTH-CHG,Sentence Length Change,1117,5.224264533931996,1,1
TED-SIMPLE,TED-SIMPLE,1058,4.948318600626725,1,1
C-DEL,Content Word Deletion,447,2.0906412235162057,1,1
CONST-REM,Constituent Removal,278,1.3002198213367007,1,1
C-ADD,Content Word Addition,200,0.9354099434076983,1,1
HEAD-CHG,Dependency Head Change,198,0.9260558439736215,1,1
FORM-CHG,Surface Form Change,158,0.7389738552920817,1,1
FEAT-CHG,Morphological Feature Change,122,0.570600065478696,1,1
CONST-ADD,Constituent Addition,91,0.42561152425050275,1,1
POS-CHG,Part of Speech Change,83,0.38819512651419485,1,1
FW-ADD,Function Word Addition,49,0.2291754361348861,1,1
LEMMA-CHG,Lemma Change,26,0.1216032926430008,1,1
VERB-FORM-CHG,Verb Form Change,11,0.051447546887423416,1,1
TOKEN-REORDER,Token Reordering,6,0.02806229830223095,1,1
