feature_id,bidirectional_sum,jensen_shannon,total_events,register_overlap
LEMMA-CHG,66.43856191518499,28.941667520773382,22,0.0
PUNCT-ADD,66.43856190166409,32.235254216989716,401,0.0
PUNCT-DEL,66.43856190048469,32.307449435375766,307,0.0
FW-DEL,66.43856189972344,32.24388425343828,2241,0.0
FW-ADD,66.43856189970421,32.20773396585781,170,0.0
CONST-REM,66.43856189960437,32.18946684889752,254,0.0
CONST-ADD,66.43856189911953,32.21195126023069,124,0.0
C-ADD,66.43856189894946,32.59537169591798,540,0.0
C-DEL,66.43856189889362,32.45202927276116,720,0.0
H-STRUCT,66.43856189851813,33.197328377084716,1041,0.0
