newspaper,parse_type,feature_id,feature_name,count,percentage_of_combination
Times-of-India,dependency,FW-DEL,Function Word Deletion,2241,14.692191699993442
Times-of-India,dependency,DEP-REL-CHG,Dependency Relation Change,9892,64.85281583950699
Times-of-India,dependency,LENGTH-CHG,Sentence Length Change,1022,6.700321248279027
Times-of-India,dependency,HEAD-CHG,Dependency Head Change,282,1.8488166262374615
Times-of-India,dependency,C-DEL,Content Word Deletion,720,4.720382875499902
Times-of-India,dependency,C-ADD,Content Word Addition,540,3.5402871566249265
Times-of-India,dependency,POS-CHG,Part of Speech Change,89,0.5834917721104045
Times-of-India,dependency,FORM-CHG,Surface Form Change,89,0.5834917721104045
Times-of-India,dependency,FEAT-CHG,Morphological Feature Change,160,1.0489739723333116
Times-of-India,dependency,FW-ADD,Function Word Addition,170,1.1145348456041435
Times-of-India,dependency,LEMMA-CHG,Lemma Change,22,0.14423392119583034
Times-of-India,dependency,VERB-FORM-CHG,Verb Form Change,14,0.09178522257916476
Times-of-India,dependency,TOKEN-REORDER,Token Reordering,12,0.07867304792499835
Times-of-India,constituency,CONST-REM,Constituent Removal,254,1.3901050788091067
Times-of-India,constituency,CONST-MOV,Constituent Movement,11485,62.85573555166375
Times-of-India,constituency,CLAUSE-TYPE-CHG,Clause Type Change,2728,14.929947460595447
Times-of-India,constituency,TED-SIMPLE,TED-SIMPLE,1034,5.65893169877408
Times-of-India,constituency,TED-RTED,TED-RTED,1035,5.664404553415061
Times-of-India,constituency,TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,806,4.411120840630473
Times-of-India,constituency,TED-KLEIN,TED-KLEIN,806,4.411120840630473
Times-of-India,constituency,CONST-ADD,Constituent Addition,124,0.6786339754816112
