feature_id,mnemonic,name,count
CONST-MOV,CONST-MOV,Constituent Movement,11485
DEP-REL-CHG,DEP-REL-CHG,Dependency Relation Change,9892
CLAUSE-TYPE-CHG,CLAUSE-TYPE-CHG,Clause Type Change,2728
FW-DEL,FW-DEL,Function Word Deletion,2241
H-STRUCT,H-STRUCT,Headline Structure,1041
H-TYPE,H-TYPE,Headline Type,1041
DEP-DIST-DIFF,DEP-DIST-DIFF,Dependency Distance Difference,1041
BRANCH-DIFF,BRANCH-DIFF,Branching Factor Difference,1041
CONST-COUNT-DIFF,CONST-COUNT-DIFF,Constituent Count Difference,1041
TREE-DEPTH-DIFF,TREE-DEPTH-DIFF,Tree Depth Difference,1041
TED-RTED,,,1035
TED-SIMPLE,,,1034
LENGTH-CHG,LENGTH-CHG,Sentence Length Change,1022
TED-ZHANG-SHASHA,,,806
TED-KLEIN,,,806
C-DEL,C-DEL,Content Word Deletion,720
C-ADD,C-ADD,Content Word Addition,540
PUNCT-ADD,PUNCT-ADD,Punctuation Addition,401
PUNCT-DEL,PUNCT-DEL,Punctuation Deletion,307
HEAD-CHG,HEAD-CHG,Dependency Head Change,282
CONST-REM,CONST-REM,Constituent Removal,254
FW-ADD,FW-ADD,Function Word Addition,170
FEAT-CHG,FEAT-CHG,Morphological Feature Change,160
PUNCT-SUBST,PUNCT-SUBST,Punctuation Substitution,138
CONST-ADD,CONST-ADD,Constituent Addition,124
POS-CHG,POS-CHG,Part of Speech Change,89
FORM-CHG,FORM-CHG,Surface Form Change,89
LEMMA-CHG,LEMMA-CHG,Lemma Change,22
VERB-FORM-CHG,VERB-FORM-CHG,Verb Form Change,14
TOKEN-REORDER,TOKEN-REORDER,Token Reordering,12
