feature_id,canonical_value,headline_value,transformation,count,percentage
FEAT-CHG,Tense=Past,Tense=Pres,Tense=Past→Tense=Pres,46,28.749999999999996
FEAT-CHG,Number=ABSENT,Number=Sing,Number=ABSENT→Number=Sing,13,8.125
FEAT-CHG,Number=Plur,Number=Sing,Number=Plur→Number=Sing,10,6.25
FEAT-CHG,Person=3,Person=ABSENT,Person=3→Person=ABSENT,8,5.0
FEAT-CHG,Mood=ABSENT,Mood=Ind,Mood=ABSENT→Mood=Ind,8,5.0
FEAT-CHG,Person=ABSENT,Person=3,Person=ABSENT→Person=3,8,5.0
FEAT-CHG,Mood=Ind,Mood=ABSENT,Mood=Ind→Mood=ABSENT,8,5.0
FEAT-CHG,VerbForm=Part,VerbForm=Fin,VerbForm=Part→VerbForm=Fin,7,4.375
FEAT-CHG,Foreign=Yes,Foreign=ABSENT,Foreign=Yes→Foreign=ABSENT,6,3.75
FEAT-CHG,Number=Sing,Number=Plur,Number=Sing→Number=Plur,4,2.5
FEAT-CHG,VerbForm=Fin,VerbForm=ABSENT,VerbForm=Fin→VerbForm=ABSENT,4,2.5
FEAT-CHG,Tense=Pres,Tense=ABSENT,Tense=Pres→Tense=ABSENT,4,2.5
FEAT-CHG,Number=Sing,Number=ABSENT,Number=Sing→Number=ABSENT,4,2.5
FEAT-CHG,Tense=ABSENT,Tense=Pres,Tense=ABSENT→Tense=Pres,3,1.875
FEAT-CHG,Degree=ABSENT,Degree=Pos,Degree=ABSENT→Degree=Pos,2,1.25
FEAT-CHG,Tense=Past,Tense=ABSENT,Tense=Past→Tense=ABSENT,2,1.25
FEAT-CHG,Number=ABSENT,Number=Plur,Number=ABSENT→Number=Plur,2,1.25
FEAT-CHG,VerbForm=Fin,VerbForm=Inf,VerbForm=Fin→VerbForm=Inf,2,1.25
FEAT-CHG,Person=3,Person=1,Person=3→Person=1,2,1.25
FEAT-CHG,Number=Plur,Number=ABSENT,Number=Plur→Number=ABSENT,2,1.25
FEAT-CHG,VerbForm=Inf,VerbForm=ABSENT,VerbForm=Inf→VerbForm=ABSENT,2,1.25
FEAT-CHG,VerbForm=Fin,VerbForm=Part,VerbForm=Fin→VerbForm=Part,2,1.25
FEAT-CHG,Voice=ABSENT,Voice=Pass,Voice=ABSENT→Voice=Pass,2,1.25
FEAT-CHG,Tense=Pres,Tense=Past,Tense=Pres→Tense=Past,1,0.625
FEAT-CHG,Degree=Pos,Degree=ABSENT,Degree=Pos→Degree=ABSENT,1,0.625
FEAT-CHG,Case=Acc,Case=Nom,Case=Acc→Case=Nom,1,0.625
FEAT-CHG,Abbr=ABSENT,Abbr=Yes,Abbr=ABSENT→Abbr=Yes,1,0.625
FEAT-CHG,VerbForm=Ger,VerbForm=Part,VerbForm=Ger→VerbForm=Part,1,0.625
FEAT-CHG,Person=2,Person=1,Person=2→Person=1,1,0.625
FEAT-CHG,VerbForm=Ger,VerbForm=Fin,VerbForm=Ger→VerbForm=Fin,1,0.625
FEAT-CHG,Foreign=ABSENT,Foreign=Yes,Foreign=ABSENT→Foreign=Yes,1,0.625
FEAT-CHG,VerbForm=Inf,VerbForm=Part,VerbForm=Inf→VerbForm=Part,1,0.625
