feature_id,canonical_value,headline_value,transformation,count,percentage
HEAD-CHG,3,2,3→2,58,20.56737588652482
HEAD-CHG,4,3,4→3,42,14.893617021276595
HEAD-CHG,5,4,5→4,24,8.51063829787234
HEAD-CHG,6,5,6→5,21,7.446808510638298
HEAD-CHG,10,9,10→9,14,4.964539007092199
HEAD-CHG,7,6,7→6,11,3.900709219858156
HEAD-CHG,11,10,11→10,8,2.8368794326241136
HEAD-CHG,9,7,9→7,6,2.127659574468085
HEAD-CHG,5,3,5→3,6,2.127659574468085
HEAD-CHG,5,7,5→7,6,2.127659574468085
HEAD-CHG,8,7,8→7,4,1.4184397163120568
HEAD-CHG,9,10,9→10,4,1.4184397163120568
HEAD-CHG,2,3,2→3,4,1.4184397163120568
HEAD-CHG,10,8,10→8,4,1.4184397163120568
HEAD-CHG,12,11,12→11,4,1.4184397163120568
HEAD-CHG,9,8,9→8,4,1.4184397163120568
HEAD-CHG,6,7,6→7,3,1.0638297872340425
HEAD-CHG,7,5,7→5,3,1.0638297872340425
HEAD-CHG,13,12,13→12,3,1.0638297872340425
HEAD-CHG,4,2,4→2,3,1.0638297872340425
HEAD-CHG,6,4,6→4,3,1.0638297872340425
HEAD-CHG,14,13,14→13,2,0.7092198581560284
HEAD-CHG,3,12,3→12,2,0.7092198581560284
HEAD-CHG,2,1,2→1,2,0.7092198581560284
HEAD-CHG,3,4,3→4,2,0.7092198581560284
HEAD-CHG,6,8,6→8,2,0.7092198581560284
HEAD-CHG,19,15,19→15,2,0.7092198581560284
HEAD-CHG,12,10,12→10,2,0.7092198581560284
HEAD-CHG,11,9,11→9,2,0.7092198581560284
HEAD-CHG,9,11,9→11,2,0.7092198581560284
HEAD-CHG,13,11,13→11,2,0.7092198581560284
HEAD-CHG,13,10,13→10,2,0.7092198581560284
HEAD-CHG,15,13,15→13,2,0.7092198581560284
HEAD-CHG,14,10,14→10,1,0.3546099290780142
HEAD-CHG,2,9,2→9,1,0.3546099290780142
HEAD-CHG,12,9,12→9,1,0.3546099290780142
HEAD-CHG,4,6,4→6,1,0.3546099290780142
HEAD-CHG,8,9,8→9,1,0.3546099290780142
HEAD-CHG,13,3,13→3,1,0.3546099290780142
HEAD-CHG,4,9,4→9,1,0.3546099290780142
HEAD-CHG,16,14,16→14,1,0.3546099290780142
HEAD-CHG,5,6,5→6,1,0.3546099290780142
HEAD-CHG,5,8,5→8,1,0.3546099290780142
HEAD-CHG,3,14,3→14,1,0.3546099290780142
HEAD-CHG,7,8,7→8,1,0.3546099290780142
HEAD-CHG,6,3,6→3,1,0.3546099290780142
HEAD-CHG,2,5,2→5,1,0.3546099290780142
HEAD-CHG,3,7,3→7,1,0.3546099290780142
HEAD-CHG,2,4,2→4,1,0.3546099290780142
HEAD-CHG,15,14,15→14,1,0.3546099290780142
HEAD-CHG,8,2,8→2,1,0.3546099290780142
HEAD-CHG,1,4,1→4,1,0.3546099290780142
HEAD-CHG,7,4,7→4,1,0.3546099290780142
HEAD-CHG,10,7,10→7,1,0.3546099290780142
HEAD-CHG,4,5,4→5,1,0.3546099290780142
HEAD-CHG,11,12,11→12,1,0.3546099290780142
