feature_id,canonical_value,headline_value,transformation,count,percentage
LENGTH-CHG,16,12,16→12,39,3.816046966731898
LENGTH-CHG,13,10,13→10,39,3.816046966731898
LENGTH-CHG,15,11,15→11,37,3.6203522504892365
LENGTH-CHG,14,11,14→11,35,3.4246575342465753
LENGTH-CHG,17,13,17→13,29,2.8375733855185907
LENGTH-CHG,15,12,15→12,28,2.73972602739726
LENGTH-CHG,14,12,14→12,28,2.73972602739726
LENGTH-CHG,16,13,16→13,28,2.73972602739726
LENGTH-CHG,12,9,12→9,27,2.6418786692759295
LENGTH-CHG,16,11,16→11,27,2.6418786692759295
LENGTH-CHG,14,10,14→10,25,2.446183953033268
LENGTH-CHG,12,10,12→10,22,2.152641878669276
LENGTH-CHG,17,12,17→12,22,2.152641878669276
LENGTH-CHG,18,14,18→14,21,2.054794520547945
LENGTH-CHG,13,11,13→11,21,2.054794520547945
LENGTH-CHG,15,10,15→10,21,2.054794520547945
LENGTH-CHG,11,9,11→9,21,2.054794520547945
LENGTH-CHG,13,9,13→9,18,1.761252446183953
LENGTH-CHG,17,14,17→14,18,1.761252446183953
LENGTH-CHG,15,13,15→13,18,1.761252446183953
LENGTH-CHG,12,8,12→8,17,1.663405088062622
LENGTH-CHG,19,13,19→13,16,1.5655577299412915
LENGTH-CHG,11,8,11→8,16,1.5655577299412915
LENGTH-CHG,16,14,16→14,15,1.467710371819961
LENGTH-CHG,10,7,10→7,15,1.467710371819961
LENGTH-CHG,19,15,19→15,13,1.2720156555772992
LENGTH-CHG,10,8,10→8,13,1.2720156555772992
LENGTH-CHG,17,11,17→11,13,1.2720156555772992
LENGTH-CHG,18,12,18→12,12,1.1741682974559686
LENGTH-CHG,13,8,13→8,12,1.1741682974559686
LENGTH-CHG,12,11,12→11,11,1.076320939334638
LENGTH-CHG,11,10,11→10,10,0.9784735812133072
LENGTH-CHG,19,14,19→14,10,0.9784735812133072
LENGTH-CHG,13,12,13→12,10,0.9784735812133072
LENGTH-CHG,19,16,19→16,9,0.8806262230919765
LENGTH-CHG,14,8,14→8,9,0.8806262230919765
LENGTH-CHG,18,11,18→11,9,0.8806262230919765
LENGTH-CHG,20,14,20→14,8,0.7827788649706457
LENGTH-CHG,18,15,18→15,8,0.7827788649706457
LENGTH-CHG,20,13,20→13,8,0.7827788649706457
LENGTH-CHG,16,10,16→10,8,0.7827788649706457
LENGTH-CHG,19,12,19→12,7,0.684931506849315
LENGTH-CHG,14,9,14→9,7,0.684931506849315
LENGTH-CHG,20,16,20→16,7,0.684931506849315
LENGTH-CHG,20,15,20→15,7,0.684931506849315
LENGTH-CHG,9,6,9→6,7,0.684931506849315
LENGTH-CHG,9,8,9→8,6,0.5870841487279843
LENGTH-CHG,18,16,18→16,6,0.5870841487279843
LENGTH-CHG,15,9,15→9,6,0.5870841487279843
LENGTH-CHG,10,9,10→9,6,0.5870841487279843
LENGTH-CHG,15,16,15→16,6,0.5870841487279843
LENGTH-CHG,10,6,10→6,6,0.5870841487279843
LENGTH-CHG,12,7,12→7,5,0.4892367906066536
LENGTH-CHG,8,5,8→5,5,0.4892367906066536
LENGTH-CHG,22,15,22→15,5,0.4892367906066536
LENGTH-CHG,16,17,16→17,5,0.4892367906066536
LENGTH-CHG,15,14,15→14,5,0.4892367906066536
LENGTH-CHG,22,14,22→14,5,0.4892367906066536
LENGTH-CHG,18,13,18→13,5,0.4892367906066536
LENGTH-CHG,14,13,14→13,5,0.4892367906066536
LENGTH-CHG,17,15,17→15,4,0.3913894324853229
LENGTH-CHG,21,13,21→13,4,0.3913894324853229
LENGTH-CHG,8,7,8→7,4,0.3913894324853229
LENGTH-CHG,21,16,21→16,4,0.3913894324853229
LENGTH-CHG,11,7,11→7,4,0.3913894324853229
LENGTH-CHG,21,15,21→15,3,0.29354207436399216
LENGTH-CHG,17,19,17→19,3,0.29354207436399216
LENGTH-CHG,18,17,18→17,3,0.29354207436399216
LENGTH-CHG,18,21,18→21,3,0.29354207436399216
LENGTH-CHG,14,16,14→16,3,0.29354207436399216
LENGTH-CHG,21,19,21→19,3,0.29354207436399216
LENGTH-CHG,22,16,22→16,3,0.29354207436399216
LENGTH-CHG,17,18,17→18,3,0.29354207436399216
LENGTH-CHG,23,18,23→18,3,0.29354207436399216
LENGTH-CHG,9,7,9→7,3,0.29354207436399216
LENGTH-CHG,7,6,7→6,3,0.29354207436399216
LENGTH-CHG,9,5,9→5,3,0.29354207436399216
LENGTH-CHG,17,10,17→10,3,0.29354207436399216
LENGTH-CHG,19,11,19→11,3,0.29354207436399216
LENGTH-CHG,5,4,5→4,2,0.19569471624266144
LENGTH-CHG,17,9,17→9,2,0.19569471624266144
LENGTH-CHG,12,6,12→6,2,0.19569471624266144
LENGTH-CHG,23,20,23→20,2,0.19569471624266144
LENGTH-CHG,22,17,22→17,2,0.19569471624266144
LENGTH-CHG,19,17,19→17,2,0.19569471624266144
LENGTH-CHG,14,15,14→15,2,0.19569471624266144
LENGTH-CHG,18,10,18→10,2,0.19569471624266144
LENGTH-CHG,24,19,24→19,2,0.19569471624266144
LENGTH-CHG,20,17,20→17,2,0.19569471624266144
LENGTH-CHG,17,16,17→16,2,0.19569471624266144
LENGTH-CHG,18,20,18→20,2,0.19569471624266144
LENGTH-CHG,19,18,19→18,2,0.19569471624266144
LENGTH-CHG,24,17,24→17,2,0.19569471624266144
LENGTH-CHG,21,14,21→14,2,0.19569471624266144
LENGTH-CHG,6,5,6→5,2,0.19569471624266144
LENGTH-CHG,13,7,13→7,2,0.19569471624266144
LENGTH-CHG,20,22,20→22,2,0.19569471624266144
LENGTH-CHG,13,15,13→15,2,0.19569471624266144
LENGTH-CHG,12,13,12→13,2,0.19569471624266144
LENGTH-CHG,11,13,11→13,2,0.19569471624266144
LENGTH-CHG,7,4,7→4,2,0.19569471624266144
LENGTH-CHG,20,12,20→12,1,0.09784735812133072
LENGTH-CHG,13,18,13→18,1,0.09784735812133072
LENGTH-CHG,21,20,21→20,1,0.09784735812133072
LENGTH-CHG,20,19,20→19,1,0.09784735812133072
LENGTH-CHG,22,13,22→13,1,0.09784735812133072
LENGTH-CHG,21,18,21→18,1,0.09784735812133072
LENGTH-CHG,23,19,23→19,1,0.09784735812133072
LENGTH-CHG,18,19,18→19,1,0.09784735812133072
LENGTH-CHG,12,20,12→20,1,0.09784735812133072
LENGTH-CHG,25,18,25→18,1,0.09784735812133072
LENGTH-CHG,25,17,25→17,1,0.09784735812133072
LENGTH-CHG,15,19,15→19,1,0.09784735812133072
LENGTH-CHG,15,17,15→17,1,0.09784735812133072
LENGTH-CHG,9,10,9→10,1,0.09784735812133072
LENGTH-CHG,27,17,27→17,1,0.09784735812133072
LENGTH-CHG,12,21,12→21,1,0.09784735812133072
LENGTH-CHG,13,14,13→14,1,0.09784735812133072
LENGTH-CHG,14,19,14→19,1,0.09784735812133072
LENGTH-CHG,13,20,13→20,1,0.09784735812133072
