feature_id,canonical_value,headline_value,transformation,count,percentage
TED-KLEIN,10,10,10→10,95,11.786600496277917
TED-KLEIN,14,14,14→14,81,10.049627791563276
TED-KLEIN,16,16,16→16,76,9.429280397022332
TED-KLEIN,12,12,12→12,75,9.305210918114144
TED-KLEIN,18,18,18→18,53,6.575682382133994
TED-KLEIN,15,15,15→15,39,4.838709677419355
TED-KLEIN,13,13,13→13,38,4.714640198511166
TED-KLEIN,20,20,20→20,33,4.094292803970223
TED-KLEIN,17,17,17→17,28,3.4739454094292808
TED-KLEIN,21,21,21→21,26,3.225806451612903
TED-KLEIN,22,22,22→22,23,2.8535980148883375
TED-KLEIN,19,19,19→19,23,2.8535980148883375
TED-KLEIN,11,11,11→11,19,2.357320099255583
TED-KLEIN,4,4,4→4,19,2.357320099255583
TED-KLEIN,9,9,9→9,18,2.2332506203473943
TED-KLEIN,5,5,5→5,16,1.9851116625310175
TED-KLEIN,6,6,6→6,16,1.9851116625310175
TED-KLEIN,7,7,7→7,15,1.8610421836228286
TED-KLEIN,25,25,25→25,14,1.7369727047146404
TED-KLEIN,2,2,2→2,13,1.6129032258064515
TED-KLEIN,24,24,24→24,13,1.6129032258064515
TED-KLEIN,23,23,23→23,12,1.488833746898263
TED-KLEIN,26,26,26→26,12,1.488833746898263
TED-KLEIN,8,8,8→8,10,1.240694789081886
TED-KLEIN,27,27,27→27,8,0.9925558312655087
TED-KLEIN,28,28,28→28,7,0.8684863523573202
TED-KLEIN,3,3,3→3,6,0.7444168734491315
TED-KLEIN,30,30,30→30,4,0.49627791563275436
TED-KLEIN,29,29,29→29,4,0.49627791563275436
TED-KLEIN,32,32,32→32,4,0.49627791563275436
TED-KLEIN,35,35,35→35,2,0.24813895781637718
TED-KLEIN,42,42,42→42,1,0.12406947890818859
TED-KLEIN,31,31,31→31,1,0.12406947890818859
TED-KLEIN,40,40,40→40,1,0.12406947890818859
TED-KLEIN,36,36,36→36,1,0.12406947890818859
