feature_id,canonical_value,headline_value,transformation,count,percentage
TED-RTED,11,11,11→11,61,5.8937198067632846
TED-RTED,8,8,8→8,61,5.8937198067632846
TED-RTED,13,13,13→13,53,5.120772946859904
TED-RTED,12,12,12→12,53,5.120772946859904
TED-RTED,10,10,10→10,51,4.9275362318840585
TED-RTED,16,16,16→16,50,4.830917874396135
TED-RTED,15,15,15→15,50,4.830917874396135
TED-RTED,14,14,14→14,50,4.830917874396135
TED-RTED,6,6,6→6,47,4.541062801932367
TED-RTED,19,19,19→19,44,4.251207729468599
TED-RTED,9,9,9→9,39,3.768115942028986
TED-RTED,18,18,18→18,38,3.6714975845410627
TED-RTED,17,17,17→17,37,3.5748792270531404
TED-RTED,7,7,7→7,33,3.1884057971014492
TED-RTED,22,22,22→22,31,2.995169082125604
TED-RTED,23,23,23→23,31,2.995169082125604
TED-RTED,20,20,20→20,25,2.4154589371980677
TED-RTED,5,5,5→5,24,2.318840579710145
TED-RTED,21,21,21→21,23,2.2222222222222223
TED-RTED,25,25,25→25,23,2.2222222222222223
TED-RTED,29,29,29→29,22,2.1256038647342996
TED-RTED,24,24,24→24,21,2.0289855072463765
TED-RTED,4,4,4→4,20,1.932367149758454
TED-RTED,26,26,26→26,19,1.8357487922705313
TED-RTED,28,28,28→28,19,1.8357487922705313
TED-RTED,30,30,30→30,16,1.5458937198067633
TED-RTED,27,27,27→27,14,1.3526570048309179
TED-RTED,2,2,2→2,13,1.2560386473429952
TED-RTED,36,36,36→36,7,0.6763285024154589
TED-RTED,31,31,31→31,7,0.6763285024154589
TED-RTED,33,33,33→33,7,0.6763285024154589
TED-RTED,3,3,3→3,6,0.5797101449275363
TED-RTED,32,32,32→32,6,0.5797101449275363
TED-RTED,34,34,34→34,5,0.4830917874396135
TED-RTED,38,38,38→38,4,0.3864734299516908
TED-RTED,35,35,35→35,4,0.3864734299516908
TED-RTED,40,40,40→40,3,0.2898550724637681
TED-RTED,37,37,37→37,3,0.2898550724637681
TED-RTED,39,39,39→39,3,0.2898550724637681
TED-RTED,41,41,41→41,2,0.1932367149758454
TED-RTED,42,42,42→42,2,0.1932367149758454
TED-RTED,43,43,43→43,2,0.1932367149758454
TED-RTED,44,44,44→44,2,0.1932367149758454
TED-RTED,52,52,52→52,1,0.0966183574879227
TED-RTED,46,46,46→46,1,0.0966183574879227
TED-RTED,47,47,47→47,1,0.0966183574879227
TED-RTED,45,45,45→45,1,0.0966183574879227
