feature_id,canonical_value,headline_value,transformation,count,percentage
TED-ZHANG-SHASHA,8,8,8→8,52,6.451612903225806
TED-ZHANG-SHASHA,10,10,10→10,51,6.327543424317618
TED-ZHANG-SHASHA,11,11,11→11,50,6.20347394540943
TED-ZHANG-SHASHA,15,15,15→15,50,6.20347394540943
TED-ZHANG-SHASHA,12,12,12→12,49,6.079404466501241
TED-ZHANG-SHASHA,6,6,6→6,48,5.955334987593052
TED-ZHANG-SHASHA,13,13,13→13,43,5.334987593052109
TED-ZHANG-SHASHA,9,9,9→9,40,4.962779156327544
TED-ZHANG-SHASHA,14,14,14→14,38,4.714640198511166
TED-ZHANG-SHASHA,7,7,7→7,35,4.3424317617866
TED-ZHANG-SHASHA,16,16,16→16,33,4.094292803970223
TED-ZHANG-SHASHA,17,17,17→17,32,3.970223325062035
TED-ZHANG-SHASHA,19,19,19→19,32,3.970223325062035
TED-ZHANG-SHASHA,18,18,18→18,31,3.8461538461538463
TED-ZHANG-SHASHA,20,20,20→20,28,3.4739454094292808
TED-ZHANG-SHASHA,21,21,21→21,26,3.225806451612903
TED-ZHANG-SHASHA,5,5,5→5,21,2.6054590570719602
TED-ZHANG-SHASHA,4,4,4→4,20,2.481389578163772
TED-ZHANG-SHASHA,26,26,26→26,15,1.8610421836228286
TED-ZHANG-SHASHA,22,22,22→22,15,1.8610421836228286
TED-ZHANG-SHASHA,25,25,25→25,15,1.8610421836228286
TED-ZHANG-SHASHA,23,23,23→23,14,1.7369727047146404
TED-ZHANG-SHASHA,2,2,2→2,13,1.6129032258064515
TED-ZHANG-SHASHA,24,24,24→24,10,1.240694789081886
TED-ZHANG-SHASHA,29,29,29→29,6,0.7444168734491315
TED-ZHANG-SHASHA,28,28,28→28,6,0.7444168734491315
TED-ZHANG-SHASHA,3,3,3→3,6,0.7444168734491315
TED-ZHANG-SHASHA,31,31,31→31,3,0.37220843672456577
TED-ZHANG-SHASHA,33,33,33→33,3,0.37220843672456577
TED-ZHANG-SHASHA,35,35,35→35,3,0.37220843672456577
TED-ZHANG-SHASHA,27,27,27→27,3,0.37220843672456577
TED-ZHANG-SHASHA,34,34,34→34,3,0.37220843672456577
TED-ZHANG-SHASHA,32,32,32→32,2,0.24813895781637718
TED-ZHANG-SHASHA,30,30,30→30,2,0.24813895781637718
TED-ZHANG-SHASHA,41,41,41→41,2,0.24813895781637718
TED-ZHANG-SHASHA,37,37,37→37,2,0.24813895781637718
TED-ZHANG-SHASHA,38,38,38→38,1,0.12406947890818859
TED-ZHANG-SHASHA,42,42,42→42,1,0.12406947890818859
TED-ZHANG-SHASHA,36,36,36→36,1,0.12406947890818859
TED-ZHANG-SHASHA,39,39,39→39,1,0.12406947890818859
