feature_id,rank,transformation,count,pattern_type
ABSENT,0,ABSENT→NOUN-ADD,379,additions
ABSENT,0,ABSENT→VERB-ADD,93,additions
ABSENT,0,ABSENT→ADP-ADD,79,additions
ABSENT,0,ABSENT→ADJ-ADD,58,additions
ABSENT,0,ABSENT→ADJP-ADD,44,additions
ABSENT,0,ABSENT→SBAR-ADD,40,additions
ABSENT,0,ABSENT→PRON-PERS-ADD,35,additions
ABSENT,0,ABSENT→AUX-ADD,34,additions
ABSENT,0,ABSENT→ADVP-ADD,22,additions
ABSENT,0,ABSENT→PP-ADD,14,additions
ABSENT,0,ABSENT→CCONJ-ADD,11,additions
ABSENT,0,ABSENT→ADV-ADD,10,additions
ABSENT,0,ABSENT→ART-ADD,6,additions
ABSENT,0,ABSENT→SCONJ-ADD,5,additions
ABSENT,0,ABSENT→QP-ADD,4,additions
,0,→single-line,1036,changes
,0,→non-fragment,776,changes
,0,→fragment,265,changes
,0,→colon,198,changes
,0,→comma,77,changes
,0,→parenthesis,70,changes
,0,→apostrophe,39,changes
,0,→hyphen,13,changes
,0,→micro-discourse,5,changes
,0,→semicolon,2,changes
,0,→slash,1,changes
,0,→question mark,1,changes
"""",0,"""→says",23,changes
"""",0,"""→said",1,changes
',0,'→‘,1,changes
",",0,",→on",9,changes
",",0,",→for",1,changes
1,0,1→4,1,changes
1.33,0,1.33→1.50,1,changes
1.50,0,1.50→1.33,1,changes
1.62,0,1.62→1.56,1,changes
1.65,0,1.65→1.62,1,changes
1.65,0,1.65→1.73,1,changes
1.70,0,1.70→1.38,1,changes
1.70,0,1.70→1.60,1,changes
1.71,0,1.71→1.62,2,changes
1.71,0,1.71→1.50,1,changes
1.71,0,1.71→2.17,1,changes
1.71,0,1.71→1.64,1,changes
1.73,0,1.73→1.50,2,changes
1.75,0,1.75→1.33,2,changes
1.75,0,1.75→1.67,2,changes
1.75,0,1.75→1.71,1,changes
1.75,0,1.75→1.63,1,changes
1.75,0,1.75→1.64,1,changes
1.75,0,1.75→1.56,1,changes
1.75,0,1.75→1.62,1,changes
1.76,0,1.76→1.59,2,changes
1.76,0,1.76→1.65,1,changes
1.77,0,1.77→1.69,1,changes
1.77,0,1.77→1.67,1,changes
1.78,0,1.78→1.38,1,changes
1.78,0,1.78→1.40,1,changes
1.78,0,1.78→2.20,1,changes
1.79,0,1.79→1.62,1,changes
1.79,0,1.79→1.71,1,changes
1.79,0,1.79→1.80,1,changes
1.79,0,1.79→1.75,1,changes
1.79,0,1.79→1.69,1,changes
1.80,0,1.80→2.00,1,changes
1.80,0,1.80→1.50,1,changes
1.80,0,1.80→1.68,1,changes
1.80,0,1.80→1.69,1,changes
1.80,0,1.80→1.61,1,changes
1.80,0,1.80→1.89,1,changes
1.80,0,1.80→1.73,1,changes
1.80,0,1.80→1.88,1,changes
1.80,0,1.80→1.64,1,changes
1.80,0,1.80→1.65,1,changes
1.80,0,1.80→1.60,1,changes
1.80,0,1.80→1.71,1,changes
1.80,0,1.80→1.62,1,changes
1.80,0,1.80→1.57,1,changes
1.81,0,1.81→1.69,1,changes
1.81,0,1.81→1.83,1,changes
1.81,0,1.81→1.77,1,changes
1.81,0,1.81→1.73,1,changes
1.82,0,1.82→1.71,1,changes
1.82,0,1.82→1.65,1,changes
1.82,0,1.82→1.73,1,changes
1.82,0,1.82→1.70,1,changes
1.82,0,1.82→1.67,1,changes
1.83,0,1.83→1.40,1,changes
1.83,0,1.83→1.85,1,changes
1.83,0,1.83→1.76,1,changes
1.83,0,1.83→1.84,1,changes
1.83,0,1.83→1.86,1,changes
1.83,0,1.83→1.56,1,changes
1.83,0,1.83→1.69,1,changes
1.83,0,1.83→1.75,1,changes
1.83,0,1.83→1.60,1,changes
1.83,0,1.83→1.64,1,changes
1.83,0,1.83→1.67,1,changes
1.84,0,1.84→1.67,1,changes
1.85,0,1.85→1.69,2,changes
1.85,0,1.85→2.00,2,changes
1.85,0,1.85→1.67,2,changes
1.85,0,1.85→1.68,1,changes
1.85,0,1.85→1.95,1,changes
1.85,0,1.85→1.80,1,changes
1.85,0,1.85→1.71,1,changes
1.85,0,1.85→1.89,1,changes
1.85,0,1.85→1.60,1,changes
1.86,0,1.86→1.77,4,changes
1.86,0,1.86→1.82,2,changes
1.86,0,1.86→1.69,2,changes
1.86,0,1.86→1.83,2,changes
1.86,0,1.86→1.79,1,changes
1.86,0,1.86→1.85,1,changes
