feature_id,total_transformations,unique_transformation_types,canonical_value_diversity,headline_value_diversity,top3_concentration_ratio,transformation_entropy,most_frequent_transformation,most_frequent_count
CONST-MOV,11485,2,2,2,1.0,0.34546396915406186,CONST-FRONT→CONST-FRONT,10743
DEP-REL-CHG,9892,821,44,43,0.06672058228871816,8.320167079753576,det→compound,272
CLAUSE-TYPE-CHG,2728,7,5,5,0.7785923753665689,2.299386215140772,Part→Fin,986
FW-DEL,2241,6,6,1,0.8616688978134761,1.9507933928468775,ART-DEL→ABSENT,920
PUNCT-DEL,1306,7,7,1,0.9678407350689127,1.0815436731379122,period→,1025
H-STRUCT,1041,2,1,2,1.0,0.04390514434869032,→single-line,1036
CONST-COUNT-DIFF,1041,325,43,42,0.04514889529298751,7.837252435307935,27→23,18
DEP-DIST-DIFF,1041,893,179,143,0.01633045148895293,9.70342555597017,2.67→2.00,6
TREE-DEPTH-DIFF,1041,91,16,14,0.18155619596541786,5.436959746467345,8→7,65
H-TYPE,1041,2,1,2,1.0,0.8184304040759685,→non-fragment,776
BRANCH-DIFF,1041,596,74,72,0.0345821325648415,8.78095521453747,2.00→1.75,13
TED-RTED,1035,47,47,47,0.16908212560386474,4.974379776527464,11→11,61
TED-SIMPLE,1034,10,10,10,0.9825918762088974,0.3208960876655251,10→10,997
LENGTH-CHG,1022,140,25,22,0.11252446183953033,6.287245750814989,13→10,39
TED-KLEIN,806,35,35,35,0.31265508684863524,4.447212623000182,10→10,95
TED-ZHANG-SHASHA,806,40,40,40,0.18982630272952852,4.713277078335499,8→8,52
C-DEL,720,4,4,1,0.9861111111111112,1.5345033533713093,NOUN-DEL→ABSENT,340
C-ADD,540,4,1,4,0.9814814814814815,1.247818507113491,ABSENT→NOUN-ADD,379
PUNCT-ADD,401,8,1,8,0.8603491271820449,1.9680534676846468,→colon,198
HEAD-CHG,282,56,17,15,0.4397163120567376,4.500620591379707,3→2,58
CONST-REM,254,6,6,1,0.8031496062992126,2.059628201809326,SBAR-REM→ABSENT,130
FW-ADD,170,6,1,6,0.8705882352941177,2.023093967988581,ABSENT→ADP-ADD,79
FEAT-CHG,160,32,22,22,0.43125,4.063646880985961,Tense=Past→Tense=Pres,46
PUNCT-SUBST,138,11,8,6,0.7463768115942029,2.436920108120835,"and→,",50
CONST-ADD,124,5,1,5,0.8548387096774194,2.014659378658145,ABSENT→ADJP-ADD,44
POS-CHG,89,6,3,3,0.797752808988764,2.0889062053408223,VERB→NOUN,41
FORM-CHG,89,77,74,75,0.10112359550561797,6.175116717458952,said→says,4
LEMMA-CHG,22,20,20,20,0.22727272727272727,4.277613436819114,United→Unite,2
VERB-FORM-CHG,14,6,4,3,0.7857142857142857,2.1179631753145163,Part→Fin,7
TOKEN-REORDER,12,2,2,2,1.0,0.9182958340544896,FRONT→FRONT,8
