pair_unit,frequency
FW-DEL:ART-DEL→ABSENT,920
FW-DEL:SCONJ-DEL→ABSENT,101
FW-DEL:AUX-DEL→ABSENT,844
DEP-REL-CHG:det→xcomp,12
DEP-REL-CHG:nsubj→compound,60
DEP-REL-CHG:ccomp→obj,15
DEP-REL-CHG:mark→cc,4
DEP-REL-CHG:xcomp→nsubj,6
DEP-REL-CHG:det→acl,9
DEP-REL-CHG:compound→obj,83
DEP-REL-CHG:obj→conj,14
DEP-REL-CHG:cc→nsubj,8
LENGTH-CHG:18→12,12
CONST-REM:SBAR-REM→ABSENT,130
CONST-MOV:CONST-POST→CONST-POST,742
CONST-MOV:CONST-FRONT→CONST-FRONT,10743
CLAUSE-TYPE-CHG:Fin→Inf,507
CLAUSE-TYPE-CHG:Fin→Ger,116
CLAUSE-TYPE-CHG:Inf→Fin,363
CLAUSE-TYPE-CHG:Part→Fin,986
TED-SIMPLE:10→10,997
TED-RTED:26→26,19
PUNCT-DEL:period→,1025
H-STRUCT:→single-line,1036
H-TYPE:→non-fragment,776
TREE-DEPTH-DIFF:12→9,18
CONST-COUNT-DIFF:36→28,8
DEP-DIST-DIFF:3.41→2.36,1
BRANCH-DIFF:1.94→1.69,1
DEP-REL-CHG:cop→root,12
DEP-REL-CHG:root→mark,43
DEP-REL-CHG:mark→advcl,39
DEP-REL-CHG:advcl→amod,14
DEP-REL-CHG:det→advmod,16
DEP-REL-CHG:amod→obj,39
DEP-REL-CHG:advmod→case,12
DEP-REL-CHG:obj→det,9
DEP-REL-CHG:case→amod,84
DEP-REL-CHG:det→nmod,62
HEAD-CHG:3→2,58
LENGTH-CHG:14→11,35
CLAUSE-TYPE-CHG:Fin→Part,631
TED-ZHANG-SHASHA:10→10,51
TED-KLEIN:11→11,19
TED-RTED:13→13,53
H-TYPE:→fragment,265
TREE-DEPTH-DIFF:11→10,37
CONST-COUNT-DIFF:26→23,9
DEP-DIST-DIFF:2.85→2.00,2
BRANCH-DIFF:2.08→1.83,1
FW-DEL:PRON-PERS-DEL→ABSENT,111
DEP-REL-CHG:det→amod,94
DEP-REL-CHG:amod→nsubj,57
DEP-REL-CHG:nsubj→root,212
DEP-REL-CHG:root→nmod:poss,23
DEP-REL-CHG:nmod:poss→obj,14
DEP-REL-CHG:obj→xcomp,11
DEP-REL-CHG:nsubj:pass→case,51
DEP-REL-CHG:aux:pass→compound,24
DEP-REL-CHG:acl:relcl→obl,2
LENGTH-CHG:14→9,7
TED-ZHANG-SHASHA:17→17,32
TED-KLEIN:16→16,76
TED-RTED:17→17,37
TREE-DEPTH-DIFF:11→8,20
CONST-COUNT-DIFF:27→18,2
DEP-DIST-DIFF:2.54→1.75,1
BRANCH-DIFF:2.00→1.89,7
DEP-REL-CHG:nsubj→nummod,11
DEP-REL-CHG:flat→cc,4
DEP-REL-CHG:root→conj,4
DEP-REL-CHG:mark→compound,32
DEP-REL-CHG:nummod→nsubj,7
DEP-REL-CHG:cc→acl,3
DEP-REL-CHG:det→compound:prt,2
DEP-REL-CHG:conj→case,16
DEP-REL-CHG:compound→obl,66
DEP-REL-CHG:aux→nmod,8
DEP-REL-CHG:aux:pass→flat,2
DEP-REL-CHG:ccomp→root,6
DEP-REL-CHG:compound:prt→nsubj,3
DEP-REL-CHG:case→flat,20
LENGTH-CHG:21→15,3
TED-RTED:32→32,6
TREE-DEPTH-DIFF:11→7,10
CONST-COUNT-DIFF:37→30,6
DEP-DIST-DIFF:3.80→2.00,1
BRANCH-DIFF:2.25→1.93,2
DEP-REL-CHG:case→nsubj,36
DEP-REL-CHG:nmod→aux,5
DEP-REL-CHG:aux→advmod,13
DEP-REL-CHG:advmod→root,7
DEP-REL-CHG:root→compound,75
DEP-REL-CHG:obj→case,106
DEP-REL-CHG:case→obl,167
DEP-REL-CHG:obl→cc,8
DEP-REL-CHG:cc→case,28
DEP-REL-CHG:case→conj,8
LENGTH-CHG:14→12,28
TED-ZHANG-SHASHA:9→9,40
TED-KLEIN:8→8,10
TED-RTED:11→11,61
TREE-DEPTH-DIFF:8→8,58
CONST-COUNT-DIFF:29→24,11
DEP-DIST-DIFF:2.54→1.91,1
BRANCH-DIFF:1.87→1.92,1
DEP-REL-CHG:nsubj→mark,42
DEP-REL-CHG:flat→nsubj,14
DEP-REL-CHG:root→advcl,12
DEP-REL-CHG:punct→nsubj,49
DEP-REL-CHG:mark→aux,5
DEP-REL-CHG:nsubj→advmod,21
DEP-REL-CHG:advcl→root,2
DEP-REL-CHG:punct→compound:prt,1
DEP-REL-CHG:nsubj→det,13
DEP-REL-CHG:aux→obj,51
DEP-REL-CHG:ccomp→parataxis,7
DEP-REL-CHG:det→flat,10
HEAD-CHG:13→3,1
LENGTH-CHG:19→15,13
TED-RTED:22→22,31
PUNCT-DEL:comma→,183
PUNCT-DEL:quote→,56
"PUNCT-SUBST:""→says",23
TREE-DEPTH-DIFF:9→7,30
CONST-COUNT-DIFF:35→30,5
DEP-DIST-DIFF:3.61→2.21,1
BRANCH-DIFF:2.12→1.93,2
DEP-REL-CHG:det→compound,272
DEP-REL-CHG:compound→nsubj,104
DEP-REL-CHG:nsubj→acl,9
DEP-REL-CHG:root→obj,104
DEP-REL-CHG:det→advcl,11
DEP-REL-CHG:ccomp→compound,17
LENGTH-CHG:14→10,25
TED-ZHANG-SHASHA:24→24,10
TED-KLEIN:18→18,53
TED-RTED:25→25,23
TREE-DEPTH-DIFF:11→9,26
