lemma,pos,feature_id,transformation,confidence,frequency,context
man,NOUN,CONST-MOV,CONST-FRONT,1.0,188,{}
p.m.,NOUN,CONST-MOV,CONST-FRONT,1.0,131,{}
year,NOUN,CONST-MOV,CONST-FRONT,1.0,130,{}
woman,NOUN,CONST-MOV,CONST-FRONT,1.0,128,{}
New,ADJ,CONST-MOV,CONST-FRONT,1.0,106,{}
Gujarat,PROPN,CONST-MOV,CONST-FRONT,1.0,102,{}
BJP,PROPN,CONST-MOV,CONST-FRONT,1.0,101,{}
Rahul,PROPN,CONST-MOV,CONST-FRONT,1.0,99,{}
Delhi,PROPN,CONST-MOV,CONST-FRONT,1.0,83,{}
India,PROPN,CONST-MOV,CONST-FRONT,1.0,83,{}
Pune,PROPN,CONST-MOV,CONST-FRONT,1.0,81,{}
Bihar,PROPN,CONST-MOV,CONST-FRONT,1.0,74,{}
Congress,PROPN,CONST-MOV,CONST-FRONT,1.0,72,{}
Nashik,PROPN,CONST-MOV,CONST-FRONT,1.0,72,{}
Rajasthan,PROPN,CONST-MOV,CONST-FRONT,1.0,71,{}
Google,PROPN,CONST-MOV,CONST-FRONT,1.0,70,{}
Surat,PROPN,CONST-MOV,CONST-FRONT,1.0,67,{}
police,NOUN,CONST-MOV,CONST-FRONT,1.0,66,{}
US,PROPN,CONST-MOV,CONST-FRONT,1.0,59,{}
be,VERB,CONST-MOV,CONST-FRONT,1.0,58,{}
kill,VERB,CONST-MOV,CONST-FRONT,1.0,57,{}
China,PROPN,CONST-MOV,CONST-FRONT,1.0,55,{}
Pak,PROPN,CONST-MOV,CONST-FRONT,1.0,54,{}
Madhya,PROPN,CONST-MOV,CONST-FRONT,1.0,53,{}
body,NOUN,CONST-MOV,CONST-FRONT,1.0,51,{}
Kohli,PROPN,CONST-MOV,CONST-FRONT,1.0,49,{}
Tamil,ADJ,CONST-MOV,CONST-FRONT,1.0,49,{}
World,PROPN,CONST-MOV,CONST-FRONT,1.0,46,{}
Kerala,PROPN,CONST-MOV,CONST-FRONT,1.0,46,{}
Ex,PROPN,CONST-MOV,CONST-FRONT,1.0,45,{}
RBI,PROPN,CONST-MOV,CONST-FRONT,1.0,45,{}
scientist,NOUN,CONST-MOV,CONST-FRONT,1.0,41,{}
Alia,PROPN,CONST-MOV,CONST-FRONT,1.0,41,{}
justice,NOUN,CONST-MOV,CONST-FRONT,1.0,41,{}
Thiruvananthapuram,PROPN,CONST-MOV,CONST-FRONT,1.0,40,{}
ready,ADJ,CONST-MOV,CONST-FRONT,1.0,39,{}
Venezuela,PROPN,CONST-MOV,CONST-FRONT,1.0,38,{}
hold,VERB,CONST-MOV,CONST-FRONT,1.0,38,{}
Sanjeevani,PROPN,CONST-MOV,CONST-FRONT,1.0,37,{}
Chennai,PROPN,CONST-MOV,CONST-FRONT,1.0,36,{}
youth,NOUN,CONST-MOV,CONST-FRONT,1.0,36,{}
take,VERB,CONST-MOV,CONST-FRONT,1.0,35,{}
expensive,ADJ,CONST-MOV,CONST-FRONT,1.0,35,{}
ex,NOUN,CONST-MOV,CONST-FRONT,1.0,34,{}
ISRO,PROPN,CONST-MOV,CONST-FRONT,1.0,33,{}
tell,VERB,CONST-MOV,CONST-FRONT,1.0,33,{}
Drunk,ADJ,CONST-MOV,CONST-FRONT,1.0,32,{}
Chinese,ADJ,CONST-MOV,CONST-FRONT,1.0,32,{}
Trump,PROPN,CONST-MOV,CONST-FRONT,1.0,32,{}
Huawei,PROPN,CONST-MOV,CONST-FRONT,1.0,32,{}
