feature_id,count_a,total_a,count_b,total_b,chi2,chi_p,fisher_p,odds_ratio
POS-CHG,82,1041,82,1041,0.0,1.0,,1.0
CONST-MOV,968,1041,968,1041,0.0,1.0,,1.0
TED-KLEIN,806,1041,806,1041,0.0,1.0,,1.0
TED-RTED,1035,1041,1035,1041,0.0,1.0,,1.0
TOKEN-REORDER,12,1041,12,1041,0.0,1.0,,1.0
PUNCT-DEL,1031,1041,0,1041,,,0.0,inf
DEP-DIST-DIFF,1041,1041,1041,1041,,,1.0,
TREE-DEPTH-DIFF,1041,1041,1041,1041,,,1.0,
FORM-CHG,85,1041,85,1041,0.0,1.0,,1.0
HEAD-CHG,243,1041,243,1041,0.0,1.0,,1.0
BRANCH-DIFF,1041,1041,1041,1041,,,1.0,
CLAUSE-TYPE-CHG,918,1041,918,1041,0.0,1.0,,1.0
C-DEL,442,1041,0,1041,,,1.329800023076946e-159,inf
LENGTH-CHG,1022,1041,1022,1041,0.0,1.0,,1.0
LEMMA-CHG,20,1041,20,1041,0.0,1.0,,1.0
FW-ADD,0,1041,145,1041,,,2.038730223434025e-46,0.0
PUNCT-ADD,0,1041,360,1041,,,3.289872008486141e-125,0.0
VERB-FORM-CHG,14,1041,14,1041,0.0,1.0,,1.0
CONST-ADD,0,1041,118,1041,,,1.7886466219829598e-37,0.0
C-ADD,0,1041,337,1041,,,4.7734049594344234e-116,0.0
TED-SIMPLE,1034,1041,1034,1041,0.0,1.0,,1.0
TED-ZHANG-SHASHA,806,1041,806,1041,0.0,1.0,,1.0
DEP-REL-CHG,1004,1041,1004,1041,0.0,1.0,,1.0
CONST-COUNT-DIFF,1041,1041,1041,1041,,,1.0,
PUNCT-SUBST,127,1041,127,1041,0.0,1.0,,1.0
CONST-REM,233,1041,0,1041,,,6.274494931202025e-77,inf
FEAT-CHG,84,1041,84,1041,0.0,1.0,,1.0
H-STRUCT,0,1041,1041,1041,,,0.0,0.0
H-TYPE,0,1041,1041,1041,,,0.0,0.0
FW-DEL,961,1041,0,1041,,,0.0,inf
