feature_id,rank,transformation,count,pattern_type
ABSENT,0,ABSENT→NOUN-ADD,379,additions
ABSENT,0,ABSENT→VERB-ADD,93,additions
ABSENT,0,ABSENT→ADP-ADD,79,additions
ABSENT,0,ABSENT→ADJ-ADD,58,additions
ABSENT,0,ABSENT→ADJP-ADD,44,additions
ABSENT,0,ABSENT→SBAR-ADD,40,additions
ABSENT,0,ABSENT→PRON-PERS-ADD,35,additions
ABSENT,0,ABSENT→AUX-ADD,34,additions
ABSENT,0,ABSENT→ADVP-ADD,22,additions
ABSENT,0,ABSENT→PP-ADD,14,additions
ABSENT,0,ABSENT→CCONJ-ADD,11,additions
ABSENT,0,ABSENT→ADV-ADD,10,additions
ABSENT,0,ABSENT→ART-ADD,6,additions
ABSENT,0,ABSENT→SCONJ-ADD,5,additions
ABSENT,0,ABSENT→QP-ADD,4,additions
',0,'→‘,1,changes
1,0,1→4,1,changes
10,0,10→9,14,changes
10,0,10→6,6,changes
10,0,10→8,4,changes
10,0,10→7,1,changes
10,0,10→11,1,changes
11,0,11→8,16,changes
11,0,11→10,8,changes
11,0,11→7,4,changes
11,0,11→9,2,changes
11,0,11→13,2,changes
11,0,11→6,1,changes
11,0,11→12,1,changes
12,0,12→8,17,changes
12,0,12→7,5,changes
12,0,12→11,4,changes
12,0,12→10,2,changes
12,0,12→13,2,changes
12,0,12→6,2,changes
12,0,12→9,1,changes
12,0,12→20,1,changes
12,0,12→21,1,changes
13,0,13→9,18,changes
13,0,13→8,12,changes
13,0,13→12,3,changes
13,0,13→10,2,changes
13,0,13→11,2,changes
13,0,13→15,2,changes
13,0,13→7,2,changes
13,0,13→18,1,changes
13,0,13→20,1,changes
13,0,13→14,1,changes
13,0,13→3,1,changes
14,0,14→11,35,changes
14,0,14→12,28,changes
14,0,14→8,9,changes
14,0,14→9,7,changes
14,0,14→16,3,changes
14,0,14→13,2,changes
14,0,14→15,2,changes
14,0,14→10,1,changes
14,0,14→19,1,changes
15,0,15→11,37,changes
15,0,15→12,28,changes
15,0,15→10,21,changes
15,0,15→16,6,changes
15,0,15→9,6,changes
15,0,15→13,2,changes
15,0,15→14,1,changes
15,0,15→17,1,changes
15,0,15→19,1,changes
16,0,16→12,39,changes
16,0,16→13,28,changes
16,0,16→11,27,changes
16,0,16→10,8,changes
16,0,16→17,5,changes
16,0,16→14,1,changes
16,0,16→9,1,changes
17,0,17→13,29,changes
17,0,17→12,22,changes
17,0,17→14,18,changes
17,0,17→11,13,changes
17,0,17→15,4,changes
17,0,17→18,3,changes
17,0,17→19,3,changes
17,0,17→10,3,changes
17,0,17→16,2,changes
17,0,17→9,2,changes
17,0,17→20,1,changes
17,0,17→21,1,changes
18,0,18→14,21,changes
18,0,18→12,12,changes
18,0,18→11,9,changes
18,0,18→15,8,changes
18,0,18→16,6,changes
18,0,18→13,5,changes
18,0,18→21,3,changes
18,0,18→17,3,changes
18,0,18→10,2,changes
18,0,18→20,2,changes
18,0,18→19,1,changes
19,0,19→13,16,changes
19,0,19→14,10,changes
19,0,19→16,9,changes
19,0,19→12,7,changes
19,0,19→11,3,changes
19,0,19→15,2,changes
19,0,19→18,2,changes
19,0,19→17,2,changes
2,0,2→3,4,changes
2,0,2→1,2,changes
2,0,2→9,1,changes
2,0,2→5,1,changes
2,0,2→4,1,changes
20,0,20→13,8,changes
20,0,20→14,8,changes
20,0,20→16,7,changes
20,0,20→15,7,changes
20,0,20→17,2,changes
20,0,20→22,2,changes
20,0,20→12,1,changes
20,0,20→19,1,changes
20,0,20→23,1,changes
20,0,20→11,1,changes
20,0,20→18,1,changes
21,0,21→13,4,changes
21,0,21→16,4,changes
21,0,21→15,3,changes
21,0,21→19,3,changes
21,0,21→14,2,changes
21,0,21→18,1,changes
21,0,21→20,1,changes
21,0,21→17,1,changes
22,0,22→14,5,changes
22,0,22→15,5,changes
22,0,22→16,3,changes
22,0,22→17,2,changes
22,0,22→13,1,changes
22,0,22→18,1,changes
23,0,23→18,3,changes
23,0,23→20,2,changes
23,0,23→19,1,changes
23,0,23→16,1,changes
24,0,24→17,2,changes
24,0,24→19,2,changes
25,0,25→17,1,changes
25,0,25→18,1,changes
26,0,26→16,1,changes
26,0,26→17,1,changes
26,0,26→21,1,changes
27,0,27→17,1,changes
3,0,3→2,58,changes
3,0,3→12,2,changes
3,0,3→4,2,changes
3,0,3→14,1,changes
3,0,3→7,1,changes
