feature_id,total_transformations,unique_transformation_types,canonical_value_diversity,headline_value_diversity,top3_concentration_ratio,transformation_entropy,most_frequent_transformation,most_frequent_count
CONST-MOV,11485,2,2,2,1.0,0.34546396915406186,CONST-FRONT→CONST-FRONT,10743
DEP-REL-CHG,9892,821,44,43,0.06672058228871816,8.320167079753576,det→compound,272
CLAUSE-TYPE-CHG,2728,7,5,5,0.7785923753665689,2.299386215140772,Part→Fin,986
FW-DEL,2241,6,6,1,0.8616688978134761,1.9507933928468775,ART-DEL→ABSENT,920
TED,1034,10,10,10,0.9825918762088974,0.3208960876655251,10→10,997
LENGTH-CHG,1022,140,25,22,0.11252446183953033,6.287245750814989,13→10,39
C-DEL,720,4,4,1,0.9861111111111112,1.5345033533713093,NOUN-DEL→ABSENT,340
C-ADD,540,4,1,4,0.9814814814814815,1.247818507113491,ABSENT→NOUN-ADD,379
HEAD-CHG,282,56,17,15,0.4397163120567376,4.500620591379707,3→2,58
CONST-REM,254,6,6,1,0.8031496062992126,2.059628201809326,SBAR-REM→ABSENT,130
FW-ADD,170,6,1,6,0.8705882352941177,2.023093967988581,ABSENT→ADP-ADD,79
FEAT-CHG,129,19,13,13,0.5348837209302325,3.3665471409620618,Tense=Past→Tense=Pres,46
CONST-ADD,124,5,1,5,0.8548387096774194,2.014659378658145,ABSENT→ADJP-ADD,44
FORM-CHG,89,77,74,75,0.10112359550561797,6.175116717458952,said→says,4
POS-CHG,89,6,3,3,0.797752808988764,2.0889062053408223,VERB→NOUN,41
LEMMA-CHG,22,20,20,20,0.22727272727272727,4.277613436819114,United→Unite,2
VERB-FORM-CHG,14,6,4,3,0.7857142857142857,2.1179631753145163,Part→Fin,7
TOKEN-REORDER,12,2,2,2,1.0,0.9182958340544896,FRONT→FRONT,8
