feature_id,feature_name,total_occurrences,percentage_of_total,newspapers_found_in,parse_types_found_in
CONST-MOV,Constituent Movement,11485,37.2321457516128,1,1
DEP-REL-CHG,Dependency Relation Change,9892,32.0679482607709,1,1
CLAUSE-TYPE-CHG,Clause Type Change,2728,8.843647680487567,1,1
FW-DEL,Function Word Deletion,2241,7.264887995591144,1,1
TED,Tree Edit Distance,1034,3.3520277498622235,1,1
LENGTH-CHG,Sentence Length Change,1022,3.3131260738483483,1,1
C-DEL,Content Word Deletion,720,2.334100560832496,1,1
C-ADD,Content Word Addition,540,1.7505754206243718,1,1
HEAD-CHG,Dependency Head Change,282,0.9141893863260608,1,1
CONST-REM,Constituent Removal,254,0.8234188089603528,1,1
FW-ADD,Function Word Addition,170,0.5511070768632281,1,1
FEAT-CHG,Morphological Feature Change,129,0.41819301714915547,1,1
CONST-ADD,Constituent Addition,124,0.40198398547670766,1,1
FORM-CHG,Surface Form Change,89,0.2885207637695724,1,1
POS-CHG,Part of Speech Change,89,0.2885207637695724,1,1
LEMMA-CHG,Lemma Change,22,0.0713197393587707,1,1
VERB-FORM-CHG,Verb Form Change,14,0.04538528868285409,1,1
TOKEN-REORDER,Token Reordering,12,0.03890167601387493,1,1
