feature_id,feature_name,total_count,percentage
CONST-MOV,Constituent Movement,13099,35.14434427988839
DEP-REL-CHG,Dependency Relation Change,11759,31.549152178579092
CLAUSE-TYPE-CHG,Clause Type Change,3408,9.143593045717965
FW-DEL,Function Word Deletion,3210,8.612363168061817
C-DEL,Content Word Deletion,1405,3.769585748014596
TED,Tree Edit Distance,1142,3.0639622236531445
LENGTH-CHG,Sentence Length Change,1137,3.050547327752737
C-ADD,Content Word Addition,690,1.8512556342562783
CONST-REM,Constituent Removal,476,1.2770980897188238
HEAD-CHG,Dependency Head Change,280,0.7512341704228375
FW-ADD,Function Word Addition,266,0.7136724619016956
CONST-ADD,Constituent Addition,114,0.30585962652929816
FEAT-CHG,Morphological Feature Change,108,0.2897617514488087
POS-CHG,Part of Speech Change,84,0.22537025112685125
FORM-CHG,Surface Form Change,61,0.16366172998497533
LEMMA-CHG,Lemma Change,17,0.04561064606138657
VERB-FORM-CHG,Verb Form Change,13,0.034878729341060316
TOKEN-REORDER,Token Reordering,3,0.008048937540244688
