feature_id,canonical_value,headline_value,transformation,count,percentage
FEAT-CHG,Tense=Past,Tense=Pres,Tense=Past→Tense=Pres,42,38.88888888888889
FEAT-CHG,Person=3,Person=None,Person=3→Person=None,8,7.4074074074074066
FEAT-CHG,Number=Plur,Number=Sing,Number=Plur→Number=Sing,8,7.4074074074074066
FEAT-CHG,Mood=Ind,Mood=None,Mood=Ind→Mood=None,7,6.481481481481481
FEAT-CHG,Number=Sing,Number=None,Number=Sing→Number=None,7,6.481481481481481
FEAT-CHG,Person=None,Person=3,Person=None→Person=3,6,5.555555555555555
FEAT-CHG,Number=Sing,Number=Plur,Number=Sing→Number=Plur,6,5.555555555555555
FEAT-CHG,Number=None,Number=Sing,Number=None→Number=Sing,5,4.62962962962963
FEAT-CHG,Tense=Pres,Tense=None,Tense=Pres→Tense=None,5,4.62962962962963
FEAT-CHG,Mood=None,Mood=Ind,Mood=None→Mood=Ind,5,4.62962962962963
FEAT-CHG,Tense=None,Tense=Pres,Tense=None→Tense=Pres,2,1.8518518518518516
FEAT-CHG,Tense=Past,Tense=None,Tense=Past→Tense=None,2,1.8518518518518516
FEAT-CHG,Voice=None,Voice=Pass,Voice=None→Voice=Pass,1,0.9259259259259258
FEAT-CHG,Person=3,Person=1,Person=3→Person=1,1,0.9259259259259258
FEAT-CHG,Case=Nom,Case=Acc,Case=Nom→Case=Acc,1,0.9259259259259258
FEAT-CHG,Number=Plur,Number=None,Number=Plur→Number=None,1,0.9259259259259258
FEAT-CHG,Case=None,Case=Nom,Case=None→Case=Nom,1,0.9259259259259258
