feature_id,canonical_value,headline_value,transformation,count
C-ADD,ABSENT,NOUN-ADD,ABSENT→NOUN-ADD,516
C-ADD,ABSENT,VERB-ADD,ABSENT→VERB-ADD,99
C-ADD,ABSENT,ADJ-ADD,ABSENT→ADJ-ADD,69
C-ADD,ABSENT,ADV-ADD,ABSENT→ADV-ADD,6
C-DEL,VERB-DEL,ABSENT,VERB-DEL→ABSENT,609
C-DEL,NOUN-DEL,ABSENT,NOUN-DEL→ABSENT,598
C-DEL,ADJ-DEL,ABSENT,ADJ-DEL→ABSENT,191
C-DEL,ADV-DEL,ABSENT,ADV-DEL→ABSENT,7
CLAUSE-TYPE-CHG,Part,Fin,Part→Fin,1341
CLAUSE-TYPE-CHG,Fin,Inf,Fin→Inf,749
CLAUSE-TYPE-CHG,Fin,Part,Fin→Part,612
CLAUSE-TYPE-CHG,Inf,Fin,Inf→Fin,445
CLAUSE-TYPE-CHG,Fin,Ger,Fin→Ger,140
CLAUSE-TYPE-CHG,Ger,Fin,Ger→Fin,66
CLAUSE-TYPE-CHG,verbal,verbless,verbal→verbless,55
CONST-ADD,ABSENT,ADJP-ADD,ABSENT→ADJP-ADD,40
CONST-ADD,ABSENT,PP-ADD,ABSENT→PP-ADD,23
CONST-ADD,ABSENT,ADVP-ADD,ABSENT→ADVP-ADD,22
CONST-ADD,ABSENT,SBAR-ADD,ABSENT→SBAR-ADD,19
CONST-ADD,ABSENT,QP-ADD,ABSENT→QP-ADD,10
CONST-MOV,CONST-FRONT,CONST-FRONT,CONST-FRONT→CONST-FRONT,11805
CONST-MOV,CONST-POST,CONST-POST,CONST-POST→CONST-POST,1294
CONST-REM,SBAR-REM,ABSENT,SBAR-REM→ABSENT,295
CONST-REM,VP-REM,ABSENT,VP-REM→ABSENT,52
CONST-REM,QP-REM,ABSENT,QP-REM→ABSENT,50
CONST-REM,PP-REM,ABSENT,PP-REM→ABSENT,49
CONST-REM,ADJP-REM,ABSENT,ADJP-REM→ABSENT,24
CONST-REM,ADVP-REM,ABSENT,ADVP-REM→ABSENT,6
DEP-REL-CHG,nsubj,root,nsubj→root,272
DEP-REL-CHG,det,compound,det→compound,251
DEP-REL-CHG,aux,root,aux→root,245
DEP-REL-CHG,case,obl,case→obl,165
DEP-REL-CHG,det,nsubj,det→nsubj,164
DEP-REL-CHG,root,case,root→case,144
DEP-REL-CHG,root,obj,root→obj,136
DEP-REL-CHG,obj,case,obj→case,130
DEP-REL-CHG,case,compound,case→compound,123
DEP-REL-CHG,compound,punct,compound→punct,118
DEP-REL-CHG,case,nmod,case→nmod,118
DEP-REL-CHG,root,compound,root→compound,112
DEP-REL-CHG,det,case,det→case,111
DEP-REL-CHG,compound,case,compound→case,109
DEP-REL-CHG,case,punct,case→punct,105
DEP-REL-CHG,det,punct,det→punct,99
DEP-REL-CHG,compound,nsubj,compound→nsubj,98
DEP-REL-CHG,compound,obj,compound→obj,97
DEP-REL-CHG,aux,obj,aux→obj,97
DEP-REL-CHG,nsubj,punct,nsubj→punct,90
DEP-REL-CHG,det,amod,det→amod,89
DEP-REL-CHG,nsubj,compound,nsubj→compound,87
DEP-REL-CHG,amod,compound,amod→compound,85
DEP-REL-CHG,obj,punct,obj→punct,84
DEP-REL-CHG,aux,case,aux→case,82
DEP-REL-CHG,nsubj,case,nsubj→case,82
DEP-REL-CHG,punct,compound,punct→compound,77
DEP-REL-CHG,det,obj,det→obj,77
DEP-REL-CHG,det,obl,det→obl,76
DEP-REL-CHG,punct,case,punct→case,73
DEP-REL-CHG,compound,root,compound→root,72
DEP-REL-CHG,aux,mark,aux→mark,72
DEP-REL-CHG,obl,case,obl→case,71
DEP-REL-CHG,root,amod,root→amod,67
DEP-REL-CHG,obj,compound,obj→compound,66
DEP-REL-CHG,case,amod,case→amod,65
DEP-REL-CHG,punct,amod,punct→amod,65
DEP-REL-CHG,punct,obj,punct→obj,65
DEP-REL-CHG,aux,compound,aux→compound,65
DEP-REL-CHG,det,root,det→root,64
DEP-REL-CHG,root,punct,root→punct,63
DEP-REL-CHG,amod,nsubj,amod→nsubj,63
DEP-REL-CHG,nsubj,obj,nsubj→obj,62
DEP-REL-CHG,aux,punct,aux→punct,62
DEP-REL-CHG,compound,obl,compound→obl,60
DEP-REL-CHG,root,nummod,root→nummod,58
DEP-REL-CHG,obj,obl,obj→obl,58
DEP-REL-CHG,flat,root,flat→root,57
DEP-REL-CHG,amod,obj,amod→obj,55
DEP-REL-CHG,det,nmod,det→nmod,55
DEP-REL-CHG,mark,case,mark→case,55
DEP-REL-CHG,nummod,punct,nummod→punct,53
DEP-REL-CHG,nmod:poss,case,nmod:poss→case,52
DEP-REL-CHG,mark,obj,mark→obj,52
DEP-REL-CHG,amod,case,amod→case,51
DEP-REL-CHG,obl,punct,obl→punct,50
DEP-REL-CHG,case,flat,case→flat,49
DEP-REL-CHG,amod,punct,amod→punct,49
DEP-REL-CHG,punct,root,punct→root,48
DEP-REL-CHG,root,obl,root→obl,48
DEP-REL-CHG,nummod,obj,nummod→obj,47
DEP-REL-CHG,case,appos,case→appos,46
DEP-REL-CHG,mark,punct,mark→punct,45
DEP-REL-CHG,punct,nsubj,punct→nsubj,45
DEP-REL-CHG,cc,punct,cc→punct,44
DEP-REL-CHG,case,nummod,case→nummod,43
DEP-REL-CHG,amod,obl,amod→obl,43
DEP-REL-CHG,aux,nsubj,aux→nsubj,42
DEP-REL-CHG,nsubj,advmod,nsubj→advmod,42
DEP-REL-CHG,nsubj:pass,nsubj,nsubj:pass→nsubj,42
DEP-REL-CHG,nsubj:pass,root,nsubj:pass→root,42
DEP-REL-CHG,nsubj,amod,nsubj→amod,42
DEP-REL-CHG,nsubj,mark,nsubj→mark,41
DEP-REL-CHG,root,mark,root→mark,41
DEP-REL-CHG,aux,amod,aux→amod,41
DEP-REL-CHG,aux:pass,case,aux:pass→case,41
DEP-REL-CHG,punct,obl,punct→obl,41
DEP-REL-CHG,nummod,compound,nummod→compound,40
DEP-REL-CHG,punct,appos,punct→appos,40
DEP-REL-CHG,compound,nmod,compound→nmod,38
DEP-REL-CHG,mark,compound,mark→compound,38
DEP-REL-CHG,ccomp,punct,ccomp→punct,38
DEP-REL-CHG,flat,case,flat→case,38
DEP-REL-CHG,det,nummod,det→nummod,38
DEP-REL-CHG,root,nsubj,root→nsubj,38
DEP-REL-CHG,mark,advcl,mark→advcl,38
DEP-REL-CHG,amod,root,amod→root,37
DEP-REL-CHG,root,acl,root→acl,36
DEP-REL-CHG,compound,amod,compound→amod,36
DEP-REL-CHG,ccomp,case,ccomp→case,36
DEP-REL-CHG,case,obj,case→obj,35
DEP-REL-CHG,nsubj,aux,nsubj→aux,34
DEP-REL-CHG,obj,nmod,obj→nmod,33
DEP-REL-CHG,nummod,case,nummod→case,33
DEP-REL-CHG,punct,nmod,punct→nmod,33
DEP-REL-CHG,obj,nummod,obj→nummod,33
DEP-REL-CHG,nmod:poss,punct,nmod:poss→punct,32
DEP-REL-CHG,nummod,obl,nummod→obl,32
DEP-REL-CHG,advmod,case,advmod→case,32
DEP-REL-CHG,nmod:poss,compound,nmod:poss→compound,32
DEP-REL-CHG,nsubj,nmod:poss,nsubj→nmod:poss,31
DEP-REL-CHG,case,root,case→root,31
DEP-REL-CHG,compound,nummod,compound→nummod,31
DEP-REL-CHG,mark,root,mark→root,30
DEP-REL-CHG,mark,nsubj,mark→nsubj,29
DEP-REL-CHG,nsubj:pass,case,nsubj:pass→case,29
DEP-REL-CHG,nmod:poss,amod,nmod:poss→amod,28
DEP-REL-CHG,case,mark,case→mark,28
DEP-REL-CHG,det,nmod:poss,det→nmod:poss,28
DEP-REL-CHG,aux,obl,aux→obl,28
DEP-REL-CHG,obj,flat,obj→flat,28
DEP-REL-CHG,obj,advcl,obj→advcl,28
DEP-REL-CHG,ccomp,obj,ccomp→obj,28
DEP-REL-CHG,flat,punct,flat→punct,27
DEP-REL-CHG,advmod,punct,advmod→punct,27
DEP-REL-CHG,root,advmod,root→advmod,27
DEP-REL-CHG,root,nmod:poss,root→nmod:poss,27
DEP-REL-CHG,aux,acl,aux→acl,26
DEP-REL-CHG,ccomp,obl,ccomp→obl,26
DEP-REL-CHG,aux,advmod,aux→advmod,26
DEP-REL-CHG,nsubj,flat,nsubj→flat,26
DEP-REL-CHG,compound,flat,compound→flat,26
DEP-REL-CHG,det,appos,det→appos,26
