feature_id,rank,transformation,count,pattern_type
ABSENT,0,ABSENT→NOUN-ADD,516,additions
ABSENT,0,ABSENT→ADP-ADD,107,additions
ABSENT,0,ABSENT→VERB-ADD,99,additions
ABSENT,0,ABSENT→PRON-PERS-ADD,88,additions
ABSENT,0,ABSENT→ADJ-ADD,69,additions
ABSENT,0,ABSENT→AUX-ADD,48,additions
ABSENT,0,ABSENT→ADJP-ADD,40,additions
ABSENT,0,ABSENT→PP-ADD,23,additions
ABSENT,0,ABSENT→ADVP-ADD,22,additions
ABSENT,0,ABSENT→SBAR-ADD,19,additions
ABSENT,0,ABSENT→SCONJ-ADD,12,additions
ABSENT,0,ABSENT→QP-ADD,10,additions
ABSENT,0,ABSENT→ART-ADD,7,additions
ABSENT,0,ABSENT→ADV-ADD,6,additions
ABSENT,0,ABSENT→CCONJ-ADD,4,additions
's,0,'s→',1,changes
1,0,1→3,2,changes
1,0,1→13,1,changes
10,0,10→8,3,changes
10,0,10→7,2,changes
10,0,10→6,2,changes
10,0,10→9,2,changes
10,0,10→12,2,changes
11,0,11→10,8,changes
11,0,11→9,4,changes
11,0,11→8,1,changes
11,0,11→7,1,changes
11,0,11→13,1,changes
11,0,11→18,1,changes
12,0,12→9,27,changes
12,0,12→8,6,changes
12,0,12→10,4,changes
12,0,12→11,4,changes
13,0,13→9,18,changes
13,0,13→8,6,changes
13,0,13→12,3,changes
13,0,13→10,2,changes
13,0,13→11,2,changes
13,0,13→14,1,changes
13,0,13→15,1,changes
14,0,14→11,59,changes
14,0,14→10,40,changes
14,0,14→9,17,changes
14,0,14→13,3,changes
14,0,14→8,2,changes
14,0,14→12,1,changes
15,0,15→13,12,changes
15,0,15→9,4,changes
15,0,15→7,1,changes
15,0,15→12,1,changes
15,0,15→11,1,changes
15,0,15→10,1,changes
15,0,15→14,1,changes
16,0,16→12,56,changes
16,0,16→11,40,changes
16,0,16→13,31,changes
16,0,16→10,15,changes
16,0,16→14,11,changes
16,0,16→15,2,changes
16,0,16→9,2,changes
17,0,17→13,34,changes
17,0,17→12,34,changes
17,0,17→14,29,changes
17,0,17→11,24,changes
17,0,17→10,7,changes
17,0,17→15,3,changes
17,0,17→9,1,changes
17,0,17→16,1,changes
18,0,18→13,27,changes
18,0,18→12,26,changes
18,0,18→14,17,changes
18,0,18→11,12,changes
18,0,18→15,6,changes
18,0,18→10,4,changes
18,0,18→9,3,changes
18,0,18→3,1,changes
19,0,19→13,30,changes
19,0,19→14,24,changes
19,0,19→12,14,changes
19,0,19→11,9,changes
