feature_id,total,correct,accuracy,primary_tier,lexical_hits,syntactic_hits,default_hits,no_rule_hits
CONST-MOV,13095,11801,90.1%,syntactic,3629,9466,0,0
DEP-REL-CHG,11753,1235,10.5%,default,0,0,11753,0
CLAUSE-TYPE-CHG,3407,1421,41.7%,syntactic,0,1752,1655,0
FW-DEL,3206,1170,36.5%,default,0,0,3206,0
C-DEL,1404,598,42.6%,default,0,0,1404,0
TED-SIMPLE,1141,1127,98.8%,syntactic,0,590,551,0
TED-RTED,1141,0,0.0%,none,0,0,0,1141
LENGTH-CHG,1136,0,0.0%,none,0,0,0,1136
TED-ZHANG-SHASHA,783,0,0.0%,none,0,0,0,783
TED-KLEIN,783,0,0.0%,none,0,0,0,783
C-ADD,690,690,100.0%,syntactic,0,356,334,0
CONST-REM,476,295,62.0%,default,0,0,476,0
HEAD-CHG,279,0,0.0%,none,0,0,0,279
FW-ADD,266,0,0.0%,none,0,0,0,266
CONST-ADD,114,0,0.0%,none,0,0,0,114
FEAT-CHG,108,0,0.0%,none,0,0,0,108
POS-CHG,84,0,0.0%,none,0,0,0,84
FORM-CHG,61,0,0.0%,none,0,0,0,61
LEMMA-CHG,17,0,0.0%,none,0,0,0,17
VERB-FORM-CHG,13,0,0.0%,none,0,0,0,13
TOKEN-REORDER,3,0,0.0%,none,0,0,0,3
