feature_id,feature_name,total_occurrences,percentage_of_total,newspapers_found_in,parse_types_found_in
CONST-MOV,Constituent Movement,13099,35.14434427988839,1,1
DEP-REL-CHG,Dependency Relation Change,11759,31.549152178579092,1,1
CLAUSE-TYPE-CHG,Clause Type Change,3408,9.143593045717965,1,1
FW-DEL,Function Word Deletion,3210,8.612363168061817,1,1
C-DEL,Content Word Deletion,1405,3.769585748014596,1,1
TED,Tree Edit Distance,1142,3.0639622236531445,1,1
LENGTH-CHG,Sentence Length Change,1137,3.050547327752737,1,1
C-ADD,Content Word Addition,690,1.8512556342562783,1,1
CONST-REM,Constituent Removal,476,1.2770980897188238,1,1
HEAD-CHG,Dependency Head Change,280,0.7512341704228375,1,1
FW-ADD,Function Word Addition,266,0.7136724619016956,1,1
CONST-ADD,Constituent Addition,114,0.30585962652929816,1,1
FEAT-CHG,Morphological Feature Change,108,0.2897617514488087,1,1
POS-CHG,Part of Speech Change,84,0.22537025112685125,1,1
FORM-CHG,Surface Form Change,61,0.16366172998497533,1,1
LEMMA-CHG,Lemma Change,17,0.04561064606138657,1,1
VERB-FORM-CHG,Verb Form Change,13,0.034878729341060316,1,1
TOKEN-REORDER,Token Reordering,3,0.008048937540244688,1,1
