feature,pos,headline_value,canonical_value,frequency,context,rule_description
Mood,VERB,Imp,ABSENT,264,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Imp, change to ABSENT"
Mood,NOUN,ABSENT,Ind,128,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Mood=ABSENT, change to Ind"
Mood,VERB,Ind,ABSENT,71,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Ind, change to ABSENT"
Mood,VERB,Imp,Ind,57,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Imp, change to Ind"
Mood,ADJ,ABSENT,Ind,43,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Mood=ABSENT, change to Ind"
Person,NOUN,ABSENT,3,128,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Person=ABSENT, change to 3"
Person,VERB,ABSENT,3,47,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=ABSENT, change to 3"
Person,VERB,1,ABSENT,46,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=1, change to ABSENT"
Person,ADJ,ABSENT,3,43,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Person=ABSENT, change to 3"
Person,VERB,3,ABSENT,25,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=3, change to ABSENT"
Person,VERB,1,3,19,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=1, change to 3"
Person,VERB,2,ABSENT,18,"{""dep_rel"": ""csubj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=2, change to ABSENT"
Person,VERB,2,3,10,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=2, change to 3"
Voice,VERB,Pass,ABSENT,262,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Voice=Pass, change to ABSENT"
Voice,NOUN,ABSENT,Pass,82,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Voice=ABSENT, change to Pass"
