feature_id,total,correct,accuracy,primary_tier,lexical_hits,syntactic_hits,default_hits,no_rule_hits
CONST-MOV,5705,5307,93.0%,syntactic,1418,4277,10,0
DEP-REL-CHG,5282,614,11.6%,default,0,0,5282,0
FW-DEL,1661,836,50.3%,default,0,0,1661,0
CLAUSE-TYPE-CHG,1500,538,35.9%,default,0,663,837,0
TED-RTED,1138,0,0.0%,none,0,0,0,1138
TED-ZHANG-SHASHA,1123,0,0.0%,none,0,0,0,1123
TED-KLEIN,1123,0,0.0%,none,0,0,0,1123
LENGTH-CHG,1116,146,13.1%,default,0,0,1116,0
TED-SIMPLE,1057,771,72.9%,syntactic,0,820,237,0
C-DEL,447,232,51.9%,default,0,0,447,0
CONST-REM,278,156,56.1%,default,0,0,278,0
C-ADD,200,0,0.0%,none,0,0,0,200
HEAD-CHG,196,0,0.0%,none,0,0,0,196
FORM-CHG,158,0,0.0%,none,0,0,0,158
FEAT-CHG,95,0,0.0%,none,0,0,0,95
CONST-ADD,91,0,0.0%,none,0,0,0,91
POS-CHG,83,0,0.0%,none,0,0,0,83
FW-ADD,49,0,0.0%,none,0,0,0,49
LEMMA-CHG,26,0,0.0%,none,0,0,0,26
VERB-FORM-CHG,11,0,0.0%,none,0,0,0,11
TOKEN-REORDER,6,0,0.0%,none,0,0,0,6
