newspaper,feature_id,feature_name,count,percentage_of_newspaper
Times-of-India,FW-DEL,Function Word Deletion,2241,6.690750582193826
Times-of-India,DEP-REL-CHG,Dependency Relation Change,9892,29.533647817519554
Times-of-India,LENGTH-CHG,Sentence Length Change,1022,3.051292768854123
Times-of-India,CONST-REM,Constituent Removal,254,0.7583447781692243
Times-of-India,CONST-MOV,Constituent Movement,11485,34.289723532573
Times-of-India,CLAUSE-TYPE-CHG,Clause Type Change,2728,8.144742341911984
Times-of-India,TED-SIMPLE,TED-SIMPLE,1034,3.0871200812085746
Times-of-India,TED-RTED,TED-RTED,1035,3.0901056905714457
Times-of-India,HEAD-CHG,Dependency Head Change,282,0.8419418403296113
Times-of-India,TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,806,2.4064011464739954
Times-of-India,TED-KLEIN,TED-KLEIN,806,2.4064011464739954
Times-of-India,C-DEL,Content Word Deletion,720,2.1496387412670925
Times-of-India,C-ADD,Content Word Addition,540,1.6122290559503194
Times-of-India,POS-CHG,Part of Speech Change,89,0.2657192332955156
Times-of-India,FORM-CHG,Surface Form Change,89,0.2657192332955156
Times-of-India,FEAT-CHG,Morphological Feature Change,129,0.38514360781035406
Times-of-India,CONST-ADD,Constituent Addition,124,0.3702155609959993
Times-of-India,FW-ADD,Function Word Addition,170,0.5075535916880636
Times-of-India,LEMMA-CHG,Lemma Change,22,0.06568340598316116
Times-of-India,VERB-FORM-CHG,Verb Form Change,14,0.04179853108019346
Times-of-India,TOKEN-REORDER,Token Reordering,12,0.035827312354451545
