feature_id,total,correct,accuracy,primary_tier,lexical_hits,syntactic_hits,default_hits,no_rule_hits
CONST-MOV,11470,10728,93.5%,syntactic,3256,8214,0,0
DEP-REL-CHG,9882,1191,12.1%,default,0,0,9882,0
CLAUSE-TYPE-CHG,2728,1129,41.4%,default,0,1317,1411,0
FW-DEL,2240,919,41.0%,default,0,0,2240,0
TED-RTED,1034,0,0.0%,none,0,0,0,1034
TED-SIMPLE,1033,996,96.4%,syntactic,0,802,231,0
LENGTH-CHG,1021,0,0.0%,none,0,0,0,1021
TED-ZHANG-SHASHA,805,0,0.0%,none,0,0,0,805
TED-KLEIN,805,0,0.0%,none,0,0,0,805
C-DEL,720,340,47.2%,default,0,0,720,0
C-ADD,540,540,100.0%,syntactic,0,291,249,0
HEAD-CHG,282,0,0.0%,none,0,0,0,282
CONST-REM,254,130,51.2%,default,0,0,254,0
FW-ADD,170,0,0.0%,none,0,0,0,170
FEAT-CHG,129,0,0.0%,none,0,0,0,129
CONST-ADD,124,0,0.0%,none,0,0,0,124
POS-CHG,89,0,0.0%,none,0,0,0,89
FORM-CHG,89,0,0.0%,none,0,0,0,89
LEMMA-CHG,22,0,0.0%,none,0,0,0,22
VERB-FORM-CHG,14,0,0.0%,none,0,0,0,14
TOKEN-REORDER,12,0,0.0%,none,0,0,0,12
