type,rule_description,frequency,confidence,feature_id
Lexical,man(NOUN) → CONST-FRONT,188,1.0,CONST-MOV
Lexical,p.m.(NOUN) → CONST-FRONT,131,1.0,CONST-MOV
Lexical,year(NOUN) → CONST-FRONT,130,1.0,CONST-MOV
Lexical,woman(NOUN) → CONST-FRONT,128,1.0,CONST-MOV
Lexical,New(ADJ) → CONST-FRONT,106,1.0,CONST-MOV
Lexical,Gujarat(PROPN) → CONST-FRONT,102,1.0,CONST-MOV
Lexical,BJP(PROPN) → CONST-FRONT,101,1.0,CONST-MOV
Lexical,Rahul(PROPN) → CONST-FRONT,99,1.0,CONST-MOV
Lexical,Delhi(PROPN) → CONST-FRONT,83,1.0,CONST-MOV
Lexical,India(PROPN) → CONST-FRONT,83,1.0,CONST-MOV
Lexical,Pune(PROPN) → CONST-FRONT,81,1.0,CONST-MOV
Lexical,Bihar(PROPN) → CONST-FRONT,74,1.0,CONST-MOV
Lexical,Congress(PROPN) → CONST-FRONT,72,1.0,CONST-MOV
Lexical,Nashik(PROPN) → CONST-FRONT,72,1.0,CONST-MOV
Lexical,Rajasthan(PROPN) → CONST-FRONT,71,1.0,CONST-MOV
Lexical,Google(PROPN) → CONST-FRONT,70,1.0,CONST-MOV
Lexical,Surat(PROPN) → CONST-FRONT,67,1.0,CONST-MOV
Lexical,police(NOUN) → CONST-FRONT,66,1.0,CONST-MOV
Lexical,US(PROPN) → CONST-FRONT,59,1.0,CONST-MOV
Lexical,be(VERB) → CONST-FRONT,58,1.0,CONST-MOV
Lexical,kill(VERB) → CONST-FRONT,57,1.0,CONST-MOV
Lexical,China(PROPN) → CONST-FRONT,55,1.0,CONST-MOV
Lexical,Pak(PROPN) → CONST-FRONT,54,1.0,CONST-MOV
Lexical,Madhya(PROPN) → CONST-FRONT,53,1.0,CONST-MOV
Lexical,body(NOUN) → CONST-FRONT,51,1.0,CONST-MOV
Lexical,Kohli(PROPN) → CONST-FRONT,49,1.0,CONST-MOV
Lexical,Tamil(ADJ) → CONST-FRONT,49,1.0,CONST-MOV
Lexical,World(PROPN) → CONST-FRONT,46,1.0,CONST-MOV
Lexical,Kerala(PROPN) → CONST-FRONT,46,1.0,CONST-MOV
Lexical,Ex(PROPN) → CONST-FRONT,45,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,1780,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,1308,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,1103,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,839,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,716,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,642,1.0,CONST-MOV
Syntactic,PROPN → CONST-FRONT,507,1.0,CONST-MOV
Syntactic,VERB → CONST-FRONT,482,1.0,CONST-MOV
Syntactic,VERB → CONST-FRONT,312,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,209,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,196,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,189,1.0,CONST-MOV
Syntactic,PROPN → 10,169,1.0,TED-SIMPLE
Syntactic,PROPN → CONST-FRONT,169,1.0,CONST-MOV
Syntactic,PROPN → CONST-POST,168,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,153,1.0,CONST-MOV
Syntactic,ADJ → CONST-FRONT,145,1.0,CONST-MOV
Syntactic,NOUN → CONST-FRONT,128,1.0,CONST-MOV
Syntactic,PROPN → Fin,124,1.0,CLAUSE-TYPE-CHG
Syntactic,VERB → CONST-FRONT,116,1.0,CONST-MOV
Syntactic,PROPN → 10,111,1.0,TED-SIMPLE
Syntactic,PROPN → CONST-POST,100,1.0,CONST-MOV
Syntactic,NOUN → 10,98,1.0,TED-SIMPLE
Syntactic,PROPN → ABSENT,98,1.0,C-ADD
Syntactic,PROPN → CONST-FRONT,97,1.0,CONST-MOV
